SEX,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,12.955761,11.917934,12.106261,12.800607,12.481474
1,1.0,9.515088,9.655778,9.60181,10.317834,9.478631
1,2.0,77.529151,78.426288,78.291929,76.88156,78.039895
2,0.0,25.137646,23.675708,21.583928,22.061731,21.543009
2,1.0,9.100686,7.014472,8.063531,8.542698,7.511928
2,2.0,65.761668,69.30982,70.352541,69.395571,70.945063
