FTPT,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,15.380901,14.879226,13.308548,14.214761,14.331518
1.0,1.0,6.775393,7.204447,7.15765,6.913256,5.741816
1.0,2.0,77.843706,77.916327,79.533802,78.871983,79.926665
2.0,0.0,24.417696,22.362396,25.390575,23.133809,17.013191
2.0,1.0,6.905327,8.272311,6.577681,7.316641,6.498888
2.0,2.0,68.676977,69.365293,68.031744,69.549549,76.48792
