FTPT,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,13.597155,14.361715,11.933178,12.616152,12.862936
1.0,1.0,12.875761,12.920095,12.576852,13.393549,12.721967
1.0,2.0,73.527084,72.71819,75.489969,73.990299,74.415097
2.0,0.0,27.114193,26.074472,28.369124,25.157135,23.597047
2.0,1.0,6.864391,9.234512,5.822169,8.57851,8.845487
2.0,2.0,66.021416,64.691016,65.808706,66.264355,67.557466
