SEX,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,14.826995,15.154578,15.2926,15.86634,15.753029
1,1.0,16.14138,16.938616,16.485846,15.592224,15.596147
1,2.0,69.031625,67.906806,68.221554,68.541436,68.650824
2,0.0,34.426865,33.183523,33.16135,32.725336,32.628376
2,1.0,10.204084,10.400484,9.929661,9.564419,9.856625
2,2.0,55.369051,56.415994,56.908989,57.710245,57.514999
