HATLEV1D,RISK_CAT,2014,2015,2016,2017,2018
H,0.0,13.54099,15.339684,13.505973,13.051614,13.428852
H,1.0,4.388102,4.90331,4.560379,4.384343,4.054294
H,2.0,82.070908,79.757006,81.933648,82.564043,82.516853
L,0.0,21.74192,19.720885,20.087752,17.199008,15.538974
L,1.0,18.047541,20.406509,16.359622,21.311597,18.430584
L,2.0,60.210539,59.872606,63.552626,61.489394,66.030441
M,0.0,19.61618,18.587385,17.958269,18.991056,18.996947
M,1.0,16.515993,17.567348,15.774551,17.28286,17.150777
M,2.0,63.867827,63.845267,66.26718,63.726084,63.852276
