AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,40.533722,44.482987,36.502561,42.709106,35.449752
17,1.0,2.862941,6.12634,7.503937,7.419824,5.020636
17,2.0,56.603337,49.390673,55.993501,49.871071,59.529612
22,0.0,31.104557,26.075181,30.044247,31.999606,24.512368
22,1.0,3.542931,5.875723,4.689326,4.055132,1.759967
22,2.0,65.352512,68.049096,65.266428,63.945262,73.727666
27,0.0,17.85195,22.517862,14.598549,18.112653,18.163317
27,1.0,6.03251,7.111148,6.85693,6.758728,5.958073
27,2.0,76.115539,70.37099,78.544521,75.12862,75.87861
32,0.0,16.957601,13.208212,17.175201,17.449787,13.902953
32,1.0,7.690349,8.695179,7.230447,4.569893,5.010367
32,2.0,75.35205,78.096609,75.594352,77.98032,81.08668
37,0.0,15.017377,12.235523,13.23933,13.729212,14.342462
37,1.0,4.952265,7.262834,5.705744,9.228303,5.547185
37,2.0,80.030358,80.501643,81.054926,77.042484,80.110354
42,0.0,15.310625,14.1301,14.247636,10.390731,11.682925
42,1.0,8.252838,5.694426,7.668807,8.532934,5.486936
42,2.0,76.436537,80.175474,78.083558,81.076335,82.83014
47,0.0,16.492174,14.213672,14.225476,13.066584,14.358867
47,1.0,8.094244,8.177595,9.387743,6.723692,8.157816
47,2.0,75.413583,77.608733,76.386781,80.209724,77.483317
52,0.0,13.861404,14.327297,15.558087,12.55581,11.549492
52,1.0,7.150834,10.3697,6.494734,8.318541,7.26305
52,2.0,78.987761,75.303003,77.94718,79.125649,81.187458
57,0.0,13.381684,14.364339,11.651847,13.055364,10.574379
57,1.0,10.044159,6.41041,8.572816,7.52683,6.332248
57,2.0,76.574157,79.225251,79.775337,79.417807,83.093374
62,0.0,14.232516,9.542463,11.776159,11.635754,13.708948
62,1.0,7.122868,6.984551,7.125459,7.988956,9.135832
62,2.0,78.644616,83.472986,81.098382,80.37529,77.15522
67,0.0,11.708822,19.094161,9.324664,17.914081,12.361451
67,1.0,6.171621,3.806371,7.508114,7.509087,4.251826
67,2.0,82.119557,77.099468,83.167223,74.576831,83.386723
72,0.0,8.797319,16.961963,13.956397,2.911066,13.702842
72,1.0,3.315628,9.68332,4.496424,x,8.215517
72,2.0,87.887052,73.354717,81.547179,97.088934,78.081642
77,0.0,20.087658,14.414187,28.68383,24.967076,8.831522
77,1.0,13.307054,3.471644,x,x,x
77,2.0,66.605288,82.114169,71.31617,75.032924,91.168478
