NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,23.835989,x,x,x,13.574632
A,1.0,x,61.474636,100.0,23.346772,10.200453
A,2.0,76.164011,38.525364,x,76.653228,76.224915
B,0.0,6.209053,4.17444,x,25.301839,9.824376
B,1.0,x,x,x,x,10.131377
B,2.0,93.790947,95.82556,100.0,74.698161,80.044247
C,0.0,17.631794,12.732579,12.813728,5.570726,10.268496
C,1.0,11.458945,10.658984,16.378175,12.186381,8.748584
C,2.0,70.909261,76.608437,70.808097,82.242893,80.98292
D,0.0,19.110651,10.1882,18.704763,x,x
D,1.0,23.424499,30.553266,18.36629,27.333845,46.52383
D,2.0,57.46485,59.258533,62.928947,72.666155,53.47617
E,0.0,x,17.190801,13.28793,12.647184,x
E,1.0,12.969027,x,x,24.944473,6.685668
E,2.0,87.030973,82.809199,86.71207,62.408343,93.314332
F,0.0,2.84678,5.236198,3.870018,6.192388,4.706642
F,1.0,47.42945,45.360859,41.932173,41.01152,36.366361
F,2.0,49.72377,49.402943,54.19781,52.796092,58.926998
G,0.0,51.626999,55.478727,53.603613,51.062122,42.595586
G,1.0,4.594288,4.33276,4.124107,4.477802,3.427661
G,2.0,43.778713,40.188513,42.27228,44.460075,53.976753
H,0.0,10.570305,11.939992,9.112673,11.380339,7.82471
H,1.0,7.433864,8.920229,6.691928,4.571168,9.490932
H,2.0,81.995831,79.139778,84.195399,84.048494,82.684358
I,0.0,13.330029,7.58373,8.98427,8.940251,10.105662
I,1.0,2.401719,6.101925,5.728726,3.802631,3.850676
I,2.0,84.268252,86.314344,85.287004,87.257117,86.043662
J,0.0,15.152085,11.372637,9.798781,13.264568,10.497065
J,1.0,0.610904,0.509431,0.676065,x,0.494814
J,2.0,84.237011,88.117932,89.525154,86.735432,89.008121
K,0.0,36.44653,29.744495,28.798692,28.601112,28.199417
K,1.0,0.587955,0.452697,0.357558,x,x
K,2.0,62.965515,69.802808,70.843749,71.398888,71.800583
L,0.0,10.660641,14.754873,10.209902,16.996979,17.563219
L,1.0,3.722669,3.385782,3.522543,6.755543,2.382882
L,2.0,85.61669,81.859344,86.267555,76.247478,80.053898
M,0.0,17.679372,19.108984,19.003541,15.026516,17.598246
M,1.0,0.789125,0.500717,0.147447,0.797564,0.625659
M,2.0,81.531503,80.390299,80.849012,84.175921,81.776095
N,0.0,11.614877,12.328929,13.175209,13.065629,15.040177
N,1.0,24.626609,24.370661,25.021741,27.354827,21.302764
N,2.0,63.758514,63.30041,61.80305,59.579544,63.657059
O,0.0,12.165613,12.852785,16.42246,15.244693,15.42937
O,1.0,1.225617,1.257431,0.546244,0.341975,0.391209
O,2.0,86.60877,85.889784,83.031296,84.413332,84.179421
P,0.0,4.74515,3.049768,2.031104,2.952857,3.610523
P,1.0,0.411252,1.377275,0.621357,1.249481,1.10603
P,2.0,94.843598,95.572957,97.347539,95.797661,95.283447
Q,0.0,8.972876,7.038527,7.009499,7.072168,5.863119
Q,1.0,1.031354,1.73374,2.920485,1.000191,1.370405
Q,2.0,89.99577,91.227732,90.070016,91.927642,92.766475
R,0.0,9.392637,18.808512,5.686944,11.516543,12.25511
R,1.0,1.137934,1.720713,0.619337,1.571577,2.79
R,2.0,89.469428,79.470776,93.69372,86.91188,84.954889
S,0.0,7.130807,11.109754,8.807959,8.62117,9.250965
S,1.0,3.967255,5.953632,5.452685,6.598118,4.121607
S,2.0,88.901938,82.936614,85.739356,84.780711,86.627428
T,1.0,27.579431,14.453901,40.288361,6.952519,15.86594
T,2.0,72.420569,85.546099,59.711639,93.047481,84.13406
U,0.0,25.559506,x,18.727057,4.02253,6.886325
U,2.0,74.440494,100.0,81.272943,95.97747,93.113675
