HATLEV1D,RISK_CAT,2014,2015,2016,2017,2018
H,0.0,15.727,16.958419,18.016868,18.095242,17.320251
H,1.0,2.769145,2.640707,2.477385,2.454229,2.286352
H,2.0,81.503855,80.400874,79.505747,79.450529,80.393398
L,0.0,17.040333,16.949035,18.199136,18.428187,16.139837
L,1.0,33.862902,32.992548,31.514722,30.010223,32.168961
L,2.0,49.096764,50.058418,50.286142,51.561589,51.691202
M,0.0,32.194795,32.579955,33.928139,33.064432,33.647044
M,1.0,14.65304,13.837089,13.677881,13.693708,13.490196
M,2.0,53.152164,53.582956,52.39398,53.24186,52.86276
