FTPT,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,18.098889,17.34847,16.262867,16.669007,16.646521
1,1.0,8.069808,7.331791,7.633109,7.954647,7.288547
1,2.0,73.831303,75.319739,76.104023,75.376346,76.064932
2,0.0,24.065736,20.001787,19.918992,21.061748,19.188747
2,1.0,16.106288,14.393911,16.413718,17.571062,15.925032
2,2.0,59.827975,65.604302,63.66729,61.36719,64.886221
