HATLEV1D,RISK_CAT,2014,2015,2016,2017,2018
H,0.0,17.589523,14.9388,14.315301,15.398442,14.893448
H,1.0,2.112395,1.272919,1.491729,1.045497,1.282
H,2.0,80.298083,83.788281,84.19297,83.556061,83.824552
L,0.0,14.923956,15.353852,14.450649,14.12921,12.233201
L,1.0,24.37353,26.04859,26.471316,29.954466,28.446427
L,2.0,60.702514,58.597558,59.078035,55.916325,59.320372
M,0.0,23.32197,22.931509,22.243834,22.259875,22.834289
M,1.0,11.88482,10.092408,12.732822,11.075981,11.884206
M,2.0,64.79321,66.976083,65.023345,66.664144,65.281506
