SEX,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,2092.251,2134.116,2189.227,2194.441,2190.841
1,1.0,2385.143,2431.737,2419.914,2406.7,2389.035
1,2.0,8218.782,8255.007,8376.326,8500.049,8615.161
2,0.0,3036.244,3031.366,3050.701,3068.572,3063.859
2,1.0,1044.19,1042.45,1027.799,996.667,1023.408
2,2.0,5244.523,5299.643,5438.032,5595.816,5664.089
