INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,609.32,566.162,517.147,453.564,108.23
1.0,1.0,240.11,234.239,195.735,195.679,34.327
1.0,2.0,1182.185,1151.177,1101.633,952.04,250.845
2.0,0.0,505.993,441.499,503.365,457.264,118.703
2.0,1.0,180.588,169.655,157.356,162.914,45.334
2.0,2.0,1092.115,1103.459,1104.481,1112.678,271.432
3.0,0.0,452.598,446.322,373.249,409.817,106.313
3.0,1.0,175.061,166.908,133.873,120.669,36.752
3.0,2.0,1277.997,1292.536,1254.259,1120.079,281.145
4.0,0.0,386.777,417.325,374.609,381.815,84.546
4.0,1.0,158.644,167.801,163.082,125.601,35.878
4.0,2.0,1394.16,1337.696,1361.963,1299.062,292.09
5.0,0.0,340.536,381.554,390.839,413.642,113.557
5.0,1.0,149.78,180.717,155.332,152.483,42.743
5.0,2.0,1375.559,1424.204,1565.104,1618.218,387.807
6.0,0.0,318.164,339.779,288.599,344.777,81.564
6.0,1.0,170.852,166.648,157.596,132.403,44.987
6.0,2.0,1432.296,1479.178,1610.005,1654.268,405.39
7.0,0.0,223.636,230.224,262.755,273.579,59.809
7.0,1.0,166.994,174.496,150.5,178.199,34.8
7.0,2.0,1644.73,1615.62,1703.874,1834.188,490.545
8.0,0.0,151.651,182.476,151.979,212.807,43.449
8.0,1.0,122.471,126.632,155.254,157.385,42.256
8.0,2.0,1480.717,1542.127,1618.418,1666.47,431.457
9.0,0.0,139.506,148.21,153.583,194.201,47.396
9.0,1.0,107.967,134.604,131.477,154.204,43.206
9.0,2.0,1627.775,1617.105,1777.823,1804.756,495.267
10.0,0.0,194.966,245.616,222.76,303.258,72.867
10.0,1.0,94.339,101.373,104.691,111.501,31.952
10.0,2.0,1603.867,1806.009,1890.718,2080.827,530.709
99.0,0.0,396.588,451.578,420.372,423.564,382.675
99.0,1.0,1063.148,1066.707,1091.209,1073.072,1134.391
99.0,2.0,3239.932,3314.682,3447.275,3401.653,3446.59
