HATLEV1D,RISK_CAT,2014,2015,2016,2017,2018
H,0.0,1508.051,1652.879,1604.211,1673.043,1662.131
H,1.0,396.235,413.907,416.042,377.92,421.437
H,2.0,10283.152,10744.733,11106.367,11142.747,11339.723
L,0.0,1059.561,1048.619,1102.806,1080.936,1055.524
L,1.0,997.725,983.61,1020.225,1026.686,1096.059
L,2.0,3378.193,3328.613,3820.368,3804.817,3910.642
M,0.0,2272.799,2278.046,2154.383,2312.825,2290.321
M,1.0,1747.725,1775.673,1760.146,1762.272,1783.091
M,2.0,8217.286,8096.856,8439.91,8587.932,8505.073
