isco_code,isco_unit_group,risk,prevalence,risk_category
4321,Stock clerks,3.568012,0.580174,Other
4322,Production clerks,3.573117,0.467572,Other
4323,Transport clerks,3.624294,0.517109,Other
4411,Library clerks,3.64761,0.235998,High risk
4412,Mail carriers and sorting clerks,3.547943,0.553762,Other
4413,"Coding, proof-reading and related clerks",3.51898,0.552511,Other
4415,Filing and copying clerks,3.729087,0.350007,High risk
4416,Personnel clerks,3.502974,0.610281,Other
4419,Clerical support workers not elsewhere classified,3.540884,0.519505,Other
5111,Travel attendants and travel stewards,3.544405,0.345951,High risk
5112,Transport conductors,3.366054,0.586097,Other
5113,Travel guides,3.618612,0.517658,Other
5120,Cooks,3.355197,0.667462,Other
5131,Waiters,3.447749,0.71809,Other
5132,Bartenders,3.471595,0.549918,Other
5141,Hairdressers,3.332348,0.534204,Other
5142,Beauticians and related workers,3.321536,0.729397,Other
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",3.51692,0.644341,Other
5152,Domestic housekeepers,3.476302,0.683757,Other
5153,Building caretakers,3.51692,0.644341,Other
5162,Companions and valets,3.483242,0.811249,Other
5163,Undertakers and embalmers,3.711967,0.582081,Other
5164,Pet groomers and animal care workers,3.463544,0.714738,Other
5165,Driving instructors,3.458119,0.573822,Other
5169,Personal services workers not elsewhere classified,3.47795,0.631324,Other
5211,Stall and market salespersons,3.69481,0.086966,High risk
5212,Street food salespersons,3.69481,0.086966,High risk
5221,Shop keepers,3.472929,0.233985,Other
5222,Shop supervisors,3.409419,0.496551,Other
5223,Shop sales assistants,3.581485,0.248673,High risk
5230,Cashiers and ticket clerks,3.628953,0.175005,High risk
5241,Fashion and other models,3.477448,0.078265,Other
5242,Sales demonstrators,3.616624,0.215627,High risk
5243,Door to door salespersons,3.69481,0.086966,High risk
5244,Contact centre salespersons,3.413607,0.564936,Other
5245,Service station attendants,3.390518,0.59157,Other
5246,Food service counter attendants,3.48397,0.463258,Other
5249,Sales workers not elsewhere classified,3.591546,0.251089,High risk
5311,Child care workers,3.480824,0.560763,Other
5312,Teachers' aides,3.44829,0.59846,Other
5321,Health care assistants,3.422359,0.746722,Other
5322,Home-based personal care workers,3.329477,0.931872,Low risk
5329,Personal care workers in health services not elsewhere classified,3.562751,0.719163,Other
5411,Fire-fighters,3.24861,0.920848,Low risk
5412,Police officers,3.407277,0.488035,Other
5413,Prison guards,3.466329,0.598213,Other
5414,Security guards,3.565287,0.413372,High risk
5419,Protective services workers not elsewhere classified,3.408714,0.606612,Other
6111,Field crop and vegetable growers,3.478039,0.81074,Other
6112,Tree and shrub crop growers,3.45667,0.835533,Other
6113,"Gardeners, horticultural and nursery growers",3.413016,0.77752,Other
6114,Mixed crop growers,3.478039,0.81074,Other
6121,Livestock and dairy producers,3.433303,0.859271,Other
6122,Poultry producers,3.423423,0.818131,Other
6123,Apiarists and sericulturists,3.423423,0.818131,Other
6129,Animal producers not elsewhere classified,3.423423,0.818131,Other
6130,Mixed crop and animal producers,3.503802,0.883103,Other
6210,Forestry and related workers,3.470846,0.735268,Other
6221,Aquaculture workers,3.372239,0.92538,Low risk
6222,Inland and coastal waters fishery workers,3.439786,0.96319,Other
6223,Deep-sea fishery workers,3.439786,0.96319,Other
6224,Hunters and trappers,3.402926,0.874872,Low risk
7111,House builders,3.441873,0.548395,Other
7112,Bricklayers and related workers,3.197009,0.914566,Low risk
7113,"Stonemasons, stone cutters, splitters and carvers",3.177117,0.889284,Low risk
7114,"Concrete placers, concrete finishers and related workers",3.308638,0.787854,Low risk
7115,Carpenters and joiners,3.38804,0.707423,Other
7119,Building frame and related trades workers not elsewhere classified,3.399458,0.957879,Low risk
7121,Roofers,3.399315,0.961418,Low risk
7122,Floor layers and tile setters,3.337842,0.818607,Low risk
7123,Plasterers,3.238131,0.882098,Low risk
7124,Insulation workers,3.502504,0.893447,Other
7125,Glaziers,3.367498,0.914401,Low risk
7126,Plumbers and pipe fitters,3.392858,0.922769,Low risk
7127,Air conditioning and refrigeration mechanics,3.517841,0.841499,Other
7131,Painters and related workers,3.299592,0.832403,Low risk
7132,Spray painters and varnishers,3.405618,0.918012,Low risk
7133,Building structure cleaners,3.526074,0.87645,Other
7211,Metal moulders and coremakers,3.462933,0.876579,Other
7212,Welders and flamecutters,3.463946,0.703955,Other
7213,Sheet-metal workers,3.511019,0.945218,Other
7214,Structural-metal preparers and erectors,3.435738,0.891843,Other
7215,Riggers and cable splicers,3.35553,0.931791,Low risk
7221,"Blacksmiths, hammersmiths and forging press workers",3.499066,0.853033,Other
7222,Toolmakers and related workers,3.570292,0.700765,Other
7223,Metal working machine tool setters and operators,3.485374,0.716546,Other
7224,"Metal polishers, wheel grinders and tool sharpeners",3.554771,0.501596,Other
7231,Motor vehicle mechanics and repairers,3.365504,0.888383,Low risk
7232,Aircraft engine mechanics and repairers,3.374791,0.802041,Low risk
7233,Agricultural and industrial machinery mechanics and repairers,3.372989,0.761797,Other
7234,Bicycle and related repairers,3.454175,0.859481,Other
7311,Precision-instrument makers and repairers,3.454006,0.838736,Other
7312,Musical instrument makers and tuners,3.334332,0.943576,Low risk
7313,Jewellery and precious-metal workers,3.637522,0.66491,Other
7314,Potters and related workers,3.502808,0.882267,Other
7315,"Glass makers, cutters, grinders and finishers",3.518488,0.836687,Other
7316,"Sign writers, decorative painters, engravers and etchers",3.453818,0.803196,Other
7317,"Handicraft workers in wood, basketry and related materials",3.415749,0.819303,Other
7318,"Handicraft workers in textile, leather and related materials",3.535512,0.703981,Other
7319,Handicraft workers not elsewhere classified,3.451458,0.871911,Other
7321,Pre-press technicians,3.617623,0.624252,Other
7322,Printers ,3.530355,0.625357,Other
7323,Print finishing and binding workers,3.450825,0.827045,Other
7411,Building and related electricians,3.471609,1.0,Other
7412,Electrical mechanics and fitters,3.376885,0.915167,Low risk
7413,Electrical line installers and repairers ,3.45837,0.858732,Other
7421,Electronics mechanics and servicers,3.442791,0.76,Other
7422,Information and communications technology installers and servicers,3.428231,0.783185,Other
7511,"Butchers, fishmongers and related food preparers",3.382033,0.885119,Low risk
7512,"Bakers, pastry-cooks and confectionery makers",3.499386,0.736023,Other
7513,Dairy-products makers,3.479992,0.768748,Other
7514,"Fruit, vegetable and related preservers",3.443469,0.708851,Other
7515,Food and beverage tasters and graders,3.466935,0.609367,Other
7516,Tobacco preparers and tobacco products makers,3.396748,0.718835,Other
7521,Wood treaters,3.460153,0.739456,Other
7522,Cabinet-makers and related workers,3.427798,0.815701,Other
7523,Woodworking-machine tool setters and operators,3.432102,0.77039,Other
7531,"Tailors, dressmakers, furriers and hatters",3.466763,0.71408,Other
7532,Garment and related pattern-makers and cutters,3.671794,0.560979,Other
7533,"Sewing, embroidery and related workers",3.54796,0.783243,Other
7534,Upholsterers and related workers,3.386437,0.751438,Other
7535,"Pelt dressers, tanners and fellmongers",3.40361,0.483694,Other
7536,Shoemakers and related workers,3.487109,0.640178,Other
7541,Underwater divers,3.354359,1.0,Low risk
7542,Shotfirers and blasters,3.393566,0.95728,Low risk
7543,Product graders and testers (excluding foods and beverages),3.543171,0.674571,Other
7544,Fumigators and other pest and weed controllers,3.424209,0.920107,Other
8111,Miners and quarriers,3.479106,0.894569,Other
8112,Mineral and stone processing plant operators,3.431305,0.775869,Other
8113,Well drillers and borers and related workers,3.406418,0.813116,Low risk
8114,"Cement, stone and other mineral products machine operators",3.46185,0.849591,Other
8121,Metal processing plant operators,3.415277,0.720125,Other
8122,"Metal finishing, plating and coating machine operators",3.47715,0.738508,Other
8131,Chemical products plant and machine operators,3.446742,0.740837,Other
8132,Photographic products machine operators,3.593835,0.363483,High risk
8141,Rubber products machine operators,3.450303,0.809369,Other
8142,Plastic products machine operators,3.518163,0.828544,Other
8143,Paper products machine operators,3.452206,0.773837,Other
8151,"Fibre preparing, spinning and winding machine operators",3.573213,0.78911,Other
8152,Weaving and knitting machine operators,3.538187,0.698649,Other
8153,Sewing machine operators,3.576306,0.766162,Other
8154,"Bleaching, dyeing and fabric cleaning machine operators",3.448005,0.732374,Other
8155,Fur and leather preparing machine operators,3.47471,0.837314,Other
8156,Shoemaking and related machine operators,3.492844,0.80442,Other
8157,Laundry machine operators,3.417519,0.686988,Other
8159,"Textile, fur and leather products machine operators not elsewhere classified",3.542699,0.696191,Other
8160,Food and related products machine operators,3.448824,0.775357,Other
8171,Pulp and papermaking plant operators,3.484744,0.760221,Other
8172,Wood processing plant operators,3.479933,0.751704,Other
8181,Glass and ceramics plant operators,3.45409,0.798073,Other
8182,Steam engine and boiler operators,3.481668,0.726087,Other
8183,"Packing, bottling and labelling machine operators",3.435916,0.475199,Other
8189,Stationary plant and machine operators not elsewhere classified,3.454701,0.712337,Other
8211,Mechanical machinery assemblers,3.521043,0.700455,Other
8212,Electrical and electronic equipment assemblers,3.468535,0.821163,Other
8219,Assemblers not elsewhere classified,3.437649,0.797924,Other
8311,Locomotive engine drivers,3.495426,0.730654,Other
8312,"Railway brake, signal and switch operators",3.351666,0.798083,Low risk
8321,Motorcycle drivers,3.712734,0.700413,Other
8322,"Car, taxi and van drivers",3.427412,0.647419,Other
8331,Bus and tram drivers,3.397844,0.604725,Other
8332,Heavy truck and lorry drivers,3.404376,0.774545,Low risk
8341,Mobile farm and forestry plant operators,3.437945,0.883314,Other
8342,Earthmoving and related plant operators,3.38249,0.937963,Low risk
8343,"Crane, hoist and related plant operators",3.328925,0.818091,Low risk
8344,Lifting truck operators,3.313887,0.894015,Low risk
8350,Ships' deck crews and related workers,3.456713,0.851665,Other
9111,Domestic cleaners and helpers,3.374625,0.958691,Low risk
9112,"Cleaners and helpers in offices, hotels and other establishments",3.365907,0.901897,Low risk
9121,Hand launderers and pressers,3.301814,0.807421,Low risk
9122,Vehicle cleaners,3.390557,0.880061,Low risk
9123,Window cleaners,3.376025,0.921454,Low risk
9129,Other cleaning workers,3.353905,0.852189,Low risk
9211,Crop farm labourers,3.385866,0.841665,Low risk
9212,Livestock farm labourers,3.402325,1.0,Low risk
9213,Mixed crop and livestock farm labourers,3.385866,0.841665,Low risk
9214,Garden and horticultural labourers,3.412075,0.856485,Other
9215,Forestry labourers,3.470846,0.735268,Other
9216,Fishery and aquaculture labourers,3.411691,0.990798,Low risk
9311,Mining and quarrying labourers,3.479438,0.930254,Other
9312,Civil engineering labourers,3.468337,0.892255,Other
9313,Building construction labourers,3.469622,0.860954,Other
9321,Hand packers,3.390885,0.951012,Low risk
9329,Manufacturing labourers not elsewhere classified,3.456205,0.812867,Other
9331,Hand and pedal vehicle drivers,3.712734,0.700413,Other
9332,Drivers of animal-drawn vehicles and machinery,3.397844,0.604725,Other
9333,Freight handlers,3.39404,0.759925,Other
9334,Shelf fillers,3.541826,0.553387,Other
9411,Fast food preparers,3.406308,0.369107,Other
9412,Kitchen helpers,3.452619,0.749499,Other
9510,Street and related service workers,3.532399,0.127752,High risk
9520,Street vendors (excluding food),3.69481,0.086966,High risk
9611,Garbage and recycling collectors,3.472109,0.708934,Other
9612,Refuse sorters,3.358258,0.68605,Other
9613,Sweepers and related labourers,3.504463,0.820991,Other
9621,"Messengers, package deliverers and luggage porters",3.694226,0.567576,Other
9622,Odd job persons,3.468337,0.892255,Other
9623,Meter readers and vending-machine collectors,3.443752,0.638503,Other
9629,Elementary workers not elsewhere classified,3.525978,0.473627,Other
