AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,20.654557,19.766031,21.939692,18.052472,23.056777
17,1.0,19.871146,21.992762,21.503271,19.35361,19.085538
17,2.0,59.474297,58.241207,56.557037,62.593918,57.857685
22,0.0,24.775615,23.316845,23.053847,21.576079,24.249404
22,1.0,13.164048,13.072767,13.915245,12.969901,11.763589
22,2.0,62.060337,63.610388,63.030907,65.45402,63.987007
27,0.0,20.063828,19.24871,18.489856,18.786327,17.378333
27,1.0,11.170844,12.343252,10.877061,11.546217,10.076688
27,2.0,68.765328,68.408038,70.633084,69.667455,72.544978
32,0.0,17.623296,17.718613,16.222051,17.876177,17.153277
32,1.0,11.092777,11.23627,11.278661,11.35802,11.149112
32,2.0,71.283926,71.045117,72.499288,70.765803,71.697611
37,0.0,17.417475,15.150058,16.56503,16.307736,16.218868
37,1.0,11.272133,10.560373,11.391642,11.695831,12.248897
37,2.0,71.310392,74.289569,72.043329,71.996433,71.532236
42,0.0,16.535566,16.041081,16.089142,16.17904,15.093477
42,1.0,14.48972,12.63959,12.320304,11.723099,12.055133
42,2.0,68.974714,71.319329,71.590553,72.097862,72.85139
47,0.0,16.138897,16.527355,14.807399,15.98048,14.870244
47,1.0,15.859265,14.584909,14.763903,13.919421,13.984036
47,2.0,68.001838,68.887736,70.428698,70.100099,71.145719
52,0.0,15.443607,14.480025,14.765919,14.628375,15.499908
52,1.0,16.960795,16.850186,16.364784,16.560332,16.525923
52,2.0,67.595598,68.66979,68.869297,68.811293,67.97417
57,0.0,15.902587,15.209022,14.54806,15.053016,15.003427
57,1.0,16.328545,17.206692,16.712599,16.725305,16.822084
57,2.0,67.768868,67.584286,68.73934,68.221679,68.174489
62,0.0,16.21284,16.496078,13.988934,12.02155,14.656732
62,1.0,16.417208,18.957242,18.193875,19.08253,15.750186
62,2.0,67.369952,64.546679,67.817191,68.89592,69.593082
67,0.0,10.068756,13.169451,13.232922,11.806325,13.393161
67,1.0,14.318918,17.633844,12.932366,14.254901,15.018565
67,2.0,75.612325,69.196704,73.834712,73.938774,71.588274
72,0.0,18.749649,5.403369,15.373866,17.311911,10.810713
72,1.0,13.357731,8.669311,8.741223,9.555447,11.561689
72,2.0,67.89262,85.92732,75.884911,73.132643,77.627598
77,0.0,21.061808,15.856869,33.18742,15.163657,15.199059
77,1.0,x,7.316857,5.638215,14.715693,6.68074
77,2.0,78.938192,76.826274,61.174365,70.12065,78.120201
