AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,31.844603,33.389502,31.563788,29.663348,30.379353
17,1.0,9.507541,11.264328,10.613639,10.527106,11.946624
17,2.0,58.647856,55.34617,57.822573,59.809545,57.674023
22,0.0,25.649527,25.114388,24.351158,23.733927,23.665125
22,1.0,10.55958,10.462729,9.049568,9.767131,10.483037
22,2.0,63.790893,64.422883,66.599275,66.498942,65.851838
27,0.0,18.172566,18.768424,16.811047,18.076015,17.491169
27,1.0,11.083736,10.234973,11.238064,9.638021,10.083451
27,2.0,70.743697,70.996603,71.95089,72.285964,72.42538
32,0.0,14.705618,15.387049,14.861894,14.859609,14.814345
32,1.0,10.580616,11.133688,10.100766,9.097454,9.99873
32,2.0,74.713766,73.479263,75.037341,76.042937,75.186925
37,0.0,14.194475,13.61557,12.601346,14.681186,13.948569
37,1.0,8.980786,8.944952,9.32381,9.458521,9.18949
37,2.0,76.824739,77.439478,78.074843,75.860293,76.861941
42,0.0,13.695837,14.643383,13.498195,13.348716,12.755189
42,1.0,10.434425,9.838996,8.715877,9.038064,8.460102
42,2.0,75.869738,75.517621,77.785928,77.61322,78.784709
47,0.0,12.969589,13.677861,13.002457,13.737519,12.645112
47,1.0,9.662006,9.974046,10.283361,8.91353,9.792566
47,2.0,77.368405,76.348094,76.714182,77.34895,77.562321
52,0.0,13.859034,13.843427,13.072005,13.211568,13.760779
52,1.0,10.902035,10.581151,10.098177,10.638112,10.807832
52,2.0,75.238931,75.575422,76.829818,76.15032,75.431388
57,0.0,14.635775,14.65516,13.325747,14.149606,13.981659
57,1.0,11.886185,11.308819,11.418186,10.889002,10.88816
57,2.0,73.47804,74.03602,75.256067,74.961392,75.130182
62,0.0,15.572421,14.100091,13.564495,15.172493,15.120643
62,1.0,12.803687,12.421412,10.498202,12.593933,12.889139
62,2.0,71.623892,73.478497,75.937303,72.233573,71.990218
67,0.0,17.253172,16.015637,15.306314,15.060281,15.486447
67,1.0,11.312436,13.071768,11.985858,12.839355,12.190201
67,2.0,71.434392,70.912596,72.707828,72.100363,72.323352
72,0.0,13.093023,13.763758,16.682838,15.712793,14.879328
72,1.0,14.873073,15.133265,14.77067,12.52959,12.873194
72,2.0,72.033904,71.102977,68.546492,71.757617,72.247477
77,0.0,17.502014,15.273174,16.992136,17.706208,10.162499
77,1.0,22.96867,17.410562,15.215865,21.054486,16.312085
77,2.0,59.529316,67.316264,67.791999,61.239306,73.525417
