NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,2.309727,2.437156,2.315199,2.055307,1.84399
A,1.0,49.26054,51.109162,51.338572,50.821407,50.301314
A,2.0,48.429733,46.453682,46.346229,47.123286,47.854696
B,0.0,13.572001,11.245112,11.524713,11.759805,14.816749
B,1.0,21.044105,24.058032,18.829513,23.066536,31.478839
B,2.0,65.383895,64.696856,69.645774,65.173659,53.704412
C,0.0,11.926591,11.898374,11.561836,11.300798,11.983313
C,1.0,12.402256,12.186693,12.159215,11.795109,11.932935
C,2.0,75.671153,75.914932,76.278949,76.904093,76.083752
D,0.0,31.074166,33.497191,29.752966,29.373348,29.106116
D,1.0,16.815514,12.023582,13.207083,15.032165,14.288623
D,2.0,52.11032,54.479227,57.039952,55.594487,56.605262
E,0.0,13.123826,12.784451,11.838363,12.550226,11.807754
E,1.0,6.962908,6.950092,7.753335,8.670333,8.466785
E,2.0,79.913266,80.265458,80.408302,78.77944,79.725461
F,0.0,6.10768,6.593473,5.994898,6.115823,5.875461
F,1.0,65.133945,65.579359,65.840076,65.576834,65.635356
F,2.0,28.758375,27.827168,28.165025,28.307343,28.489183
G,0.0,67.837499,67.992691,67.730747,67.687901,67.025212
G,1.0,7.427585,7.648888,8.123543,7.830743,7.600856
G,2.0,24.734916,24.358421,24.14571,24.481356,25.373931
H,0.0,16.365507,15.694783,16.11839,16.141374,15.88347
H,1.0,8.91943,8.69449,7.901838,8.320493,8.376594
H,2.0,74.715063,75.610727,75.979772,75.538133,75.739936
I,0.0,11.737101,11.239087,12.067312,11.755065,11.341992
I,1.0,2.956037,2.983208,2.617283,2.554749,2.695966
I,2.0,85.306862,85.777705,85.315405,85.690186,85.962042
J,0.0,18.510039,19.508202,19.533876,19.706933,18.312582
J,1.0,0.474194,0.40477,0.647212,0.427095,0.360646
J,2.0,81.015766,80.087028,79.818912,79.865973,81.326772
K,0.0,78.921276,79.003755,78.666816,78.079734,77.762455
K,1.0,0.151371,0.121256,0.14884,0.138994,0.193037
K,2.0,20.927353,20.874989,21.184344,21.781272,22.044508
L,0.0,36.62361,39.56167,40.030882,37.197501,34.32067
L,1.0,2.472113,1.869263,2.263113,2.269134,1.955311
L,2.0,60.904277,58.569067,57.706005,60.533365,63.72402
M,0.0,24.57808,24.348326,24.78644,25.032391,24.878508
M,1.0,0.772045,0.778296,0.641377,0.551265,0.647055
M,2.0,74.649876,74.873378,74.572183,74.416344,74.474436
N,0.0,24.148444,23.665661,23.598475,23.212689,23.281525
N,1.0,38.92629,39.281024,37.894198,36.930839,35.579958
N,2.0,36.925266,37.053315,38.507327,39.856471,41.138517
O,0.0,33.720373,33.081652,33.138586,33.668911,34.426267
O,1.0,2.371142,2.468733,2.298931,2.54854,2.316748
O,2.0,63.908486,64.449616,64.562483,63.782549,63.256986
P,0.0,6.779022,7.489329,7.859708,7.649798,6.638479
P,1.0,10.158019,10.362003,10.094216,9.530181,9.391346
P,2.0,83.062959,82.148668,82.046077,82.820021,83.970175
Q,0.0,9.371055,9.162063,9.549969,9.469127,9.608964
Q,1.0,3.695658,3.666472,3.838524,3.907418,3.921594
Q,2.0,86.933287,87.171465,86.611508,86.623455,86.469443
R,0.0,17.636555,18.292566,17.419424,17.323861,18.612068
R,1.0,4.758523,3.878636,3.849732,4.203154,4.871702
R,2.0,77.604922,77.828799,78.730844,78.472985,76.516231
S,0.0,11.918283,11.920074,12.404643,12.206321,10.885163
S,1.0,8.533321,8.061791,8.253299,8.337846,8.17126
S,2.0,79.548397,80.018136,79.342058,79.455833,80.943578
T,0.0,0.170252,0.129925,0.184993,0.206564,0.126969
T,1.0,58.49364,58.45144,56.588602,54.210045,55.339551
T,2.0,41.336108,41.418635,43.226404,45.583391,44.53348
U,0.0,31.815488,29.08404,28.920814,43.498524,33.819379
U,1.0,11.785063,1.792449,5.481588,3.443378,6.017278
U,2.0,56.399449,69.12351,65.597598,53.058098,60.163343
