FTPT,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,16.295845,15.843157,15.38566,15.595511,15.515413
1,1.0,12.245849,12.196899,11.695401,11.790527,11.517335
1,2.0,71.458306,71.959944,72.918939,72.613962,72.967252
2,0.0,22.238944,20.563898,20.278234,20.049366,20.451814
2,1.0,22.092443,21.501483,22.542977,21.596712,22.065356
2,2.0,55.668613,57.93462,57.178789,58.353922,57.48283
