HATLEV1D,RISK_CAT,2014,2015,2016,2017,2018
H,0.0,12.373814,12.90151,12.22105,12.68061,12.382441
H,1.0,3.251174,3.230738,3.169451,2.864392,3.139592
H,2.0,84.375012,83.867752,84.609498,84.454998,84.477967
L,0.0,19.493425,19.560711,18.55514,18.282408,17.411491
L,1.0,18.355791,18.348051,17.165677,17.364845,18.080151
L,2.0,62.150784,62.091238,64.279184,64.352747,64.508357
M,0.0,18.571942,18.74846,17.438129,18.264392,18.208239
M,1.0,14.281354,14.613904,14.247071,13.916667,14.175724
M,2.0,67.146705,66.637636,68.314799,67.818941,67.616037
