INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,17.50271,16.075357,16.385997,15.197571,16.888299
1.0,1.0,30.289749,29.667102,30.183822,30.910483,30.191246
1.0,2.0,52.207541,54.25754,53.430181,53.891946,52.920455
2.0,0.0,26.117844,24.61616,24.006968,24.708007,27.426883
2.0,1.0,21.865805,22.128213,23.013676,22.397747,20.697589
2.0,2.0,52.016351,53.255627,52.979356,52.894247,51.875528
3.0,0.0,23.222283,24.596316,23.691624,24.537562,23.729536
3.0,1.0,18.020955,18.340977,17.56766,16.207689,17.394121
3.0,2.0,58.756762,57.062707,58.740716,59.254749,58.876343
4.0,0.0,22.485931,20.413831,19.750765,21.92333,20.481535
4.0,1.0,17.038084,16.938872,17.403192,17.704819,17.059551
4.0,2.0,60.475985,62.647297,62.846043,60.371851,62.458915
5.0,0.0,18.893386,20.996549,18.189693,17.984452,19.859277
5.0,1.0,15.93533,15.205926,14.843614,13.5746,12.840021
5.0,2.0,65.171284,63.797525,66.966693,68.440948,67.300702
6.0,0.0,18.048185,17.892791,18.017927,17.533194,16.177384
6.0,1.0,10.660547,12.216143,11.413428,12.446877,11.749667
6.0,2.0,71.291268,69.891066,70.568645,70.019929,72.072948
7.0,0.0,18.684845,17.157027,15.978625,16.862918,14.846523
7.0,1.0,8.601863,8.547349,7.452903,8.692105,8.503133
7.0,2.0,72.713292,74.295624,76.568472,74.444977,76.650344
8.0,0.0,13.050621,12.906323,12.310288,13.365948,12.920401
8.0,1.0,5.741498,4.81915,6.054754,6.541347,5.298284
8.0,2.0,81.207881,82.274527,81.634958,80.092705,81.781315
9.0,0.0,12.735879,11.244004,10.344982,11.268848,9.911108
9.0,1.0,3.900947,3.664999,3.407115,3.820112,3.920134
9.0,2.0,83.363174,85.090997,86.247903,84.91104,86.168758
10.0,0.0,11.776317,10.51724,10.980444,11.704797,11.640269
10.0,1.0,3.293878,2.559954,2.336629,2.126464,2.289188
10.0,2.0,84.929805,86.922805,86.682927,86.168739,86.070543
99.0,0.0,10.91557,9.641072,11.30157,8.481074,8.792269
99.0,1.0,18.013674,17.81391,16.485388,15.426946,16.731562
99.0,2.0,71.070756,72.545018,72.213042,76.09198,74.476169
