HATLEV1D,RISK_CAT,2014,2015,2016,2017,2018
H,0.0,16.729567,17.353738,17.512092,17.525361,17.41843
H,1.0,1.778095,1.906472,1.729065,1.786836,1.927755
H,2.0,81.492338,80.73979,80.758844,80.687803,80.653815
L,0.0,15.050312,14.811079,14.978357,14.719142,14.297526
L,1.0,29.081875,29.427087,28.985731,29.01537,29.186668
L,2.0,55.867813,55.761835,56.035912,56.265488,56.515806
M,0.0,31.723855,31.662946,31.507597,31.450496,31.350244
M,1.0,12.33223,12.484656,12.285735,11.9121,11.89368
M,2.0,55.943915,55.852398,56.206669,56.637404,56.756075
