NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,4.566487,5.122718,3.332562,5.04871,3.287552
A,1.0,64.739523,62.209375,58.794877,60.552111,58.031033
A,2.0,30.69399,32.667907,37.872561,34.399178,38.681415
B,0.0,6.596302,8.209278,6.34976,8.849171,5.342503
B,1.0,12.064185,13.744892,12.836409,17.262628,15.285481
B,2.0,81.339512,78.04583,80.813831,73.888201,79.372016
C,0.0,9.372752,9.965907,9.547928,10.258178,10.298608
C,1.0,17.636638,18.665754,18.14164,16.411351,17.594336
C,2.0,72.99061,71.368338,72.310432,73.330472,72.107056
D,0.0,17.897073,20.768865,20.082968,16.169025,16.045476
D,1.0,17.39471,17.495784,17.308991,14.854368,17.079032
D,2.0,64.708217,61.735351,62.608041,68.976607,66.875492
E,0.0,13.448167,10.904796,8.80287,7.40212,9.587399
E,1.0,11.385882,10.021447,7.366981,13.233438,8.17565
E,2.0,75.165951,79.073757,83.83015,79.364443,82.236951
F,0.0,5.699456,5.581035,4.578443,5.077848,4.921916
F,1.0,45.14802,45.503565,44.455347,44.055918,44.452627
F,2.0,49.152524,48.915401,50.96621,50.866234,50.625457
G,0.0,49.73617,49.911617,47.882902,46.793059,45.2346
G,1.0,8.218193,8.185207,7.881367,7.543083,8.758185
G,2.0,42.045637,41.903175,44.235731,45.663858,46.007215
H,0.0,8.537222,8.717688,7.322478,8.30029,6.837605
H,1.0,10.327922,10.979818,8.931375,8.786678,10.669277
H,2.0,81.134856,80.302494,83.746147,82.913032,82.493118
I,0.0,8.654714,9.601467,9.314222,8.664597,9.212038
I,1.0,5.049964,4.735792,4.092462,4.583614,4.265355
I,2.0,86.295322,85.662741,86.593316,86.751789,86.522607
J,0.0,12.619829,11.990702,10.694141,13.424583,12.524095
J,1.0,0.979984,0.879403,0.847115,0.507469,0.563259
J,2.0,86.400187,87.129895,88.458744,86.067948,86.912646
K,0.0,43.067068,42.384083,38.701487,40.509217,39.10262
K,1.0,0.535605,0.458574,0.665982,0.718141,0.161834
K,2.0,56.397327,57.157343,60.632531,58.772642,60.735546
L,0.0,14.338255,14.193332,15.740731,13.892051,18.68929
L,1.0,6.698457,4.709149,6.605609,5.158532,3.989551
L,2.0,78.963288,81.097519,77.653661,80.949417,77.321159
M,0.0,17.459822,18.393922,16.969336,18.004414,18.659065
M,1.0,1.966637,1.767197,2.309143,1.799982,2.42444
M,2.0,80.573542,79.838881,80.72152,80.195604,78.916495
N,0.0,13.00192,16.808273,14.769732,14.32987,15.278225
N,1.0,28.433299,26.034161,25.61337,24.364109,26.024906
N,2.0,58.564781,57.157566,59.616899,61.306021,58.696869
O,0.0,15.981973,14.905742,15.461035,16.304278,16.067864
O,1.0,2.207875,2.383868,2.373832,2.364569,2.399867
O,2.0,81.810152,82.71039,82.165133,81.331152,81.53227
P,0.0,3.457251,2.862391,3.282678,3.239955,3.218613
P,1.0,2.296957,2.183685,1.623405,1.975671,2.01694
P,2.0,94.245792,94.953924,95.093917,94.784374,94.764447
Q,0.0,7.431886,6.77129,6.014166,6.370471,6.902597
Q,1.0,2.613335,2.880705,2.529791,2.685862,2.84433
Q,2.0,89.954778,90.348005,91.456043,90.943667,90.253072
R,0.0,12.954612,16.320178,13.26588,13.985905,12.588391
R,1.0,3.48876,2.108885,2.735788,2.831921,3.283539
R,2.0,83.556628,81.570938,83.998333,83.182174,84.128071
S,0.0,7.615053,8.998875,8.293149,9.387349,7.242984
S,1.0,6.612762,7.902281,6.5981,6.482686,7.951056
S,2.0,85.772185,83.098845,85.108751,84.129965,84.80596
T,0.0,1.723141,x,x,x,x
T,1.0,27.062624,17.326779,25.537089,9.238786,18.543938
T,2.0,71.214235,82.673221,74.462911,90.761214,81.456062
U,0.0,18.338115,18.250287,23.494565,11.849119,14.09114
U,1.0,x,x,5.604212,5.762715,4.346948
U,2.0,81.661885,81.749713,70.901223,82.388166,81.561912
