SEX,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,10.362189,9.795687,9.967227,10.226354,10.142049
1,1.0,15.679793,15.715123,14.792464,15.311732,15.319186
1,2.0,73.958017,74.489191,75.240308,74.461914,74.538765
2,0.0,24.910037,24.091239,23.078669,23.128071,22.990987
2,1.0,12.411622,12.10616,12.672769,12.008303,11.522008
2,2.0,62.678342,63.802602,64.248562,64.863626,65.487005
