INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,36.462125,23.092523,29.614277,35.243577,18.049515
1.0,1.0,7.563907,9.76794,6.345472,8.572731,4.479447
1.0,2.0,55.973968,67.139536,64.040251,56.183692,77.471037
2.0,0.0,27.557292,29.095575,29.29834,23.897,17.836263
2.0,1.0,11.670295,13.27446,7.984978,11.308899,9.944704
2.0,2.0,60.772412,57.629966,62.716682,64.7941,72.219033
3.0,0.0,25.69388,20.468729,24.959148,29.966027,28.32224
3.0,1.0,6.158943,5.295935,11.405951,5.079849,5.197076
3.0,2.0,68.147178,74.235336,63.6349,64.954123,66.480685
4.0,0.0,21.849154,14.925476,21.374264,21.135686,11.923774
4.0,1.0,3.595753,7.001291,8.392803,9.264383,9.826033
4.0,2.0,74.555093,78.073233,70.232934,69.599931,78.250193
5.0,0.0,24.681543,16.941824,17.775414,20.464415,17.307871
5.0,1.0,4.012369,6.491458,7.206683,4.630596,x
5.0,2.0,71.306088,76.566718,75.017902,74.904989,82.692129
6.0,0.0,20.240587,24.577329,20.753864,17.731021,15.302968
6.0,1.0,5.02474,3.479126,3.186423,2.678229,2.019972
6.0,2.0,74.734672,71.943545,76.059713,79.59075,82.677059
7.0,0.0,19.671065,15.46194,12.959175,13.692342,13.047062
7.0,1.0,4.259789,4.133294,3.658305,3.711858,x
7.0,2.0,76.069147,80.404767,83.38252,82.5958,86.952938
8.0,0.0,14.197192,13.642848,12.147311,15.332252,13.511174
8.0,1.0,4.466531,5.488276,3.668806,2.794758,5.340971
8.0,2.0,81.336276,80.868876,84.183883,81.87299,81.147854
9.0,0.0,10.005557,9.457539,12.196928,11.38014,12.348418
9.0,1.0,1.342068,3.926665,2.909161,3.793758,x
9.0,2.0,88.652374,86.615796,84.89391,84.826102,87.651582
10.0,0.0,18.802603,14.926872,12.204826,15.124478,13.081487
10.0,1.0,2.004747,1.440823,1.204034,1.28563,1.407428
10.0,2.0,79.19265,83.632305,86.59114,83.589892,85.511085
99.0,0.0,6.598564,8.571106,7.868581,5.603881,6.182717
99.0,1.0,16.56048,16.638295,16.752444,19.060528,14.142662
99.0,2.0,76.840956,74.790599,75.378975,75.335591,79.674621
