INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,21.68935,17.531698,18.33104,17.542279,16.683433
1.0,1.0,24.518168,20.334684,23.266711,25.826196,23.619329
1.0,2.0,53.792482,62.133618,58.402249,56.631525,59.697239
2.0,0.0,24.595995,24.280071,23.418172,24.253359,28.802539
2.0,1.0,18.60561,19.021969,21.61884,20.063175,14.86166
2.0,2.0,56.798395,56.697959,54.962988,55.683466,56.335801
3.0,0.0,27.394885,23.227755,25.826515,25.574181,24.913384
3.0,1.0,16.439253,15.698623,19.964832,15.829411,16.68861
3.0,2.0,56.165862,61.073621,54.208652,58.596408,58.398006
4.0,0.0,23.450614,21.510264,24.925228,26.559536,24.549999
4.0,1.0,13.560813,13.964424,11.304989,15.398378,14.499737
4.0,2.0,62.988572,64.525312,63.769783,58.042086,60.950264
5.0,0.0,23.538845,25.644756,21.661947,18.232141,23.008874
5.0,1.0,13.931524,9.790424,10.515584,9.027001,11.542253
5.0,2.0,62.529631,64.564821,67.822468,72.740858,65.448873
6.0,0.0,22.80033,23.61054,22.730455,22.362733,21.15022
6.0,1.0,7.875801,9.951441,6.791951,9.991835,6.684573
6.0,2.0,69.323869,66.438019,70.477594,67.645432,72.165207
7.0,0.0,23.451149,22.687771,20.988993,20.454703,14.897017
7.0,1.0,6.601363,6.948743,7.245162,7.837724,6.633057
7.0,2.0,69.947488,70.363486,71.765846,71.707573,78.469926
8.0,0.0,14.704471,15.405036,13.726261,16.213057,16.649123
8.0,1.0,6.090583,4.165571,6.916207,6.443066,6.312467
8.0,2.0,79.204945,80.429392,79.357532,77.343877,77.03841
9.0,0.0,15.862758,11.698728,12.02753,10.935376,11.445888
9.0,1.0,3.605909,3.296293,2.20774,3.658388,2.501096
9.0,2.0,80.531332,85.004979,85.764731,85.406236,86.053016
10.0,0.0,14.418068,12.039015,9.018096,13.868224,12.108557
10.0,1.0,1.479769,0.99662,1.043103,0.576455,1.38103
10.0,2.0,84.102163,86.964364,89.938801,85.555321,86.510414
99.0,0.0,8.628409,9.912175,9.299545,7.462538,7.108031
99.0,1.0,7.824639,6.103785,6.689942,6.787627,6.399659
99.0,2.0,83.546952,83.98404,84.010513,85.749836,86.49231
