NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,0.602584,10.896395,4.745714,6.951535,2.300198
A,1.0,65.07523,65.899656,58.490594,58.150125,66.702189
A,2.0,34.322186,23.203949,36.763692,34.898339,30.997614
B,0.0,6.504724,6.764765,6.447866,11.168063,9.369586
B,1.0,14.95035,22.306091,11.493188,14.687796,13.749636
B,2.0,78.544926,70.929144,82.058947,74.144141,76.880778
C,0.0,9.683172,9.961067,10.737343,6.997207,10.140114
C,1.0,19.341661,23.997617,20.400432,28.073833,21.968242
C,2.0,70.975167,66.041316,68.862226,64.928959,67.891644
D,0.0,25.90006,21.749859,19.063986,19.001702,16.691457
D,1.0,16.769374,20.795358,19.109081,1.8168,28.861867
D,2.0,57.330566,57.454783,61.826933,79.181498,54.446676
E,0.0,11.143844,3.115217,7.104412,3.153848,8.23029
E,1.0,10.115593,8.286213,16.877573,15.032405,18.633417
E,2.0,78.740564,88.59857,76.018015,81.813746,73.136293
F,0.0,5.99258,5.150939,3.350995,4.987317,4.771295
F,1.0,44.532483,39.016633,42.809477,50.416828,44.467128
F,2.0,49.474937,55.832428,53.839528,44.595855,50.761577
G,0.0,52.901245,53.288297,52.014734,52.636081,49.080178
G,1.0,9.309267,10.524608,8.767018,6.844388,9.116461
G,2.0,37.789488,36.187096,39.218248,40.519531,41.803361
H,0.0,9.576179,5.222028,10.331697,7.856991,5.538947
H,1.0,11.542736,13.607197,9.387367,7.03757,10.577275
H,2.0,78.881085,81.170776,80.280936,85.105439,83.883778
I,0.0,8.204604,11.321925,12.115644,7.601806,10.388838
I,1.0,4.754245,2.472563,3.695794,5.679171,5.512891
I,2.0,87.041151,86.205512,84.188562,86.719023,84.098272
J,0.0,11.804881,15.875368,13.735844,8.406606,17.247344
J,1.0,2.009262,2.26242,0.802969,1.722107,x
J,2.0,86.185856,81.862212,85.461187,89.871287,82.752656
K,0.0,44.733926,53.612468,42.706848,42.124784,35.404741
K,1.0,0.33384,x,x,x,x
K,2.0,54.932234,46.387532,57.293152,57.875216,64.595259
L,0.0,19.670445,15.499216,18.004758,17.774622,36.606027
L,1.0,14.21868,x,26.785843,14.567969,4.089319
L,2.0,66.110875,84.500784,55.2094,67.657409,59.304654
M,0.0,14.179209,15.628854,16.087852,17.965543,19.214396
M,1.0,5.013294,3.033518,4.238198,2.69007,2.12581
M,2.0,80.807497,81.337628,79.673949,79.344386,78.659794
N,0.0,21.871812,21.495526,24.160866,18.725978,20.33505
N,1.0,27.750584,24.07524,21.08304,24.345186,32.647679
N,2.0,50.377604,54.429235,54.756095,56.928835,47.017271
O,0.0,17.404267,19.415425,10.161734,12.73249,15.901442
O,1.0,2.999204,2.419746,1.621462,3.78276,3.222353
O,2.0,79.596529,78.164829,88.216804,83.48475,80.876205
P,0.0,2.589422,2.777021,5.012868,3.871457,2.806131
P,1.0,2.312261,2.4735,1.517472,1.596237,2.249153
P,2.0,95.098316,94.749479,93.46966,94.532306,94.944716
Q,0.0,8.136496,4.491183,5.311923,8.096812,4.924002
Q,1.0,1.958551,5.277655,3.056653,3.842263,2.868683
Q,2.0,89.904953,90.231163,91.631424,88.060925,92.207315
R,0.0,14.766935,17.463918,12.415555,9.839347,9.395761
R,1.0,7.150565,4.767707,2.9053,3.481214,0.967673
R,2.0,78.0825,77.768375,84.679144,86.679438,89.636566
S,0.0,7.15476,8.331221,4.797046,3.423531,7.381995
S,1.0,4.059001,11.962861,8.008768,9.404423,10.208168
S,2.0,88.786239,79.705917,87.194186,87.172046,82.409837
T,1.0,23.299214,x,x,x,x
T,2.0,76.700786,100.0,100.0,100.0,100.0
U,0.0,x,x,36.217193,17.510918,19.816837
U,2.0,100.0,100.0,63.782807,82.489082,80.183163
