SEX,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,15.04618,14.997728,13.981991,14.336149,12.182023
1,1.0,9.310968,9.942467,9.019035,9.070354,8.046135
1,2.0,75.642852,75.059804,76.998974,76.593496,79.771842
2,0.0,20.097364,18.287895,18.678178,18.164947,18.189544
2,1.0,3.767468,4.390723,4.597931,4.448365,3.353
2,2.0,76.135168,77.321382,76.723891,77.386688,78.457456
