AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,34.287571,33.02084,42.544467,30.253804,29.384398
17,1.0,9.830264,12.43762,9.434056,13.273951,15.6006
17,2.0,55.882166,54.54154,48.021476,56.472245,55.015002
22,0.0,28.522177,29.602958,24.720975,21.296726,23.21225
22,1.0,10.297078,13.342874,10.893321,10.791702,13.783505
22,2.0,61.180745,57.054168,64.385704,67.911572,63.004246
27,0.0,22.362857,19.602458,23.339639,18.924007,20.469686
27,1.0,13.317155,11.561155,11.889346,12.133883,9.673662
27,2.0,64.319988,68.836387,64.771015,68.942111,69.856653
32,0.0,13.871421,20.603658,15.054409,14.082607,14.847615
32,1.0,10.786343,13.086758,9.864632,9.380997,12.49709
32,2.0,75.342236,66.309584,75.080959,76.536396,72.655295
37,0.0,16.107255,14.293749,12.856687,13.964038,13.752944
37,1.0,9.709754,10.158473,10.210168,10.167379,10.635418
37,2.0,74.182991,75.547778,76.933145,75.868583,75.611639
42,0.0,14.443238,15.752502,14.579899,13.416348,15.295436
42,1.0,12.715432,11.511787,8.418304,12.029274,11.029891
42,2.0,72.84133,72.735711,77.001797,74.554379,73.674673
47,0.0,11.787856,16.265805,10.459432,12.469199,14.774069
47,1.0,8.948686,10.068237,11.590527,10.985731,10.940269
47,2.0,79.263458,73.665958,77.950041,76.54507,74.285662
52,0.0,13.262715,10.451919,11.616389,12.768604,11.145023
52,1.0,12.716223,8.71182,10.990121,12.093377,11.401137
52,2.0,74.021062,80.836261,77.393491,75.138018,77.45384
57,0.0,11.939953,16.3425,13.376198,17.386372,12.75876
57,1.0,9.137449,11.486345,11.593974,14.020085,8.755166
57,2.0,78.922598,72.171155,75.029829,68.593543,78.486074
62,0.0,17.768025,8.83363,14.619056,13.48355,14.016538
62,1.0,17.277002,17.006777,9.038907,17.27941,17.593608
62,2.0,64.954972,74.159593,76.342037,69.23704,68.389854
67,0.0,21.408938,11.245609,14.243966,16.872258,13.610328
67,1.0,12.108394,19.783166,15.268529,13.226083,13.378014
67,2.0,66.482667,68.971225,70.487505,69.901659,73.011658
72,0.0,15.714027,x,12.714305,19.540373,4.539731
72,1.0,15.571112,33.856613,24.533196,18.581826,2.757809
72,2.0,68.714861,66.143387,62.752499,61.877802,92.70246
77,0.0,9.650819,16.998266,24.196921,7.083597,8.906995
77,1.0,11.513878,51.955308,x,66.629151,33.562484
77,2.0,78.835304,31.046425,75.803079,26.287253,57.530521
