isco_code,2014,2015,2016,2017,2018
111,10.3,4.706,13.528,8.662,7.946
112,9.89,10.443,17.793,12.405,18.62
121,146.784,132.405,135.255,131.419,124.3
122,101.023,78.755,64.775,87.22,82.47
131,3.655,x,1.605,x,2.215
132,106.222,106.621,129.129,114.929,123.94
133,49.778,67.513,96.614,63.525,77.834
134,86.611,82.888,89.734,92.231,96.963
141,23.364,25.436,16.259,26.444,28.369
142,26.286,22.343,27.785,47.738,30.355
143,11.307,11.83,19.627,23.02,26.211
211,5.849,2.817,2.58,3.735,2.393
212,6.071,5.684,4.547,1.835,9.766
213,1.972,1.243,2.472,3.619,6.663
214,107.937,114.12,139.439,91.973,132.659
215,17.01,26.199,34.555,21.51,33.618
216,37.231,56.091,59.077,65.349,60.574
221,37.216,40.02,45.895,48.422,43.432
222,33.411,23.958,22.455,22.846,15.596
223,2.477,1.042,1.959,1.292,x
225,1.533,1.319,0.756,1.361,2.253
226,59.684,55.443,60.157,43.2,33.646
231,33.015,33.615,29.718,40.302,38.108
232,33.746,26.84,25.62,36.921,24.131
233,83.021,95.09,86.722,96.395,102.754
234,74.808,81.899,91.869,61.509,95.704
235,17.565,19.589,16.582,21.282,26.652
241,85.159,126.285,131.247,116.092,133.039
242,113.395,113.672,124.707,132.385,139.649
243,149.097,161.421,168.259,167.057,198.228
251,127.21,160.061,144.289,147.269,186.55
252,5.377,7.478,5.904,11.48,10.918
261,53.458,49.994,73.106,66.917,79.884
262,7.488,4.149,10.601,3.383,4.547
263,27.33,39.135,30.753,61.905,63.538
264,47.463,26.793,44.483,51.82,46.502
265,77.951,52.499,65.507,83.806,64.839
311,120.692,124.983,113.178,114.044,116.535
312,82.521,82.383,68.46,71.425,69.692
313,17.767,19.706,14.058,13.485,20.533
314,2.776,2.77,2.017,9.137,2.659
315,8.081,4.802,6.091,x,8.028
321,30.379,25.849,24.942,27.225,26.241
322,70.463,65.4,73.762,90.934,67.875
323,x,x,0.783,0.731,1.046
324,x,4.797,0.711,x,1.925
325,22.747,27.674,13.487,24.643,34.244
331,75.687,72.577,70.144,76.689,96.537
332,148.961,135.951,128.095,142.157,130.893
333,38.677,57.033,63.462,50.631,50.125
334,179.564,169.398,167.939,163.451,169.015
335,46.246,38.603,58.833,32.583,42.619
341,128.643,129.464,101.455,73.169,91.563
342,14.552,10.092,13.058,12.868,15.05
343,46.238,42.632,60.17,50.417,56.368
351,24.202,25.865,26.929,22.737,22.849
352,13.854,16.142,16.246,24.914,24.896
411,117.902,97.832,97.357,92.753,96.272
412,81.113,57.512,65.406,62.437,56.479
413,1.019,5.284,6.237,2.436,5.018
421,34.809,25.412,20.696,12.352,18.641
422,62.269,74.193,63.307,79.445,67.252
431,107.305,99.197,98.906,93.303,105.514
432,48.949,70.808,49.717,60.204,52.766
441,52.296,35.01,46.791,49.691,44.079
511,16.43,29.525,9.039,8.648,18.527
512,43.507,33.246,50.663,48.145,43.168
513,43.684,66.696,48.236,58.521,39.061
514,29.008,39.801,19.209,32.741,34.371
515,47.338,38.074,47.618,36.038,50.821
516,51.818,47.007,40.816,61.747,52.549
521,8.072,9.559,10.162,10.266,8.534
522,190.685,205.48,182.583,195.63,193.799
523,39.628,39.088,27.997,39.088,40.064
524,18.108,23.782,34.52,45.801,25.783
531,130.757,134.104,117.255,154.782,149.82
532,58.513,84.353,59.16,63.226,93.729
541,113.169,137.422,91.255,95.953,75.791
611,40.803,26.731,18.745,26.409,30.933
612,0.651,3.192,1.806,x,1.701
613,x,1.118,x,x,x
621,x,0.417,1.786,2.963,x
622,x,x,x,x,x
711,69.65,66.122,60.011,70.716,64.075
712,27.346,27.95,31.712,39.647,40.647
713,22.485,18.164,30.702,21.827,23.739
721,11.079,8.444,11.91,10.758,9.915
722,14.466,22.547,8.888,12.394,19.239
723,32.725,33.569,42.19,38.115,32.855
731,9.014,4.423,6.481,18.038,3.72
732,10.812,11.494,7.752,7.071,5.76
741,34.862,33.839,26.191,28.114,36.874
742,6.232,2.051,1.799,3.268,x
751,30.877,23.406,32.428,25.886,26.564
752,5.738,8.441,5.023,2.421,x
753,11.226,5.479,7.197,7.176,8.522
754,5.29,7.033,10.378,4.821,13.274
811,x,0.611,0.724,x,x
812,4.44,1.062,1.132,1.497,0.944
813,8.362,2.147,1.675,5.08,4.028
814,4.51,1.058,x,x,x
815,8.776,4.455,1.451,2.457,3.413
816,6.342,8.933,4.475,19.335,5.484
817,1.092,0.653,x,2.048,0.879
818,45.394,28.047,40.005,47.606,33.267
821,8.556,22.07,17.944,13.566,14.35
831,27.556,17.431,20.459,14.956,10.292
832,62.784,66.319,45.159,74.298,72.907
833,54.96,59.478,76.049,62.388,73.445
834,18.278,25.16,19.624,31.025,24.019
911,257.621,211.638,240.489,281.516,236.436
912,0.892,3.282,3.148,2.304,4.463
921,x,x,x,x,3.182
931,9.723,12.101,7.476,23.367,18.797
932,0.778,x,2.874,2.711,0.849
933,81.826,84.363,61.901,91.943,62.503
941,26.669,43.313,48.738,57.607,35.856
951,2.638,x,x,x,x
952,x,x,1.095,x,x
961,4.474,7.073,8.745,21.699,9.613
962,42.211,32.209,41.939,24.645,25.538
