id,esco_occupation,isco_code,onet_code,onet_occupation,matching_job_titles,semantic_similarity,confidence,concept_uri
239,corporate social responsibility manager,1219,11-1011.03,chief sustainability officers,na,0.8794221341609955,1.0,http://data.europa.eu/esco/occupation/1313aeea-63a9-4b4d-82d1-dbe00ff9ed10
726,business service manager,1219,11-3011.00,administrative services managers,na,0.8036323547363281,1.0,http://data.europa.eu/esco/occupation/3c136897-4e0e-41ef-bb57-d8152323b93a
1248,manufacturing facility manager,1219,11-3051.00,industrial production managers,"['manufacturing director', 'manufacturing coordinator']",0.8710275173187256,1.0,http://data.europa.eu/esco/occupation/680831bb-64fc-4fc8-ae58-c450327d9700
1663,defence administration officer,1219,11-3011.00,administrative services managers,na,0.7836387068033218,1.0,http://data.europa.eu/esco/occupation/8b26eec6-7497-4218-8364-9b5983b04ae7
1764,department manager,1219,11-3011.00,administrative services managers,['business unit manager'],0.8532266169786453,2.0,http://data.europa.eu/esco/occupation/94e0bedd-e56e-42be-a5a4-b74a260f437c
2259,project manager,1219,11-9199.00,"managers, all other","['project manager', 'project leader', 'project director']",0.7153009921312332,1.0,http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5
66,auction house manager,1221,11-2022.00,sales managers,na,0.736730620265007,1.0,http://data.europa.eu/esco/occupation/04b52c04-0620-4558-8f89-e252de2963ff
176,chief marketing officer,1221,11-2021.00,marketing managers,['head of marketing'],0.8595286905765533,2.0,http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321
547,commercial director,1221,11-2021.00,marketing managers,"['commercial director', 'business development director', 'marketing director']",0.8432365238666535,2.0,http://data.europa.eu/esco/occupation/2d3d7188-47ab-49b9-9045-e452d9db06f1
1294,tourism product manager,1221,11-2021.00,marketing managers,na,0.7579933047294617,1.0,http://data.europa.eu/esco/occupation/6ce3c372-408b-4c46-86d8-ad6b9255d686
2333,banking products manager,1221,11-2021.00,marketing managers,na,0.7491579234600068,1.0,http://data.europa.eu/esco/occupation/c530b0ee-46f8-40fb-818c-d9b44b891cb9
2423,communication manager,1222,11-2031.00,public relations and fundraising managers,"['communication manager', 'communications manager']",0.8144309252500535,2.0,http://data.europa.eu/esco/occupation/cd7b838c-51f6-41ec-9067-bb974c0f991b
1389,research and development manager,1223,11-9121.00,natural sciences managers,['research and development director'],0.8012337386608124,1.0,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440
1889,product manager,1223,11-2021.00,marketing managers,['product manager'],0.8758548140525817,1.0,http://data.europa.eu/esco/occupation/9f508305-80ce-4111-8722-f2c9b4a44890
2766,forester,1311,19-1032.00,foresters,"['forester', 'foresters', 'forest manager']",0.9116054773330688,1.0,http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f
955,aquaculture harvesting manager,1312,11-9013.03,aquacultural managers,na,0.8022244542837143,1.0,http://data.europa.eu/esco/occupation/4fe4b1f1-e84d-4056-b062-83d5a64fc571
1068,aquaculture production manager,1312,11-9013.03,aquacultural managers,na,0.8450233340263367,2.0,http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3
1960,aquaculture husbandry manager,1312,11-9013.03,aquacultural managers,na,0.8061250030994416,2.0,http://data.europa.eu/esco/occupation/a5826284-14fb-4866-b9be-69ce69db1b71
1199,manufacturing manager,1321,11-3051.00,industrial production managers,"['manufacturing manager', 'manufacturing director']",0.8913427114486694,2.0,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee
209,mine manager,1322,17-2151.00,"mining and geological engineers, including mining safety engineers","['mine manager', 'mine engineer', 'mining engineer']",0.8411939233541488,1.0,http://data.europa.eu/esco/occupation/107d21c6-973b-411c-89fd-69da48d29ada
2095,quarry manager,1322,17-2151.00,"mining and geological engineers, including mining safety engineers",na,0.7768203765153885,1.0,http://data.europa.eu/esco/occupation/b156960c-8508-4067-908d-f167847c55b1
2884,construction manager,1323,11-9021.00,construction managers,"['construction manager', 'construction project manager']",0.8480831146240234,2.0,http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56
163,air traffic manager,1324,11-3071.01,transportation managers,['flight control manager'],0.7317765176296235,1.0,http://data.europa.eu/esco/occupation/0d442b70-5413-4820-bebf-36dd5ce437ac
639,movie distributor,1324,11-3071.02,storage and distribution managers,na,0.65292579382658,1.0,http://data.europa.eu/esco/occupation/3530b443-d2bf-4741-b771-12c77e7c6232
1451,pipeline superintendent,1324,11-3071.00,"transportation, storage, and distribution managers",na,0.7954923361539841,1.0,http://data.europa.eu/esco/occupation/788a9895-a39a-4a83-be90-e006e2f8dce5
1563,logistics and distribution manager,1324,11-3071.03,logistics managers,"['logistics director', 'logistics coordinator', 'supply chain logistics manager', 'logistics manager', 'logistics operations manager']",0.9041911542415619,2.0,http://data.europa.eu/esco/occupation/823db06f-25e1-4658-b063-d6ef956b41f5
1717,move manager,1324,11-3071.03,logistics managers,na,0.7895781397819519,1.0,http://data.europa.eu/esco/occupation/8f928d49-da89-4d07-9123-2151a4d276d4
