isco_code,2014,2015,2016,2017,2018,isco_minor_group,RISK_CAT
261,231.747,243.951,256.246,257.21,260.524,Legal professionals,2
262,22.41,22.746,21.295,15.232,14.618,"Librarians, archivists and curators ",2
263,111.89,124.884,129.895,135.771,148.585,Social and religious professionals,2
264,69.228,66.131,66.06,73.008,71.256,"Authors, journalists and linguists",2
265,61.817,66.025,66.526,72.21,64.62,Creative and performing artists,2
311,479.516,461.888,469.957,485.215,479.434,Physical and engineering science technicians,2
312,171.374,173.503,180.764,179.564,192.111,"Mining, manufacturing and construction supervisors",2
313,178.661,188.338,203.192,194.036,194.065,Process control technicians,2
314,28.593,31.296,31.084,27.895,29.189,Life science technicians and related associate professionals,2
315,32.49,29.929,27.876,30.186,30.985,Ship and aircraft controllers and technicians,1
321,80.143,78.887,77.51,78.294,80.011,Medical and pharmaceutical technicians,2
322,387.144,383.438,408.237,429.904,409.221,Nursing and midwifery associate professionals,2
324,1.838,1.133,0.484,2.343,2.263,Veterinary technicians and assistants,2
325,286.576,286.896,281.01,288.962,324.673,Other health associate professionals,2
331,684.467,691.504,690.924,687.52,665.074,Financial and mathematical associate professionals,0
332,540.11,552.932,558.046,547.764,564.607,Sales and purchasing agents and brokers,0
333,246.275,257.653,270.602,274.178,288.279,Business services agents,2
334,204.719,222.965,221.5,219.87,222.491,Administrative and specialised secretaries,2
335,72.559,75.606,69.945,77.588,75.456,Regulatory government associate professionals,2
341,82.446,80.112,72.58,75.877,80.134,"Legal, social and religious associate professionals",2
342,72.18,70.802,75.126,82.514,72.438,Sports and fitness workers,2
343,39.972,46.62,48.767,36.735,44.265,"Artistic, cultural and culinary associate professionals",2
351,255.52,251.095,250.331,254.266,272.841,Information and communications technology operations and user support technicians,2
352,45.062,45.158,46.401,57.577,59.395,Telecommunications and broadcasting technicians,2
411,731.542,778.773,812.393,817.838,872.886,General office clerks,0
412,377.079,372.201,375.667,384.563,354.415,Secretaries (general),0
413,52.68,44.416,47.035,42.986,46.367,Keyboard operators,0
421,167.779,168.554,165.246,171.611,171.822,"Tellers, money collectors and related clerks",0
422,395.228,395.814,388.797,386.319,383.28,Client information workers,0
431,305.181,311.496,298.394,303.816,300.869,Numerical clerks,0
432,394.936,383.001,397.279,415.217,406.459,Material-recording and transport clerks,2
441,254.677,247.118,238.85,227.139,215.888,Other clerical support workers,2
511,19.784,23.427,26.004,29.151,34.33,"Travel attendants, conductors and guides",2
512,292.718,302.445,313.866,316.055,319.697,Cooks,2
513,454.031,486.8,504.474,525.615,527.895,Waiters and bartenders,2
514,252.39,257.523,258.15,271.083,273.543,"Hairdressers, beauticians and related workers",2
515,33.229,34.555,37.795,43.43,45.199,Building and housekeeping supervisors,2
516,25.878,26.877,26.984,29.619,35.593,Other personal services workers,2
521,26.087,26.625,24.726,24.526,16.613,Street and market salespersons,0
522,1439.596,1404.488,1443.669,1446.1,1446.345,Shop salespersons ,0
523,143.694,139.183,141.907,153.91,144.19,Cashiers and ticket clerks,0
524,143.865,149.444,151.121,153.517,151.723,Other sales workers,0
531,53.57,50.201,55.78,59.091,58.357,Child care workers and teachers' aides,2
532,625.464,644.787,669.763,675.758,684.583,Personal care workers in health services,2
541,304.849,317.54,317.487,326.166,328.481,Protective services workers,2
611,332.747,331.965,355.975,352.314,362.231,Market gardeners and crop growers,2
612,81.122,100.129,104.345,87.513,85.071,Animal producers,1
613,66.304,61.166,54.282,56.989,53.484,Mixed crop and animal producers,2
621,16.208,14.116,14.34,11.151,10.663,Forestry and related workers,2
622,17.763,17.092,16.075,16.991,19.079,"Fishery workers, hunters and trappers",1
711,531.278,520.525,514.003,508.2,505.582,Building frame and related trades workers,1
712,295.348,294.48,284.423,290.1,294.57,Building finishers and related trades workers,1
713,140.081,123.719,131.094,142.042,131.685,"Painters, building structure cleaners and related trades workers",2
721,290.2,289.996,283.602,280.315,286.799,"Sheet and structural metal workers, moulders and welders, and related workers",2
722,309.494,311.366,320.681,307.379,318.086,"Blacksmiths, toolmakers and related trades workers",2
723,337.34,362.589,368.414,361.583,356.559,Machinery mechanics and repairers,1
731,158.228,151.433,137.696,140.282,142.292,Handicraft workers,2
732,67.326,59.171,49.871,53.142,54.066,Printing trades workers,2
741,289.753,278.777,270.662,284.379,297.464,Electrical equipment installers and repairers,1
742,70.416,67.166,78.022,75.002,73.307,Electronics and telecommunications installers and repairers,2
751,213.079,214.932,219.405,231.29,233.187,Food processing and related trades workers,2
752,143.719,133.637,125.85,131.361,121.846,"Wood treaters, cabinet-makers and related trades workers",1
753,199.237,200.726,192.249,193.007,198.147,Garment and related trades workers,2
754,23.969,21.302,26.368,25.12,25.423,Other craft and related workers,2
811,19.442,16.711,17.115,15.549,16.334,Mining and mineral processing plant operators,2
812,106.562,94.518,91.025,94.21,101.354,Metal processing and finishing plant operators,2
813,54.276,50.857,50.861,65.0,59.96,Chemical and photographic products plant and machine operators,2
814,120.316,122.103,119.198,127.252,110.881,"Rubber, plastic and paper products machine operators",2
815,151.368,160.929,162.973,151.682,143.422,"Textile, fur and leather products machine operators",2
816,79.434,74.532,84.826,81.773,75.183,Food and related products machine operators,2
817,18.891,16.652,15.49,17.887,19.294,Wood processing and papermaking plant operators,2
818,85.899,93.184,85.804,93.057,104.423,Other stationary plant and machine operators,2
821,184.819,183.225,175.545,179.452,194.169,Assemblers,2
831,23.753,25.127,25.236,24.971,23.71,Locomotive engine drivers and related workers,1
832,141.622,139.434,138.481,142.753,134.689,"Car, van and motorcycle drivers",2
833,413.423,411.251,400.391,397.112,429.865,Heavy truck and bus drivers,2
834,145.586,157.793,154.419,139.996,134.514,Mobile plant operators,1
835,14.184,15.654,16.389,17.301,15.52,Ships' deck crews and related workers,2
911,1089.157,1106.447,1077.495,1052.069,1061.155,"Domestic, hotel and office cleaners and helpers",1
912,19.183,18.506,19.305,19.899,17.139,"Vehicle, window, laundry and other hand cleaning workers",1
921,334.459,350.506,369.485,371.721,372.566,"Agricultural, forestry and fishery labourers",1
931,97.944,93.124,93.367,88.121,74.354,Mining and construction labourers,2
932,88.382,78.648,90.124,84.397,92.203,Manufacturing labourers,1
933,238.901,243.328,259.078,278.07,289.532,Transport and storage labourers,2
941,77.378,90.693,90.019,95.205,97.306,Food preparation assistants,2
951,0.036,x,x,0.571,0.16,Street and related service workers,0
952,99.344,107.318,119.861,117.563,107.765,Street vendors (excluding food),0
961,84.114,90.805,87.563,83.821,92.918,Refuse workers,2
962,331.767,325.776,354.919,368.495,358.22,Other elementary workers,2
