isco_code,2014,2015,2016,2017,2018,isco_minor_group,RISK_CAT
111,19.193,19.079,22.78,21.821,18.766,Legislators and senior officials,2
112,67.176,65.225,57.596,49.654,59.396,Managing directors and chief executives,2
121,13.689,13.106,15.006,17.804,12.491,Business services and administration managers,2
122,21.808,22.735,22.142,24.407,28.585,"Sales, marketing and development managers",0
131,3.836,3.451,3.115,3.527,3.938,"Production managers in agriculture, forestry and fisheries",2
132,173.836,177.721,181.054,186.816,182.58,"Manufacturing, mining, construction, and distribution managers",2
133,23.075,25.087,24.501,24.374,27.94,Information and communications technology service managers,2
134,77.175,79.45,78.647,82.678,70.415,Professional services managers,2
141,223.038,223.725,226.444,226.127,235.972,Hotel and restaurant managers,2
142,145.149,147.639,155.158,147.121,140.745,Retail and wholesale trade managers,2
143,71.439,65.394,71.049,77.663,77.858,Other services managers,2
211,44.614,51.045,53.368,55.412,45.455,Physical and earth science professionals,2
212,4.255,4.354,2.227,2.948,5.01,"Mathematicians, actuaries and statisticians",2
213,38.899,38.051,33.764,34.017,33.335,Life science professionals,2
214,153.554,157.463,161.862,150.95,161.694,Engineering professionals (excluding electrotechnology),2
215,55.025,53.323,54.037,59.175,67.647,Electrotechnology engineers,2
216,196.487,211.863,214.227,204.232,209.727,"Architects, planners, surveyors and designers",2
221,243.838,237.184,238.881,233.682,246.101,Medical doctors,2
225,21.263,21.04,25.171,24.217,22.701,Veterinarians,2
226,113.905,110.231,108.364,124.384,132.718,Other health professionals,2
231,124.973,117.557,125.209,133.769,128.521,University and higher education teachers,2
232,31.782,32.457,27.98,26.711,26.579,Vocational education teachers,2
233,441.12,427.499,439.451,466.465,455.055,Secondary education teachers,2
234,464.391,463.409,472.07,482.335,477.552,Primary school and early childhood teachers,2
235,165.921,157.377,151.113,177.805,196.416,Other teaching professionals,2
241,177.346,179.709,188.473,188.78,191.408,Finance professionals,2
242,157.572,162.89,170.11,169.257,181.555,Administration professionals,2
243,107.656,124.45,136.444,139.002,150.058,"Sales, marketing and public relations professionals",2
251,123.077,128.953,135.275,143.146,155.97,Software and applications developers and analysts,2
252,31.194,32.684,40.409,40.647,38.96,Database and network professionals,2
