isco_code,2014,2015,2016,2017,2018,isco_minor_group,RISK_CAT
111,42.4,43.412,67.87,38.269,39.416,Legislators and senior officials,2
112,34.48,41.094,42.843,40.14,54.499,Managing directors and chief executives,2
121,410.109,402.318,413.471,400.953,382.798,Business services and administration managers,2
122,213.185,196.758,168.175,199.57,194.607,"Sales, marketing and development managers",0
131,25.086,26.488,28.117,27.521,18.791,"Production managers in agriculture, forestry and fisheries",2
132,466.292,494.346,463.52,506.633,480.013,"Manufacturing, mining, construction, and distribution managers",2
133,123.041,143.615,164.298,146.085,159.987,Information and communications technology service managers,2
134,245.338,250.094,282.398,272.247,290.818,Professional services managers,2
141,85.449,100.627,84.178,88.759,100.079,Hotel and restaurant managers,2
142,143.524,155.029,149.993,155.14,153.93,Retail and wholesale trade managers,2
143,55.252,69.243,73.77,69.692,81.713,Other services managers,2
211,13.844,10.381,18.64,13.83,11.855,Physical and earth science professionals,2
212,8.84,7.75,6.531,7.315,14.207,"Mathematicians, actuaries and statisticians",2
213,21.224,22.675,21.831,33.122,27.188,Life science professionals,2
214,412.85,361.595,393.642,383.022,442.435,Engineering professionals (excluding electrotechnology),2
215,53.44,81.14,91.954,58.442,93.971,Electrotechnology engineers,2
216,145.557,175.564,174.142,188.743,169.645,"Architects, planners, surveyors and designers",2
221,209.402,208.416,192.913,204.17,231.659,Medical doctors,2
222,159.009,137.273,151.25,147.366,138.05,Nursing and midwifery professionals,2
223,5.519,2.713,5.653,2.057,0.437,Traditional and complementary medicine professionals,2
225,10.198,16.931,8.937,12.767,25.256,Veterinarians,2
226,286.518,261.795,293.746,265.963,234.343,Other health professionals,2
231,107.701,118.69,130.087,123.906,133.03,University and higher education teachers,2
232,174.686,173.45,163.467,205.985,145.237,Vocational education teachers,2
233,486.482,494.021,438.358,489.17,468.526,Secondary education teachers,2
234,418.525,426.652,441.108,397.838,401.614,Primary school and early childhood teachers,2
235,77.771,70.597,75.567,86.0,81.735,Other teaching professionals,2
241,189.345,246.131,246.388,245.787,255.265,Finance professionals,2
242,299.159,342.732,338.541,352.318,369.805,Administration professionals,2
243,480.308,516.731,518.529,514.274,563.755,"Sales, marketing and public relations professionals",2
251,320.17,371.638,369.501,399.754,414.17,Software and applications developers and analysts,2
252,10.444,11.705,17.102,21.951,23.076,Database and network professionals,2
261,134.584,148.882,153.179,146.949,174.656,Legal professionals,2
262,19.169,15.933,25.594,11.18,17.261,"Librarians, archivists and curators ",2
263,118.039,119.228,129.434,288.405,276.232,Social and religious professionals,2
264,87.242,63.799,79.768,111.718,90.377,"Authors, journalists and linguists",2
265,154.194,145.2,139.171,159.494,153.481,Creative and performing artists,2
