isco_code,2014,2015,2016,2017,2018
111,x,x,1.567,0.978,4.206
112,24.281,24.058,25.604,21.566,61.141
121,98.999,115.831,110.769,146.854,119.652
122,69.791,77.265,76.301,80.688,69.668
131,x,x,x,0.937,x
132,67.479,80.125,71.178,90.211,95.992
133,11.241,23.566,25.175,20.662,11.864
134,48.104,53.127,44.232,74.024,58.584
141,32.514,31.61,41.083,35.203,38.897
142,49.791,39.467,47.879,45.972,41.804
143,108.988,85.121,75.76,88.226,111.905
211,4.269,5.935,12.434,6.256,2.029
212,6.867,18.752,7.413,17.743,18.837
213,28.212,15.063,34.892,37.834,33.942
214,41.072,44.501,39.561,48.37,33.502
215,24.844,19.157,25.663,13.791,19.682
216,57.459,59.555,83.724,68.477,69.761
221,37.022,56.345,51.457,51.885,35.348
222,53.295,75.344,76.583,56.847,66.901
225,2.671,1.089,1.458,1.592,x
226,43.37,28.173,26.654,35.641,65.526
231,21.557,17.833,34.909,39.081,17.946
232,19.146,9.409,4.432,12.468,26.874
233,43.191,60.974,73.187,53.394,45.408
234,46.681,46.083,64.618,53.546,67.217
235,47.483,73.319,54.885,56.77,61.55
241,118.951,98.097,125.897,102.79,141.794
242,155.906,193.599,176.806,178.423,227.49
243,139.344,163.046,165.413,161.475,146.387
251,180.941,195.411,203.37,201.987,231.278
261,55.077,45.284,69.319,64.384,69.317
262,6.351,10.569,8.378,9.429,3.249
263,50.693,59.637,57.47,56.929,76.345
264,49.882,58.845,65.64,48.247,42.748
265,85.218,72.188,73.555,69.51,81.238
311,33.608,28.849,33.471,20.193,45.092
312,3.594,10.398,8.297,7.048,15.618
313,1.117,1.894,1.817,0.888,5.368
314,x,x,x,x,1.905
315,2.793,3.062,x,1.319,4.582
321,19.579,12.145,10.145,8.238,22.848
323,14.781,3.642,15.593,12.316,4.326
324,1.205,x,2.784,x,2.72
325,7.907,19.652,26.856,16.969,17.729
331,102.925,84.423,101.831,102.502,117.903
332,34.603,37.284,35.734,37.459,34.854
333,26.935,29.768,19.061,21.6,22.794
334,120.414,93.306,99.159,119.096,95.173
335,52.162,26.851,37.916,30.093,37.079
341,48.456,52.868,49.015,46.951,44.595
342,24.166,13.882,19.076,19.767,37.653
343,60.373,72.959,69.797,68.051,61.41
351,18.636,22.732,25.938,43.179,36.694
352,15.908,7.459,14.46,11.108,9.769
411,28.782,17.642,21.399,15.076,16.525
413,7.674,4.498,2.504,3.723,1.013
421,60.279,43.59,53.541,40.701,49.375
422,118.873,99.733,88.761,115.279,98.602
431,72.665,93.359,50.848,85.99,93.268
432,28.517,22.799,18.516,12.705,24.768
441,104.043,117.49,117.983,148.765,135.176
511,11.926,18.437,17.211,15.939,17.776
512,12.193,3.694,12.381,10.319,12.716
513,68.975,64.086,57.776,56.856,45.833
514,41.441,35.041,25.353,30.367,34.994
515,33.3,33.697,30.785,35.144,32.338
516,6.939,8.682,8.062,10.657,7.942
521,2.119,x,2.232,5.622,2.907
522,166.233,209.843,222.227,190.74,159.164
523,28.607,27.982,32.032,19.282,13.24
524,33.73,26.401,27.531,23.664,31.425
531,110.04,156.004,117.607,118.876,123.275
532,97.548,113.766,127.048,120.959,126.551
541,75.093,83.51,69.132,74.772,84.387
611,17.17,14.397,18.521,17.969,11.686
612,x,x,2.129,1.072,x
621,2.08,x,0.843,1.093,0.731
711,73.596,96.924,83.828,85.564,68.694
712,38.506,35.011,31.29,42.661,32.491
713,23.79,18.841,16.813,11.095,11.617
721,3.845,6.821,3.299,4.703,6.985
722,5.856,2.797,3.52,3.156,2.717
723,35.66,24.507,24.623,23.379,15.921
731,9.953,5.318,5.333,2.279,6.91
732,10.448,8.865,2.782,4.978,3.629
741,20.737,23.377,26.425,26.623,27.633
742,9.729,16.821,6.778,12.964,11.41
751,4.681,7.865,9.491,19.39,4.07
752,0.971,8.217,5.439,3.557,4.23
753,4.732,9.633,6.556,9.921,5.304
754,4.081,8.976,2.907,9.818,13.27
811,x,1.14,0.985,x,x
813,x,0.931,2.99,x,3.669
814,x,1.016,x,x,1.095
815,2.533,3.48,5.327,1.765,2.497
816,6.953,6.475,8.754,8.369,10.663
818,1.342,2.081,1.892,x,x
821,5.272,4.015,4.501,5.175,2.086
831,3.2,10.652,5.622,7.319,5.947
832,83.046,81.699,94.647,78.144,89.71
833,35.994,30.729,51.233,27.451,38.075
834,7.549,9.859,7.247,10.355,10.452
835,0.906,x,x,x,x
911,78.795,93.137,106.754,82.195,82.392
912,6.463,5.818,3.469,9.454,8.137
921,1.801,0.864,1.64,x,x
931,30.347,27.637,38.397,35.48,32.014
932,18.165,14.746,16.982,19.681,13.005
933,47.751,48.725,43.923,48.684,52.163
941,46.14,57.161,65.519,57.731,56.261
952,5.985,2.44,6.795,x,2.846
961,3.936,6.689,5.686,8.112,6.615
962,47.353,35.847,31.115,51.338,57.464
