isco_code,2014,2015,2016,2017,2018
111,2.72,0.81,x,x,1.312
112,3.466,3.456,2.558,3.028,9.979
121,29.517,40.064,39.01,39.969,41.368
122,16.122,15.18,8.21,15.442,13.914
131,3.365,5.922,5.431,3.63,4.13
132,53.213,67.327,60.859,54.613,58.574
133,4.601,4.887,6.09,6.359,4.529
134,28.704,23.913,24.745,26.151,27.259
141,30.056,27.502,29.814,24.544,37.091
142,27.727,22.62,22.235,11.811,20.454
143,36.777,33.569,17.382,36.792,39.271
211,5.66,3.445,7.435,12.642,6.161
212,3.182,4.157,3.104,7.088,2.438
213,18.196,26.543,19.69,16.306,18.326
214,44.111,53.668,45.141,51.397,44.547
215,13.051,7.779,21.353,13.71,20.738
216,11.457,17.841,14.635,15.259,15.96
221,16.476,12.51,21.497,19.337,16.565
222,69.758,66.372,66.249,58.853,68.638
225,0.505,1.116,4.327,1.633,x
226,28.851,24.157,27.242,30.887,31.547
231,10.074,20.414,15.982,18.106,14.927
232,14.763,9.158,10.646,4.713,13.015
233,33.767,29.22,35.726,28.784,30.313
234,38.641,47.569,32.778,35.693,38.567
235,23.42,18.72,22.317,27.705,18.77
241,21.707,29.843,37.002,23.676,26.415
242,69.473,65.318,63.778,81.62,67.11
243,42.525,42.613,38.258,40.39,35.71
251,56.457,52.824,68.002,75.202,54.732
261,9.125,12.936,18.341,11.369,14.339
262,3.946,5.827,6.035,5.856,6.324
263,21.353,22.238,19.651,29.153,27.755
264,9.558,4.588,15.824,12.551,3.964
265,13.509,18.37,12.956,15.827,12.786
311,27.806,27.397,42.136,46.041,30.37
312,8.496,10.133,10.306,9.125,6.092
313,4.092,4.412,3.62,3.182,3.512
314,x,0.875,x,x,1.252
315,5.941,11.177,7.898,4.498,5.416
321,10.212,10.542,13.809,12.382,13.123
323,2.803,6.06,4.496,2.872,4.241
324,x,0.703,x,1.188,0.693
325,13.428,15.057,20.234,13.218,21.095
331,30.897,37.13,40.1,32.787,31.396
332,11.95,20.203,15.405,12.154,16.361
333,4.395,6.277,4.529,11.687,2.819
334,57.246,58.02,67.423,48.825,57.838
335,36.248,33.509,28.814,28.833,24.947
341,34.093,32.098,27.42,35.191,39.709
342,12.501,9.312,12.502,12.76,12.195
343,21.549,25.551,20.882,37.513,25.094
351,16.306,16.034,18.437,15.324,13.868
352,2.403,1.742,2.765,6.375,5.079
411,30.678,26.682,18.799,26.157,24.189
413,4.384,2.676,2.252,3.767,3.973
421,41.288,41.206,35.836,24.948,27.629
422,76.277,91.092,78.197,81.96,93.703
431,36.531,40.438,34.361,40.435,31.974
432,9.657,14.117,4.783,14.203,15.801
441,70.553,71.204,88.46,88.676,81.85
511,6.636,8.748,2.633,10.618,8.479
512,12.688,5.023,3.809,11.677,4.185
513,59.649,42.584,37.528,52.375,48.206
514,17.696,22.04,17.647,15.813,20.642
515,15.673,15.33,26.184,16.709,16.644
516,11.356,11.263,13.854,13.226,8.579
521,x,0.783,1.685,x,3.955
522,150.033,133.651,143.839,155.516,129.356
523,25.69,22.956,25.375,14.262,15.019
524,18.289,13.2,15.939,14.772,21.942
531,56.268,44.301,69.332,51.777,51.476
532,128.024,129.267,113.877,149.715,142.198
541,47.974,45.273,40.902,48.358,64.896
611,11.54,17.44,9.367,19.349,16.09
612,21.325,16.611,13.422,14.011,8.766
621,4.595,3.025,4.221,6.323,2.613
711,45.974,43.913,53.175,51.206,49.257
712,28.674,29.188,25.882,42.278,36.695
713,17.831,15.906,10.567,8.061,10.712
721,14.397,8.259,9.946,10.957,5.14
722,9.969,11.877,4.636,5.281,9.993
723,50.396,42.907,44.009,49.218,36.527
731,11.784,8.851,7.561,9.069,5.937
732,2.728,5.019,x,2.929,5.334
741,17.648,25.04,22.48,30.198,31.952
742,4.851,12.78,6.961,4.438,4.696
751,13.02,8.41,9.985,14.032,8.384
752,4.465,2.438,6.912,7.184,7.279
753,0.827,4.017,2.547,4.59,1.95
754,18.707,5.262,6.735,6.066,6.946
811,3.887,1.306,1.922,1.859,7.084
812,0.583,x,3.526,1.224,0.983
813,8.964,5.198,7.801,4.903,6.002
814,3.762,4.816,x,2.336,0.755
815,3.405,2.053,2.988,1.266,6.051
816,21.955,12.492,14.152,12.274,14.689
818,4.05,1.858,4.031,1.614,3.371
821,8.209,1.784,6.152,4.363,3.578
831,2.001,0.722,x,1.654,2.616
832,31.444,37.567,49.201,43.182,47.325
833,39.105,39.787,43.577,33.213,44.391
834,18.09,18.393,15.603,18.212,18.048
835,x,0.791,4.572,x,2.766
911,58.478,60.253,53.844,62.139,73.311
912,7.106,13.261,4.016,4.805,9.502
921,8.554,19.332,13.399,11.905,9.727
931,19.092,19.821,32.145,8.63,18.021
932,26.062,25.377,17.471,25.962,17.594
933,41.345,36.487,34.173,45.449,41.33
941,47.376,31.948,39.394,38.056,49.255
952,4.269,1.078,2.46,1.449,0.838
961,8.004,4.056,5.255,3.4,5.991
962,20.496,25.768,29.65,23.184,20.742
