isco_code,2014,2015,2016,2017,2018
111,2.786,2.35,1.874,3.687,2.334
112,15.575,14.536,10.288,8.946,9.75
121,5.12,3.733,6.345,7.511,4.769
122,5.996,8.069,6.709,10.455,9.855
131,0.871,0.313,1.065,0.621,0.041
132,36.074,39.996,41.488,44.084,37.983
133,5.727,6.199,5.43,5.336,7.525
134,10.849,13.804,15.48,18.262,14.21
141,29.233,26.675,32.271,36.855,32.487
142,24.658,25.548,21.299,22.513,21.344
143,8.657,8.915,12.136,11.584,12.523
211,7.154,11.4,12.042,9.904,6.295
212,0.985,0.901,0.519,0.921,0.397
213,4.642,4.446,3.956,3.222,4.822
214,27.503,28.143,28.924,29.419,30.258
215,11.472,13.062,10.606,11.685,17.008
216,46.171,59.344,62.752,49.492,43.429
221,37.288,34.547,40.571,39.078,45.026
225,3.876,4.891,4.684,4.319,3.635
226,21.871,15.95,15.136,18.673,17.914
231,23.242,22.964,22.261,23.606,24.876
232,5.512,6.835,5.8,5.166,4.531
233,62.021,58.878,60.69,71.672,70.518
234,75.248,78.103,83.945,83.765,79.531
235,31.736,31.14,29.45,38.3,40.367
241,34.06,33.17,32.488,38.593,44.795
242,21.014,23.997,31.119,34.811,36.85
243,33.843,41.909,51.021,44.117,40.838
251,31.956,36.712,36.303,39.893,42.04
252,8.674,9.671,13.105,7.511,7.411
261,40.416,41.184,41.267,45.582,47.189
262,3.526,4.374,3.346,2.525,2.015
263,19.948,22.679,26.566,30.548,34.448
264,21.287,22.327,20.306,18.95,18.734
265,9.036,7.571,9.843,15.798,17.097
311,113.304,116.759,114.139,119.643,113.395
312,48.97,48.427,57.097,60.778,61.235
313,38.438,34.008,39.105,41.918,40.718
314,3.655,4.676,4.704,2.357,2.967
315,3.146,4.033,4.064,3.795,4.72
321,16.203,15.451,15.778,15.843,14.379
322,68.41,66.749,71.898,72.106,70.291
324,0.402,0.43,0.156,x,0.112
325,64.625,67.314,60.962,62.872,69.041
331,160.107,168.564,159.921,163.136,162.206
332,138.814,145.696,142.52,141.148,149.773
333,69.493,70.213,70.873,73.982,85.681
334,47.714,54.052,53.749,59.78,63.137
335,5.68,5.572,7.239,8.901,8.601
341,15.888,17.096,13.263,13.395,13.798
342,16.676,15.503,14.247,15.965,16.54
343,7.142,7.553,5.668,5.039,9.387
351,74.856,67.097,63.338,68.461,63.367
352,11.946,13.01,12.68,17.375,16.248
411,133.139,146.898,159.934,164.007,178.794
412,70.673,59.539,60.592,65.887,56.756
413,9.241,7.1,9.547,7.026,6.381
421,29.311,23.682,32.604,32.658,32.716
422,77.204,74.753,73.167,80.725,76.072
431,64.454,68.215,68.646,63.812,62.516
432,96.856,89.86,100.152,97.504,97.437
441,52.175,50.529,43.036,42.33,38.82
511,2.083,4.514,2.596,5.131,6.432
512,51.203,48.17,56.853,57.791,57.268
513,67.085,78.189,76.845,72.277,75.872
514,48.889,46.954,42.346,45.176,43.701
515,2.449,1.958,3.079,3.586,3.916
516,4.949,6.405,4.701,3.989,5.334
521,3.577,2.319,1.595,3.693,2.015
522,222.539,201.89,208.084,210.145,214.736
523,29.119,29.408,27.922,26.984,24.786
524,28.103,25.488,28.092,30.144,30.837
531,11.233,10.01,10.074,11.091,14.061
532,114.911,103.861,108.259,113.457,112.186
541,38.543,33.425,33.996,40.359,46.469
611,31.898,35.436,31.617,26.902,31.309
612,12.868,15.503,15.638,12.095,10.611
613,14.687,15.816,7.439,8.944,9.338
621,0.602,1.334,1.109,1.088,0.777
622,x,0.072,0.099,0.652,1.05
711,78.141,85.832,82.079,85.962,86.159
712,55.108,47.079,53.774,56.875,55.992
713,28.145,28.194,30.454,27.409,23.286
721,63.833,65.747,61.07,57.091,59.887
722,93.486,93.544,87.906,91.571,104.944
723,62.488,75.322,77.322,58.842,56.229
731,38.749,31.697,25.083,24.148,28.727
732,19.479,14.022,11.68,9.765,12.588
741,53.697,51.697,52.189,53.57,58.583
742,13.608,10.405,14.802,15.912,15.589
751,29.739,28.162,34.387,31.215,32.492
752,22.041,24.575,22.494,21.902,23.76
753,29.894,26.819,28.373,26.033,27.774
754,3.927,2.398,4.316,3.222,4.237
811,1.353,2.592,2.125,2.433,1.958
812,39.618,27.88,30.883,28.765,29.441
813,15.582,15.346,15.997,20.658,19.366
814,32.096,41.584,42.093,39.549,34.297
815,38.64,40.356,40.89,41.444,32.498
816,13.996,11.535,11.626,8.469,10.778
817,3.34,2.558,3.729,2.707,1.985
818,21.978,25.967,25.31,25.376,27.366
821,40.691,49.21,52.547,48.758,43.861
831,4.702,3.771,2.75,3.673,4.789
832,26.562,25.266,26.458,30.451,23.819
833,62.761,62.801,62.785,61.706,63.324
834,23.275,27.101,23.514,17.403,19.253
835,0.239,0.62,0.711,0.286,x
911,210.061,224.392,216.539,207.467,208.467
912,4.096,1.858,2.433,3.091,2.746
921,15.744,15.577,11.149,14.108,14.523
931,9.141,6.389,8.11,10.129,5.105
932,25.611,20.945,24.322,29.047,30.457
933,66.604,68.84,70.088,77.514,78.042
941,9.297,11.766,17.487,16.228,19.482
951,0.036,x,x,x,x
952,15.416,11.941,14.024,17.255,10.033
961,8.088,9.349,9.829,10.876,11.961
962,84.93,77.216,90.261,91.101,84.357
