FTPT,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,259.664,276.024,225.53,248.129,246.516
1.0,1.0,245.888,248.317,237.695,263.419,243.814
1.0,2.0,1404.144,1397.602,1426.715,1455.21,1426.153
2.0,0.0,186.743,170.251,196.928,175.519,167.733
2.0,1.0,47.277,60.296,40.415,59.852,62.876
2.0,2.0,454.708,422.395,456.82,462.321,480.213
