NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,0.475,x,0.701,0.868,0.848
A,1.0,24.949,22.089,27.921,25.897,28.442
A,2.0,20.189,19.103,19.34,26.344,25.404
B,0.0,0.926,x,x,0.308,0.875
B,1.0,0.687,0.831,0.575,0.744,0.376
B,2.0,3.162,2.026,1.657,1.678,1.35
C,0.0,25.223,22.625,22.763,17.586,20.967
C,1.0,26.776,25.819,28.679,27.35,22.446
C,2.0,124.025,119.473,113.583,128.634,129.953
D,0.0,4.308,4.076,4.709,4.249,5.154
D,1.0,2.818,1.137,1.326,2.242,1.966
D,2.0,8.856,9.502,10.223,9.619,12.225
E,0.0,2.867,3.89,2.592,1.882,1.069
E,1.0,2.634,0.839,0.203,0.416,1.724
E,2.0,15.671,18.355,17.004,13.203,16.607
F,0.0,10.016,6.508,5.698,7.259,9.338
F,1.0,83.623,83.732,82.43,80.048,80.914
F,2.0,43.488,44.955,41.949,38.884,38.772
G,0.0,203.436,201.219,213.125,227.961,216.483
G,1.0,21.432,20.754,20.218,19.64,19.431
G,2.0,77.21,71.006,75.322,70.001,72.11
H,0.0,20.376,17.611,19.606,23.836,26.337
H,1.0,12.157,9.733,8.424,10.97,11.404
H,2.0,99.729,103.019,102.396,101.25,109.394
I,0.0,22.302,23.886,28.619,24.399,22.535
I,1.0,3.976,5.288,5.4,5.241,4.674
I,2.0,115.034,128.88,130.395,137.528,131.193
J,0.0,16.828,25.562,22.882,20.631,21.3
J,1.0,0.388,0.568,0.228,0.319,0.264
J,2.0,108.992,101.659,95.716,91.636,101.832
K,0.0,53.57,53.176,59.163,51.816,51.855
K,1.0,x,0.048,0.142,0.091,x
K,2.0,16.002,16.904,19.967,23.597,25.418
L,0.0,6.256,8.004,8.305,7.326,4.882
L,1.0,0.623,0.782,0.68,0.411,1.092
L,2.0,13.491,14.896,14.608,16.044,15.187
M,0.0,35.573,41.646,46.523,44.246,45.928
M,1.0,2.659,1.158,1.746,1.115,1.1
M,2.0,128.545,129.477,129.211,126.502,129.333
N,0.0,33.525,34.826,35.533,33.552,32.004
N,1.0,49.604,49.141,45.895,49.726,46.238
N,2.0,45.359,47.267,47.152,56.773,51.593
O,0.0,59.519,58.776,56.949,55.112,51.97
O,1.0,2.062,2.575,3.386,3.161,2.059
O,2.0,114.607,113.407,114.528,115.631,112.225
P,0.0,12.134,12.669,14.928,11.818,9.406
P,1.0,14.553,14.639,12.181,12.078,11.735
P,2.0,130.374,119.29,123.541,141.186,138.241
Q,0.0,15.64,18.338,20.646,23.082,25.193
Q,1.0,7.477,5.41,6.103,7.651,8.616
Q,2.0,154.905,156.685,154.488,160.308,168.308
R,0.0,6.278,8.097,8.193,12.234,12.48
R,1.0,2.628,2.186,2.29,3.302,2.205
R,2.0,32.404,32.457,38.966,38.345,33.281
S,0.0,11.592,10.526,13.209,12.487,8.097
S,1.0,4.33,3.777,4.728,3.974,5.358
S,2.0,52.198,56.741,55.7,63.273,63.974
T,0.0,0.141,x,x,x,0.08
T,1.0,96.4,97.992,89.44,80.425,93.295
T,2.0,44.271,45.473,43.873,44.064,40.293
U,0.0,2.317,1.676,1.708,3.865,2.166
U,1.0,0.956,x,0.096,0.378,0.492
U,2.0,3.525,4.63,3.56,3.638,4.112
