FTPT,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,508.655,509.159,459.029,503.188,515.152
1.0,1.0,224.066,246.532,246.877,244.722,206.392
1.0,2.0,2574.335,2666.256,2743.226,2791.988,2872.994
2.0,0.0,222.992,215.3,261.665,216.447,175.638
2.0,1.0,63.062,79.644,67.787,68.457,67.092
2.0,2.0,627.185,667.834,701.109,650.726,789.632
