NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,4.138,1.771,x,x,0.986
A,1.0,1.766,4.004,1.808,x,x
A,2.0,15.754,11.121,6.11,8.186,8.177
B,0.0,x,x,x,x,1.305
B,1.0,x,x,x,x,x
B,2.0,1.473,3.389,2.38,0.926,1.615
C,0.0,53.169,50.782,49.338,43.726,53.184
C,1.0,9.98,18.178,13.969,14.989,13.283
C,2.0,253.806,246.124,292.529,213.856,234.854
D,0.0,4.027,4.203,1.358,3.468,1.744
D,1.0,1.52,2.169,x,x,0.826
D,2.0,27.621,49.442,38.686,27.706,33.968
E,0.0,10.235,3.68,4.92,2.948,2.829
E,1.0,3.299,2.09,0.493,0.535,6.084
E,2.0,21.801,22.273,20.92,34.336,32.942
F,0.0,21.569,14.321,10.126,16.325,20.894
F,1.0,96.737,80.624,91.584,108.791,106.97
F,2.0,136.161,135.543,153.111,143.619,150.541
G,0.0,271.374,322.539,281.505,304.742,296.32
G,1.0,35.46,27.117,28.201,36.562,30.797
G,2.0,306.697,285.252,284.101,378.831,320.786
H,0.0,42.2,49.053,26.013,41.437,23.189
H,1.0,52.924,39.642,42.363,37.135,31.685
H,2.0,276.424,275.01,241.545,254.8,281.677
I,0.0,28.453,38.545,51.779,38.396,29.438
I,1.0,6.845,8.754,16.396,20.921,2.667
I,2.0,161.961,161.913,172.735,222.783,164.563
J,0.0,40.813,28.637,35.213,30.194,40.545
J,1.0,3.533,2.838,4.39,5.848,0.834
J,2.0,268.378,284.635,299.216,326.43,381.617
K,0.0,141.056,102.11,98.392,105.466,133.585
K,1.0,x,2.221,1.348,0.628,2.308
K,2.0,165.994,209.033,198.791,184.399,216.708
L,0.0,22.91,18.978,10.754,18.929,17.808
L,1.0,x,4.248,5.198,16.767,6.881
L,2.0,87.349,75.276,88.691,73.563,80.791
M,0.0,85.189,81.542,75.536,87.032,71.896
M,1.0,1.473,6.287,4.907,5.074,6.554
M,2.0,370.674,389.577,414.457,469.942,464.36
N,0.0,37.283,35.021,41.513,52.473,42.301
N,1.0,65.313,63.432,70.311,69.787,55.361
N,2.0,160.734,171.008,163.082,130.354,141.587
O,0.0,85.622,86.547,82.055,75.15,78.429
O,1.0,30.121,32.214,34.73,27.205,38.224
O,2.0,332.082,334.803,370.292,332.412,362.185
P,0.0,24.353,11.799,20.409,18.793,22.895
P,1.0,23.936,16.611,12.747,17.484,10.958
P,2.0,353.375,379.808,337.157,340.686,380.937
Q,0.0,34.446,25.315,26.949,34.044,28.477
Q,1.0,98.608,60.396,68.929,90.334,58.714
Q,2.0,486.634,488.781,445.356,502.915,482.148
R,0.0,37.639,11.51,16.679,26.913,15.768
R,1.0,1.784,4.728,3.938,5.862,6.898
R,2.0,87.344,135.565,97.608,111.661,100.681
S,0.0,22.971,20.567,15.577,18.693,25.468
S,1.0,12.64,7.467,14.363,13.882,22.779
S,2.0,85.374,96.352,88.717,84.771,98.009
T,0.0,x,x,x,0.75,x
T,1.0,29.143,29.159,24.512,27.146,49.393
T,2.0,40.946,26.269,29.428,25.209,40.633
U,0.0,1.372,3.643,4.066,4.543,1.824
U,1.0,x,x,x,x,x
U,2.0,10.191,3.637,7.118,9.273,11.787
