NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,2.173,3.581,2.232,1.308,0.56
A,1.0,28.158,29.239,27.64,26.503,24.102
A,2.0,41.142,46.387,33.903,30.623,31.743
B,0.0,1.58,1.436,1.005,0.702,0.357
B,1.0,0.274,0.662,0.121,x,0.865
B,2.0,5.169,6.224,6.015,4.97,1.471
C,0.0,138.032,144.97,134.859,128.535,141.797
C,1.0,102.392,104.344,110.693,102.25,110.278
C,2.0,817.462,798.11,820.097,829.605,823.878
D,0.0,6.652,10.362,9.687,9.876,7.804
D,1.0,2.152,3.42,4.133,2.642,1.952
D,2.0,10.864,12.123,14.452,15.817,14.762
E,0.0,4.318,5.13,4.481,5.637,4.036
E,1.0,4.011,2.908,2.874,3.865,2.71
E,2.0,21.878,26.5,24.586,25.277,25.711
F,0.0,23.99,19.597,17.808,18.143,15.101
F,1.0,162.843,163.757,164.849,171.282,166.642
F,2.0,74.553,77.604,77.147,72.26,66.698
G,0.0,379.729,361.083,362.833,379.359,376.039
G,1.0,36.375,42.776,43.322,35.042,36.868
G,2.0,162.326,156.644,161.467,155.996,163.465
H,0.0,32.426,25.218,28.628,32.209,34.142
H,1.0,11.946,13.026,10.629,12.583,15.436
H,2.0,142.523,145.582,163.351,169.486,162.759
I,0.0,23.079,24.048,30.873,32.088,30.092
I,1.0,2.982,3.698,4.477,2.659,2.759
I,2.0,158.724,164.527,185.587,194.415,190.919
J,0.0,29.855,21.611,22.541,25.404,25.832
J,1.0,0.532,1.167,1.577,0.402,0.551
J,2.0,122.466,128.427,117.07,118.063,133.091
K,0.0,116.609,131.214,131.358,123.106,129.412
K,1.0,0.349,0.133,0.288,x,0.046
K,2.0,43.182,43.403,40.967,41.486,45.568
L,0.0,10.477,8.861,12.475,14.5,13.052
L,1.0,0.402,0.208,0.841,1.264,0.509
L,2.0,21.513,19.399,20.67,21.627,22.773
M,0.0,77.648,78.035,84.413,93.962,91.101
M,1.0,0.309,1.222,1.627,0.908,1.4
M,2.0,211.176,225.852,230.356,240.98,235.525
N,0.0,42.235,43.81,35.68,33.761,38.023
N,1.0,74.819,85.28,83.025,73.678,70.724
N,2.0,77.489,77.056,83.914,85.034,99.54
O,0.0,32.908,32.979,36.515,36.879,34.68
O,1.0,1.31,1.574,1.243,1.34,1.639
O,2.0,58.015,61.292,67.171,69.001,66.345
P,0.0,15.612,16.18,20.593,21.286,15.933
P,1.0,22.283,20.045,20.828,21.874,21.246
P,2.0,204.265,211.683,211.707,225.89,220.347
Q,0.0,27.502,26.464,34.174,36.219,32.541
Q,1.0,11.003,14.185,13.572,14.416,17.073
Q,2.0,295.746,284.895,297.373,301.606,306.245
R,0.0,9.034,9.116,10.543,8.664,9.04
R,1.0,1.829,1.367,2.283,2.258,3.317
R,2.0,36.617,33.304,36.69,43.596,43.787
S,0.0,13.304,9.642,11.127,13.052,16.174
S,1.0,17.276,15.999,15.49,18.84,22.112
S,2.0,97.179,99.166,90.288,99.023,102.41
T,0.0,0.238,0.223,1.176,0.471,x
T,1.0,89.731,92.751,78.854,76.674,77.11
T,2.0,55.703,47.165,46.017,51.653,54.25
U,0.0,0.329,x,0.359,1.916,1.761
U,2.0,0.779,1.556,1.544,1.401,0.682
