region,NUTS,region_name,risk_category,2014,2015,2016,2017,2018,average,percentage,LQ
I4,ITI4,Lazio,Other,1352.036,1355.207,1353.179,1408.139,1420.805,1377.873,0.601,0.977
M0,ITM0,Corsica,High risk,10.433,17.563,17.07,11.855,13.14,14.012,0.184,1.105
M0,ITM0,Corsica,Low risk,7.537,14.99,7.068,15.356,17.819,12.554,0.165,1.196
M0,ITM0,Corsica,Other,56.84,46.219,50.317,43.891,50.223,49.498,0.651,0.936
Y1,ITY1,Guadeloupe,High risk,22.482,23.28,24.41,22.808,22.858,23.168,0.199,1.192
Y1,ITY1,Guadeloupe,Low risk,23.831,24.143,25.618,22.521,24.648,24.152,0.207,1.501
Y1,ITY1,Guadeloupe,Other,69.788,69.126,71.626,66.715,69.201,69.291,0.594,0.855
Y2,ITY2,Martinique,High risk,23.508,22.716,21.658,23.751,18.118,21.95,0.18,1.082
Y2,ITY2,Martinique,Low risk,22.231,21.117,22.657,21.573,22.766,22.069,0.181,1.314
Y2,ITY2,Martinique,Other,79.833,78.499,76.696,76.587,76.934,77.71,0.638,0.918
Y3,ITY3,French Guiana,High risk,8.383,10.183,9.582,9.265,9.665,9.416,0.157,0.941
Y3,ITY3,French Guiana,Low risk,12.631,11.534,8.977,10.885,12.045,11.214,0.187,1.354
Y3,ITY3,French Guiana,Other,37.879,37.209,37.905,39.389,44.57,39.39,0.656,0.944
Y4,ITY4,La Réunion,High risk,50.463,45.395,45.245,49.228,44.748,47.016,0.182,1.09
Y4,ITY4,La Réunion,Low risk,45.864,53.853,52.723,47.362,47.924,49.545,0.192,1.388
Y4,ITY4,La Réunion,Other,163.673,160.748,162.885,162.848,160.305,162.092,0.627,0.901
