id,occupation,isco_code,risk,prevalence,risk_category,risk_nonphysical,prevalence_nonphysical,onet_code,onet_occupation,concept_uri,skills_based_sector_code,skills_based_sector,sub_sector_code,sub_sector
1,metal drawing machine operator,8121,3.307599,0.800032,Low risk,3.439494,0.0,51-4021.00,"extruding and drawing machine setters, operators, and tenders, metal and plastic",http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,4,manufacturing workers,4.1,metal workers & machine operators
3,air traffic safety technician,3155,3.460182,0.481707,Other,3.54934,0.144693,17-3023.01,electronics engineering technicians,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,1,"technicians, construction, transport & security workers",1.4,transport & security workers
4,hospitality revenue manager,2431,3.624351,0.693035,Other,3.636619,0.465946,13-1161.00,market research analysts and marketing specialists,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2,business & administration workers,2.4,business managers
5,medical laboratory assistant,3212,3.476153,0.647834,Other,3.563953,0.146265,29-2012.00,medical and clinical laboratory technicians,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,5,engineers & researchers,5.1,researchers & science technicians
7,primary school teaching assistant,5312,3.44829,0.59846,Other,3.489986,0.250389,25-9041.00,teacher assistants,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,7,education workers,7.2,teachers & childcare workers
8,physiotherapist,2264,3.363059,0.334081,Other,3.43554,0.079009,29-1123.00,physical therapists,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,11,healthcare workers,11.1,doctors & specialist therapists
10,hydrogenation machine operator,8160,3.459233,0.817627,Other,3.616166,0.0,51-9012.00,"separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,9,food & tobacco production workers,9.2,food & tobacco production operators
11,pasta operator,8160,3.50075,0.71987,Other,3.607154,0.0,51-3092.00,food batchmakers,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,9,food & tobacco production workers,9.2,food & tobacco production operators
15,food safety specialist,2263,3.24552,0.75449,Other,3.336315,0.175482,29-9011.00,occupational health and safety specialists,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,9,food & tobacco production workers,9.3,food & tobacco production specialists
16,land-based machinery technician,7233,3.459911,0.841145,Other,3.623542,0.0,49-3041.00,farm equipment mechanics and service technicians,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers"
17,bus driver,8331,3.397844,0.604725,Other,3.476285,0.0,53-3021.00,"bus drivers, transit and intercity",http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,1,"technicians, construction, transport & security workers",1.4,transport & security workers
21,nonwoven filament machine operator,8131,3.307599,0.800032,Low risk,3.439494,0.0,51-4021.00,"extruding and drawing machine setters, operators, and tenders, metal and plastic",http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,8,"textile, clothing, leather & footwear manufacturing workers",8.2,textile workers
24,dismantling engineer,2149,3.470821,0.519203,Other,3.563856,0.058499,17-3026.00,industrial engineering technicians,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,5,engineers & researchers,5.3,"mechanical engineers, designers & drafters"
25,insurance claims handler,3315,3.411013,0.50872,Other,3.45511,0.286997,13-1031.01,"claims examiners, property and casualty insurance",http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,2,business & administration workers,2.2,accounting & financial services workers
27,nitroglycerin separator operator,8131,3.551761,0.636536,Other,3.68149,0.0,51-9011.00,chemical equipment operators and tenders,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,4,manufacturing workers,4.2,chemical manufacturing workers
29,legal guardian,3412,3.539648,0.336794,High risk,3.591017,0.076894,21-1093.00,social and human service assistants,http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,14,social workers,14.2,care workers & counsellors
30,weaver,7318,3.538187,0.698649,Other,3.691471,0.0,51-6063.00,"textile knitting and weaving machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,8,"textile, clothing, leather & footwear manufacturing workers",8.2,textile workers
31,tile fitter,7122,3.31724,0.913748,Low risk,3.46611,0.036131,47-2044.00,tile and marble setters,http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors
33,tour operators manager,3339,3.659125,0.143634,High risk,3.730069,0.0,41-3041.00,travel agents,http://data.europa.eu/esco/occupation/02609ece-cea3-43fa-bf38-b6fb821f28b2,3,sales & services workers,3.3,shop & services managers
34,bee breeder,6123,3.423423,0.818131,Other,3.555012,0.120313,45-2021.00,animal breeders,http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa,13,animal care & husbandry workers,13.2,animal husbandry workers
35,legal administrative assistant,3342,3.664614,0.50841,Other,3.762676,0.215214,43-6012.00,legal secretaries,http://data.europa.eu/esco/occupation/0264b794-3771-47aa-a675-78bf13b62ee7,2,business & administration workers,2.3,"assistants, clerks & legal workers"
36,petroleum pump system operator,3134,3.433246,0.76103,Other,3.574794,0.0,51-8093.00,"petroleum pump system operators, refinery operators, and gaugers",http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e,1,"technicians, construction, transport & security workers",1.6,mining engineers & technicians
38,coating machine operator,8122,3.475866,0.893331,Other,3.631523,0.027795,51-4193.00,"plating and coating machine setters, operators, and tenders, metal and plastic",http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a,4,manufacturing workers,4.1,metal workers & machine operators
39,aquaculture hatchery manager,6221,3.347168,0.863196,Low risk,3.431387,0.339848,45-1011.06,first-line supervisors of aquacultural workers,http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787,13,animal care & husbandry workers,13.3,aquaculture workers
40,gear machinist,7223,3.523286,0.706717,Other,3.66823,0.031062,51-4041.00,machinists,http://data.europa.eu/esco/occupation/02d4f153-8e43-444d-8bd4-8171d49eab12,4,manufacturing workers,4.1,metal workers & machine operators
