id,occupation,isco_code,risk,prevalence,risk_category,risk_nonphysical,prevalence_nonphysical,onet_code,onet_occupation,concept_uri,skills_based_sector_code,skills_based_sector,sub_sector_code,sub_sector
41,rooms division manager,1411,3.379042,0.507439,Other,3.423778,0.261526,11-9081.00,lodging managers,http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7,2,business & administration workers,2.1,"process managers, supervisors & coordinators"
43,telecommunications engineer,2153,3.615323,0.526216,Other,3.719078,0.083512,17-2072.00,"electronics engineers, except computer",http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,12,ict workers,12.1,"ict system engineers, adminstrators & managers"
46,sprinkler fitter,7126,3.412858,0.943127,Other,3.568318,0.095232,47-2152.01,pipe fitters and steamfitters,http://data.europa.eu/esco/occupation/02ff199e-38b3-45fd-b659-68846cfeeb92,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors
52,quarry engineer,2146,3.436342,0.525342,Other,3.527793,0.05255,17-2151.00,"mining and geological engineers, including mining safety engineers",http://data.europa.eu/esco/occupation/03b2f112-a891-461d-a8d4-effb9dcf2df6,1,"technicians, construction, transport & security workers",1.6,mining engineers & technicians
55,primary school teacher,2341,3.487909,0.512088,Other,3.538886,0.2635,25-2021.00,"elementary school teachers, except special education",http://data.europa.eu/esco/occupation/03d79393-7b30-4159-945b-01963eddd302,7,education workers,7.2,teachers & childcare workers
56,tram driver,8331,3.397844,0.604725,Other,3.476285,0.0,53-3021.00,"bus drivers, transit and intercity",http://data.europa.eu/esco/occupation/03e02554-15d1-4697-960c-8909e7d36f7e,1,"technicians, construction, transport & security workers",1.4,transport & security workers
59,administrative assistant,3343,3.697101,0.206194,High risk,3.777363,0.101874,43-6011.00,executive secretaries and executive administrative assistants,http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652,2,business & administration workers,2.3,"assistants, clerks & legal workers"
60,coffee grinder,8160,3.442104,0.760449,Other,3.585861,0.0,51-9021.00,"crushing, grinding, and polishing machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/0458929a-f6c9-40ed-8ce3-caa9f03a6b5b,9,food & tobacco production workers,9.2,food & tobacco production operators
61,medical administrative assistant,3344,3.59003,0.60003,Other,3.689757,0.272945,43-6013.00,medical secretaries,http://data.europa.eu/esco/occupation/045f05f2-4ff8-46b2-9d08-e12a81657498,11,healthcare workers,11.4,healthcare administrators & assistants
62,ICT security administrator,2529,3.546258,0.415895,High risk,3.603087,0.257361,15-1122.00,information security analysts,http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,12,ict workers,12.1,"ict system engineers, adminstrators & managers"
64,slate mixer,8114,3.28287,0.890198,Low risk,3.421194,0.0,51-9023.00,"mixing and blending machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/0477b9b0-8d2d-4eec-aaad-bac11092e98b,4,manufacturing workers,4.2,chemical manufacturing workers
66,auction house manager,1221,3.597477,0.544798,Other,3.664187,0.236134,11-2022.00,sales managers,http://data.europa.eu/esco/occupation/04b52c04-0620-4558-8f89-e252de2963ff,2,business & administration workers,2.1,"process managers, supervisors & coordinators"
67,software analyst,2512,3.386087,0.438367,Other,3.392468,0.232245,15-1132.00,"software developers, applications",http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,12,ict workers,12.2,developers & testers
70,telecommunications technician,7422,3.38978,0.820775,Low risk,3.510032,0.0,49-2022.00,"telecommunications equipment installers and repairers, except line installers",http://data.europa.eu/esco/occupation/056bef79-c125-47ab-b6b9-8eed05c9458c,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers"
71,promotions demonstrator,5242,3.616624,0.215627,High risk,3.675132,0.124264,41-9011.00,demonstrators and product promoters,http://data.europa.eu/esco/occupation/056f1849-7ff8-4d6f-9b8a-176a610bba44,3,sales & services workers,3.4,retail & sales workers
77,bricklayer,7112,3.197009,0.914566,Low risk,3.338659,0.0,47-2021.00,brickmasons and blockmasons,http://data.europa.eu/esco/occupation/05f321f8-055b-407d-bf19-e0ddabda56b7,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors
78,meat cutter,7511,3.500169,0.821874,Other,3.620184,0.083139,51-3021.00,butchers and meat cutters,http://data.europa.eu/esco/occupation/05f6eaeb-b285-46bd-a44a-225bd429e329,9,food & tobacco production workers,9.1,food & tobacco production workers
79,criminologist,2632,3.459278,0.699033,Other,3.612381,0.0,19-4092.00,forensic science technicians,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,5,engineers & researchers,5.1,researchers & science technicians
83,metallurgical technician,3117,3.450846,0.569758,Other,3.529703,0.11629,17-2131.00,materials engineers,http://data.europa.eu/esco/occupation/06351e17-67c4-44bc-adf7-64b73f92c3b5,1,"technicians, construction, transport & security workers",1.1,engineering technicians
84,spinning textile technician,8151,3.573213,0.78911,Other,3.745285,0.0,51-6064.00,"textile winding, twisting, and drawing out machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/06461fc3-1274-40a1-9322-dfc2753f5eea,8,"textile, clothing, leather & footwear manufacturing workers",8.2,textile workers
85,resilient floor layer,7122,3.38469,0.683798,Other,3.52185,0.0,47-2042.00,"floor layers, except carpet, wood, and hard tiles",http://data.europa.eu/esco/occupation/0663d464-f139-4554-ae87-97aa6c4dad77,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors
87,curing room worker,7516,3.472875,0.784521,Other,3.605337,0.0,51-3091.00,"food and tobacco roasting, baking, and drying machine operators and tenders",http://data.europa.eu/esco/occupation/066a9d8f-3948-409c-a3cf-ed8ed37cfe22,9,food & tobacco production workers,9.1,food & tobacco production workers
88,enameller,8122,3.402976,0.956134,Low risk,3.567654,0.0,51-9121.00,"coating, painting, and spraying machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/066fe11d-10e4-4fec-bd27-3e78797500b9,4,manufacturing workers,4.1,metal workers & machine operators
89,recruitment consultant,2423,3.703095,0.259536,High risk,3.735327,0.210195,13-1071.00,human resources specialists,http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815,2,business & administration workers,2.3,"assistants, clerks & legal workers"
90,actuarial consultant,2120,3.536325,0.448822,High risk,3.478361,0.273608,15-2011.00,actuaries,http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482,2,business & administration workers,2.2,accounting & financial services workers
91,lighting designer,3435,3.39853,0.69011,Other,3.48098,0.074176,27-1025.00,interior designers,http://data.europa.eu/esco/occupation/068df7d1-516f-4829-b339-294cb0cf6318,6,arts & media workers,6.1,art & media technicians
93,automotive battery technician,7412,3.316716,0.918511,Low risk,3.452825,0.081561,49-2092.00,"electric motor, power tool, and related repairers",http://data.europa.eu/esco/occupation/06bd6285-13ed-4ea7-90cc-e9638a0600a9,1,"technicians, construction, transport & security workers",1.1,engineering technicians
95,public employment service manager,2423,3.486877,0.463506,Other,3.531756,0.325758,21-1012.00,"educational, guidance, school, and vocational counselors",http://data.europa.eu/esco/occupation/070e94a8-a933-4557-9b95-fefe7f4f1763,2,business & administration workers,2.1,"process managers, supervisors & coordinators"
96,clothing product grader,7532,3.691848,0.554553,Other,3.834578,0.060081,51-6092.00,fabric and apparel patternmakers,http://data.europa.eu/esco/occupation/072279cf-ed39-47e7-af23-ee6df571eb24,8,"textile, clothing, leather & footwear manufacturing workers",8.3,clothing manufacturing workers
97,public administration manager,1112,3.49985,0.356627,Other,3.548024,0.193053,11-1011.00,chief executives,http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,2,business & administration workers,2.5,public officials
101,dancer,2653,3.145001,0.918581,Low risk,3.290009,0.0,27-2031.00,dancers,http://data.europa.eu/esco/occupation/07b91f36-8272-493a-8e1c-5625e77efe68,6,arts & media workers,6.4,perfomers
103,judge,2612,3.407473,0.211879,Other,3.41237,0.211879,23-1023.00,"judges, magistrate judges, and magistrates",http://data.europa.eu/esco/occupation/07bd65d7-c13f-443a-bdf6-88903f3822be,2,business & administration workers,2.3,"assistants, clerks & legal workers"
105,flexographic press operator,7322,3.51383,0.617163,Other,3.611187,0.0,51-5112.00,printing press operators,http://data.europa.eu/esco/occupation/07d4a2fa-e278-4f32-8cf9-9c01fc660369,4,manufacturing workers,4.4,paper & wood manufacturing workers
106,integration engineer,2511,3.488991,0.477314,Other,3.516329,0.185007,15-1121.00,computer systems analysts,http://data.europa.eu/esco/occupation/07e60525-1aad-4099-aaf3-2c7014c92212,12,ict workers,12.1,"ict system engineers, adminstrators & managers"
108,street artist,2659,3.51819,0.839786,Other,3.596445,0.132277,27-1013.00,"fine artists, including painters, sculptors, and illustrators",http://data.europa.eu/esco/occupation/080bce18-066b-4431-90ed-e07608f73fe0,6,arts & media workers,6.5,fine artists
110,professional athlete,3421,3.212524,0.865791,Low risk,3.30883,0.0,27-2021.00,athletes and sports competitors,http://data.europa.eu/esco/occupation/082c234c-0dda-490a-b5af-757c3e48da90,6,arts & media workers,6.4,perfomers
111,specialised veterinarian,2250,3.511883,0.35285,Other,3.58912,0.058408,29-1131.00,veterinarians,http://data.europa.eu/esco/occupation/08984bec-31d8-4bb0-aa2f-d557761ff029,13,animal care & husbandry workers,13.1,animal care workers & trainers  
112,automated fly bar operator,3435,3.351713,1.0,Low risk,3.579862,0.0,49-9096.00,riggers,http://data.europa.eu/esco/occupation/08edf4c5-3551-4690-9d09-f9b8b9194c90,6,arts & media workers,6.1,art & media technicians
113,commissioning technician,3119,3.470821,0.519203,Other,3.563856,0.058499,17-3026.00,industrial engineering technicians,http://data.europa.eu/esco/occupation/08f5481e-9233-4ef2-9e4b-945224879ce5,1,"technicians, construction, transport & security workers",1.1,engineering technicians
115,search engine optimisation expert,2513,3.473279,0.551985,Other,3.46954,0.338223,15-1199.10,search marketing strategists,http://data.europa.eu/esco/occupation/092fdeeb-a76f-4ed2-b248-90fd6eaaffef,12,ict workers,12.3,data workers
116,water network operative,7126,3.412858,0.943127,Other,3.568318,0.095232,47-2152.01,pipe fitters and steamfitters,http://data.europa.eu/esco/occupation/094b9f9b-7e89-4f34-adbb-fbaf7246f7a4,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers"
119,motor vehicles parts advisor,5223,3.652425,0.059367,High risk,3.712854,0.0,41-2022.00,parts salespersons,http://data.europa.eu/esco/occupation/099a901f-91a7-4d26-af2e-f385247dcf20,3,sales & services workers,3.2,customer representatives
120,hairdresser,5141,3.332348,0.534204,Other,3.423574,0.094753,39-5012.00,"hairdressers, hairstylists, and cosmetologists",http://data.europa.eu/esco/occupation/099c6bb0-22d3-4c5d-8bf5-70910af381ef,3,sales & services workers,3.1,"food, cleaning & services workers"
121,art restorer,2651,3.491467,0.618209,Other,3.589276,0.19483,25-4013.00,museum technicians and conservators,http://data.europa.eu/esco/occupation/09a40a9a-2b60-422c-abe4-96d829bc27df,4,manufacturing workers,4.3,craftspersons & carpenters
122,presenter,2656,3.255573,0.693423,Other,3.320522,0.27645,27-3011.00,radio and television announcers,http://data.europa.eu/esco/occupation/09a9a956-db70-436f-8398-d85a17f6cdfe,6,arts & media workers,6.2,"journalists, publishers & composers"
130,stringed musical instrument maker,7312,3.334332,0.943576,Low risk,3.505776,0.0,49-9063.00,musical instrument repairers and tuners,http://data.europa.eu/esco/occupation/0a94df75-6e31-4277-a326-1b01e56b6cb3,4,manufacturing workers,4.3,craftspersons & carpenters
131,textile pattern making machine operator,8159,3.691848,0.554553,Other,3.834578,0.060081,51-6092.00,fabric and apparel patternmakers,http://data.europa.eu/esco/occupation/0a9eb24a-13e7-4847-8f6e-a776771ac96b,8,"textile, clothing, leather & footwear manufacturing workers",8.2,textile workers
132,ICT test analyst,2519,3.625488,0.253897,High risk,3.644401,0.103118,15-1199.01,software quality assurance engineers and testers,http://data.europa.eu/esco/occupation/0ab5c12c-c1c1-4772-8345-aa287d0e391d,12,ict workers,12.2,developers & testers
133,hydraulic forging press worker,7221,3.499066,0.853033,Other,3.668967,0.0,51-4022.00,"forging machine setters, operators, and tenders, metal and plastic",http://data.europa.eu/esco/occupation/0ab64770-9fd7-4baf-8abf-b1ac0e1538ba,4,manufacturing workers,4.1,metal workers & machine operators
134,tissue paper perforating and rewinding operator,8143,3.452206,0.773837,Other,3.592628,0.0,51-9196.00,"paper goods machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/0ab77768-9031-4ccc-9ab8-1f73cbb36bc7,4,manufacturing workers,4.4,paper & wood manufacturing workers
136,aircraft engine specialist,7232,3.332598,0.769563,Other,3.481839,0.055998,49-3011.00,aircraft mechanics and service technicians,http://data.europa.eu/esco/occupation/0ac8fe65-32e6-4c25-8345-2b87bc7b2698,1,"technicians, construction, transport & security workers",1.1,engineering technicians
138,animal care attendant,5164,3.517686,0.683654,Other,3.683598,0.0,39-2021.00,nonfarm animal caretakers,http://data.europa.eu/esco/occupation/0b14d5d7-1bbe-4403-b9e6-7b0f37fc44fc,13,animal care & husbandry workers,13.1,animal care workers & trainers  
139,shop assistant,5223,3.578497,0.241128,High risk,3.651823,0.103437,41-2031.00,retail salespersons,http://data.europa.eu/esco/occupation/0b15375e-dfdd-4047-9efb-096e0aaee7d2,3,sales & services workers,3.4,retail & sales workers
141,animal therapist,3255,3.528142,0.702149,Other,3.639076,0.081282,31-9096.00,veterinary assistants and laboratory animal caretakers,http://data.europa.eu/esco/occupation/0b2d3242-22a3-4de5-bd29-efd39cdf2c31,13,animal care & husbandry workers,13.1,animal care workers & trainers  
142,paramedic in emergency responses,3258,3.356155,0.857209,Low risk,3.474655,0.070779,29-2041.00,emergency medical technicians and paramedics,http://data.europa.eu/esco/occupation/0b5dfc02-b825-4445-811d-d39ed442657e,11,healthcare workers,11.2,healthcare technicians & scientists
143,door installer,7115,3.414145,0.66955,Other,3.561186,0.04699,47-2031.01,construction carpenters,http://data.europa.eu/esco/occupation/0b5e4142-90ad-48a6-8407-ed47b2664954,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors
144,fluid power technician,7233,3.355816,0.64928,Other,3.487729,0.0,49-9041.00,industrial machinery mechanics,http://data.europa.eu/esco/occupation/0b6e1a0d-63fe-42d4-8dff-2ff187a9fea9,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers"
145,corporate trainer,2424,3.508699,0.454391,Other,3.563376,0.140105,13-1151.00,training and development specialists,http://data.europa.eu/esco/occupation/0ba06640-e0ac-4911-9e43-289a8e41651e,7,education workers,7.1,instructors & vocational teachers
148,telephone switchboard operator,4223,3.706002,0.468579,High risk,3.794367,0.05806,43-2011.00,"switchboard operators, including answering service",http://data.europa.eu/esco/occupation/0bf68df5-e808-4c27-abf2-6f85440f2d7f,2,business & administration workers,2.3,"assistants, clerks & legal workers"
149,doctors' surgery assistant,3256,3.476584,0.550857,Other,3.544765,0.163143,31-9092.00,medical assistants,http://data.europa.eu/esco/occupation/0c041d1e-1841-4acb-b0a1-2c387a61bf65,11,healthcare workers,11.4,healthcare administrators & assistants
151,horse riding instructor,3423,3.458119,0.573822,Other,3.507119,0.297917,25-3021.00,self-enrichment education teachers,http://data.europa.eu/esco/occupation/0c3672ed-450b-4fcd-a3d0-579a10004486,7,education workers,7.1,instructors & vocational teachers
152,delivery driver,8322,3.461127,0.502731,Other,3.561251,0.0,53-3033.00,light truck or delivery services drivers,http://data.europa.eu/esco/occupation/0c408028-c48f-4df8-ba5d-c3d3be15f5a2,1,"technicians, construction, transport & security workers",1.4,transport & security workers
153,digital forensics expert,2529,3.546258,0.415895,High risk,3.603087,0.257361,15-1122.00,information security analysts,http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424,12,ict workers,12.3,data workers
157,quantity surveyor,2149,3.334234,0.234947,Other,3.321664,0.14817,13-1051.00,cost estimators,http://data.europa.eu/esco/occupation/0cca32c2-9308-4927-adb2-14771ab787f0,2,business & administration workers,2.1,"process managers, supervisors & coordinators"
158,vessel operations coordinator,4323,3.671908,0.560676,Other,3.724178,0.194071,43-5071.00,"shipping, receiving, and traffic clerks",http://data.europa.eu/esco/occupation/0cd0082a-ca15-4dcd-b352-b7600c916d8e,2,business & administration workers,2.1,"process managers, supervisors & coordinators"
159,historian,2633,3.223094,0.472644,Other,3.249956,0.397812,19-3093.00,historians,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,5,engineers & researchers,5.1,researchers & science technicians
160,ICT security consultant,2529,3.546258,0.415895,High risk,3.603087,0.257361,15-1122.00,information security analysts,http://data.europa.eu/esco/occupation/0ce5a9f4-e00a-4bbe-b255-3c63407167a4,12,ict workers,12.1,"ict system engineers, adminstrators & managers"
163,air traffic manager,1324,3.557177,0.555922,Other,3.627342,0.213578,11-3071.01,transportation managers,http://data.europa.eu/esco/occupation/0d442b70-5413-4820-bebf-36dd5ce437ac,1,"technicians, construction, transport & security workers",1.4,transport & security workers
165,lime kiln operator,8131,3.459233,0.817627,Other,3.616166,0.0,51-9012.00,"separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",http://data.europa.eu/esco/occupation/0d61e7e7-afde-49ca-b554-4633842be030,4,manufacturing workers,4.2,chemical manufacturing workers
166,water-based aquaculture technician,6221,3.347168,0.863196,Low risk,3.431387,0.339848,45-1011.06,first-line supervisors of aquacultural workers,http://data.europa.eu/esco/occupation/0d6bb2cc-06b0-481c-b553-2a973be03254,13,animal care & husbandry workers,13.3,aquaculture workers
167,meteorology technician,3111,3.416781,0.490127,Other,3.467191,0.216828,19-2021.00,atmospheric and space scientists,http://data.europa.eu/esco/occupation/0d7ae791-653e-4297-9f61-8bad87f61d57,5,engineers & researchers,5.1,researchers & science technicians
168,chemist,2113,3.415536,0.585908,Other,3.457523,0.156471,19-2031.00,chemists,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,5,engineers & researchers,5.1,researchers & science technicians
171,laundry worker,8157,3.318119,0.729635,Other,3.432597,0.0,51-6011.00,laundry and dry-cleaning workers,http://data.europa.eu/esco/occupation/0da51178-e386-4534-ae71-15ba789ad756,3,sales & services workers,3.1,"food, cleaning & services workers"
172,biotechnical technician,3141,3.518483,0.697139,Other,3.62595,0.060572,19-4021.00,biological technicians,http://data.europa.eu/esco/occupation/0da75680-fbf9-44d8-802a-ac12eb425a34,5,engineers & researchers,5.1,researchers & science technicians
173,granulator machine operator,8131,3.551761,0.636536,Other,3.68149,0.0,51-9011.00,chemical equipment operators and tenders,http://data.europa.eu/esco/occupation/0dae04a4-fa4c-40d3-8518-122cc0f7bfcf,9,food & tobacco production workers,9.2,food & tobacco production operators
174,audio describer,2656,3.255573,0.693423,Other,3.320522,0.27645,27-3011.00,radio and television announcers,http://data.europa.eu/esco/occupation/0dce2f9b-eda5-4dc4-ba74-36eeed8c9a44,6,arts & media workers,6.2,"journalists, publishers & composers"
175,construction general supervisor,3123,3.366982,0.727164,Other,3.495596,0.067953,47-1011.00,first-line supervisors of construction trades and extraction workers,http://data.europa.eu/esco/occupation/0dd7e6cd-2e5a-4fae-9ce0-6a3622d4019f,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors
176,chief marketing officer,1221,3.525315,0.138942,Other,3.542136,0.039364,11-2021.00,marketing managers,http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321,2,business & administration workers,2.4,business managers
177,field survey manager,3341,3.575837,0.636072,Other,3.648317,0.407923,43-1011.00,first-line supervisors of office and administrative support workers,http://data.europa.eu/esco/occupation/0deaceea-69d8-4304-bc80-0b3d0491a241,2,business & administration workers,2.3,"assistants, clerks & legal workers"
178,boring machine operator,7223,3.529951,0.640254,Other,3.695092,0.0,51-4032.00,"drilling and boring machine tool setters, operators, and tenders, metal and plastic",http://data.europa.eu/esco/occupation/0e09c42d-bff2-4c35-8e1f-639a6dddaa5d,4,manufacturing workers,4.1,metal workers & machine operators
183,tower crane operator,8343,3.366143,0.792058,Low risk,3.514848,0.0,53-7021.00,crane and tower operators,http://data.europa.eu/esco/occupation/0ea5fdff-074c-4094-98b9-04432361e4d9,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors
184,refurbishing technician,7231,3.41611,0.814099,Other,3.565104,0.0,49-3021.00,automotive body and related repairers,http://data.europa.eu/esco/occupation/0ec62c2e-30c9-434e-bf36-5277a0840450,1,"technicians, construction, transport & security workers",1.1,engineering technicians
186,call centre agent,5244,3.413607,0.564936,Other,3.428949,0.187163,41-9041.00,telemarketers,http://data.europa.eu/esco/occupation/0ededdc2-050a-4ec3-8e70-6295105fcd19,3,sales & services workers,3.2,customer representatives
187,fur animals breeder,6129,3.423423,0.818131,Other,3.555012,0.120313,45-2021.00,animal breeders,http://data.europa.eu/esco/occupation/0ee5a71a-3c85-48af-bf81-824d3561737a,13,animal care & husbandry workers,13.2,animal husbandry workers
188,secretary of state,1111,3.49985,0.356627,Other,3.548024,0.193053,11-1011.00,chief executives,http://data.europa.eu/esco/occupation/0ee67d5e-8de9-48f0-97c5-ba23d486b1e9,2,business & administration workers,2.5,public officials
