skill_id,esco_skill,avg_new_safe_desirable,med_new_safe_desirable,significant_effect,esco_skill_category,esco_skill_subcategory
3535,adjust engineering designs,3.565217,3.0,True,"communication, collaboration and creativity",designing systems and products
1571,perform risk analysis,3.434783,2.0,True,information skills,analysing and evaluating information and data
4223,perform scientific research,2.869565,1.0,True,information skills,"conducting studies, investigations and examinations"
11337,execute feasibility study,2.565217,2.0,True,information skills,analysing and evaluating information and data
12240,assess financial viability,2.304348,2.0,True,information skills,analysing and evaluating information and data
2778,manage staff,2.217391,1.0,True,management skills,supervising people
5558,identify customer's needs,2.043478,2.0,True,"communication, collaboration and creativity",obtaining information verbally
12699,analyse production processes for improvement,2.043478,2.0,True,information skills,analysing and evaluating information and data
3595,keep task records,2.0,1.0,True,information skills,documenting and recording information
3248,maintain relationship with suppliers,1.913043,1.0,True,"communication, collaboration and creativity",liaising and networking
215,provide technical documentation,1.913043,1.0,True,information skills,documenting and recording information
11596,build business relationships,1.869565,2.0,True,"communication, collaboration and creativity",liaising and networking
13387,perform market research,1.782609,2.0,True,information skills,"conducting studies, investigations and examinations"
424,ensure compliance with environmental legislation,1.782609,1.0,True,assisting and caring,protecting and enforcing
1776,manage budgets,1.695652,1.0,True,management skills,allocating and controlling resources
3840,provide cost benefit analysis reports,1.695652,1.0,True,information skills,documenting and recording information
9007,adhere to organisational guidelines,1.565217,1.0,True,assisting and caring,protecting and enforcing
10823,perform project management,1.565217,1.0,True,management skills,"organising, planning and scheduling work and activities"
2144,liaise with local authorities,1.521739,1.0,True,"communication, collaboration and creativity",liaising and networking
11156,apply organisational techniques,1.521739,1.0,True,management skills,"organising, planning and scheduling work and activities"
160,create solutions to problems,1.434783,1.0,True,"communication, collaboration and creativity",solving problems
12932,follow company standards,1.26087,1.0,True,assisting and caring,protecting and enforcing
5574,read standard blueprints,1.26087,1.0,True,information skills,"conducting studies, investigations and examinations"
837,use a computer,1.217391,1.0,True,working with computers,accessing and analysing digital data
3651,manage health and safety standards,1.217391,0.0,True,assisting and caring,protecting and enforcing
10065,develop professional network,1.217391,0.0,True,"communication, collaboration and creativity",liaising and networking
6037,project management,1.173913,1.0,True,"business, administration and law",business and administration
12672,liaise with managers,1.130435,0.0,True,"communication, collaboration and creativity",liaising and networking
2349,perform data analysis,1.086957,1.0,True,working with computers,accessing and analysing digital data
2676,execute analytical mathematical calculations,1.086957,1.0,True,information skills,calculating and estimating
524,business management principles,1.043478,1.0,True,"business, administration and law",business and administration
