skill_id,esco_skill,avg_new_safe_desirable,med_new_safe_desirable,significant_effect,coreness,esco_skill_category,esco_skill_subcategory,concept_uri
2778,manage staff,3.18894,2.0,True,0.931311,management skills,supervising people,http://data.europa.eu/esco/skill/339ac029-066a-4985-9f9d-b3d7c8fea0bb
1776,manage budgets,2.981567,2.0,True,0.896653,management skills,allocating and controlling resources,http://data.europa.eu/esco/skill/21c5790c-0930-4d74-b3b0-84caf5af12ea
3248,maintain relationship with suppliers,2.824885,2.0,True,0.316837,"communication, collaboration and creativity",liaising and networking,http://data.europa.eu/esco/skill/3cd35f5d-ce6d-4f14-9a09-53d7a28d834c
9007,adhere to organisational guidelines,2.788018,2.0,True,0.542487,assisting and caring,protecting and enforcing,http://data.europa.eu/esco/skill/aa238394-8126-4ada-be2f-9dfe065cf314
12932,follow company standards,2.626728,2.0,True,0.30028,assisting and caring,protecting and enforcing,http://data.europa.eu/esco/skill/f5f5b244-6cea-4fbc-8a50-8f712791bc09
10065,develop professional network,2.539171,1.0,True,0.465248,"communication, collaboration and creativity",liaising and networking,http://data.europa.eu/esco/skill/bf5d77ad-e18c-48d8-83f0-bc79c011c74a
11596,build business relationships,2.460829,1.0,True,0.51156,"communication, collaboration and creativity",liaising and networking,http://data.europa.eu/esco/skill/dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1
12672,liaise with managers,2.43318,1.0,True,0.636548,"communication, collaboration and creativity",liaising and networking,http://data.europa.eu/esco/skill/f14ff4b7-be1e-4b55-b39b-520005f8a97e
1809,maintain relationship with customers,2.317972,1.0,True,0.413638,"communication, collaboration and creativity",liaising and networking,http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae
3475,use different communication channels,2.308756,2.0,True,1.0,"communication, collaboration and creativity",liaising and networking,http://data.europa.eu/esco/skill/415abd43-e8e5-4643-b5da-5f11307af57a
2144,liaise with local authorities,2.290323,1.0,True,0.332921,"communication, collaboration and creativity",liaising and networking,http://data.europa.eu/esco/skill/2839f191-cd94-49a9-ac16-46018066b8b2
3651,manage health and safety standards,2.152074,1.0,True,0.360049,assisting and caring,protecting and enforcing,http://data.europa.eu/esco/skill/44e2c4c4-9fd2-42d4-a133-d81360ded4bc
12240,assess financial viability,2.147465,1.0,True,0.346372,information skills,analysing and evaluating information and data,http://data.europa.eu/esco/skill/e95058a6-e139-42e7-a470-72038a606649
11337,execute feasibility study,2.124424,2.0,True,0.279897,information skills,analysing and evaluating information and data,http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702
424,ensure compliance with environmental legislation,2.092166,1.0,True,0.384569,assisting and caring,protecting and enforcing,http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d
4223,perform scientific research,2.023041,1.0,True,0.362302,information skills,"conducting studies, investigations and examinations",http://data.europa.eu/esco/skill/4fabca9a-7435-4f33-b1da-3cdb00340fdc
10823,perform project management,2.013825,1.0,True,0.576629,management skills,"organising, planning and scheduling work and activities",http://data.europa.eu/esco/skill/cd5efa8c-e44d-4cbc-91c6-796018dbed68
1571,perform risk analysis,2.004608,1.0,True,0.44615,information skills,analysing and evaluating information and data,http://data.europa.eu/esco/skill/1dd23dba-dd00-45ab-abf4-642902538317
11156,apply organisational techniques,1.976959,1.0,True,0.336055,management skills,"organising, planning and scheduling work and activities",http://data.europa.eu/esco/skill/d3eccb86-f02d-4950-bfbd-20b9510774a1
11611,apply health and safety standards,1.97235,1.0,True,0.467784,assisting and caring,protecting and enforcing,http://data.europa.eu/esco/skill/dcc96a49-0bac-4a9c-8f8e-a32b4e47e6eb
5558,identify customer's needs,1.97235,2.0,True,0.701307,"communication, collaboration and creativity",obtaining information verbally,http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d
160,create solutions to problems,1.963134,1.0,True,0.751922,"communication, collaboration and creativity",solving problems,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041
7794,manage contracts,1.824885,1.0,True,0.463311,"communication, collaboration and creativity",negotiating,http://data.europa.eu/esco/skill/92721092-fe7c-4689-96bd-4f02385bc0e7
3893,ensure public safety and security,1.774194,1.0,True,0.279087,assisting and caring,protecting and enforcing,http://data.europa.eu/esco/skill/499c05a2-6f36-4407-83c1-dc3448d35818
12699,analyse production processes for improvement,1.663594,1.0,True,0.312227,information skills,analysing and evaluating information and data,http://data.europa.eu/esco/skill/f1b5800e-b763-4740-9586-3fef30568e81
13387,perform market research,1.654378,1.0,True,0.424604,information skills,"conducting studies, investigations and examinations",http://data.europa.eu/esco/skill/fe39d4db-4cb5-4299-bb9f-896c8fd6ab13
4337,use personal protection equipment,1.626728,1.0,True,0.33612,assisting and caring,protecting and enforcing,http://data.europa.eu/esco/skill/51754b8a-3e2c-4cc1-86e6-cf510d9c6fe4
1123,work ergonomically,1.62212,1.0,True,0.382439,assisting and caring,protecting and enforcing,http://data.europa.eu/esco/skill/156f8c5b-894a-4ccc-a70e-37a2726f3f00
5184,wear appropriate protective gear,1.589862,1.0,True,0.484189,assisting and caring,protecting and enforcing,http://data.europa.eu/esco/skill/6122d586-5978-431f-8e7a-96e61fc1f3fc
9306,delegate activities,1.516129,1.0,True,0.303799,management skills,supervising people,http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9
3595,keep task records,1.479263,1.0,True,0.280513,information skills,documenting and recording information,http://data.europa.eu/esco/skill/43b13058-68d0-40c6-8031-caf5a7b7d20c
7992,supervise staff,1.387097,1.0,True,0.427989,management skills,supervising people,http://data.europa.eu/esco/skill/9601b2a8-68e4-4906-9306-a23679b8f0b0
12026,train employees,1.382488,1.0,True,0.939861,"communication, collaboration and creativity",teaching and training,http://data.europa.eu/esco/skill/e54ff029-1ce9-447d-a5b2-eb7283a23e6e
3535,adjust engineering designs,1.35023,0.0,True,0.283649,"communication, collaboration and creativity",designing systems and products,http://data.europa.eu/esco/skill/42b23922-1c40-4dbe-9e0c-7a568dfdf06b
3722,perform test run,1.331797,0.0,True,0.345849,information skills,"monitoring, inspecting and testing",http://data.europa.eu/esco/skill/465ff64a-1271-4064-8ed1-e969cb68d8b4
