FTPT,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,3455.169,3359.324,3278.076,3340.871,3385.236
1,1.0,2596.458,2586.185,2491.827,2525.768,2512.914
1,2.0,15151.132,15258.118,15536.142,15555.368,15920.385
2,0.0,1090.937,1021.02,1018.973,1047.597,1008.787
2,1.0,1083.751,1067.572,1132.775,1128.447,1088.375
2,2.0,2730.839,2876.516,2873.211,3049.043,2835.344
