AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,10.433,12.968,16.566,19.665,17.517
17,1.0,14.68,15.687,16.13,15.759,18.471
17,2.0,45.335,49.826,50.343,64.661,68.539
22,0.0,224.41,217.784,229.199,236.996,228.496
22,1.0,130.425,120.841,122.686,117.044,118.249
22,2.0,494.021,499.958,536.086,539.353,573.2
27,0.0,440.378,451.367,459.096,447.066,444.871
27,1.0,256.585,245.37,236.657,222.447,218.985
27,2.0,978.446,992.254,1038.268,1073.473,1088.168
32,0.0,601.864,569.976,590.906,577.796,567.303
32,1.0,362.052,359.955,343.797,329.335,317.541
32,2.0,1412.994,1405.247,1361.715,1402.386,1406.288
37,0.0,754.902,706.821,676.004,660.78,647.794
37,1.0,446.571,452.741,425.394,406.84,397.532
37,2.0,1867.68,1799.771,1763.753,1735.62,1657.268
42,0.0,802.768,782.598,764.99,759.589,735.127
42,1.0,526.515,531.075,530.281,512.594,500.293
42,2.0,2116.628,2139.509,2151.074,2097.463,2066.926
47,0.0,777.462,790.774,770.223,761.725,771.055
47,1.0,591.785,566.561,555.426,550.863,540.653
47,2.0,2132.761,2139.55,2171.436,2197.063,2207.235
52,0.0,674.349,727.75,758.094,754.134,757.984
52,1.0,520.895,549.176,560.407,567.099,566.019
52,2.0,1887.862,1916.66,1996.612,2046.944,2112.528
57,0.0,520.473,549.052,580.291,624.634,634.479
57,1.0,359.948,388.939,396.962,404.284,435.717
57,2.0,1490.451,1502.209,1560.29,1615.382,1697.149
62,0.0,234.269,258.903,283.508,310.627,338.067
62,1.0,169.121,185.342,203.892,212.963,227.494
62,2.0,726.355,794.788,855.729,938.486,981.497
67,0.0,53.655,63.492,72.812,74.794,83.536
67,1.0,35.035,40.295,39.164,46.417,54.861
67,2.0,196.733,202.84,219.309,264.849,294.038
72,0.0,24.751,24.477,24.653,24.753,21.673
72,1.0,11.669,13.473,12.012,14.695,13.025
72,2.0,79.673,77.709,68.785,81.042,90.376
77,0.0,8.784,9.52,13.586,10.454,6.8
77,1.0,4.051,4.732,4.904,3.026,3.604
77,2.0,34.364,34.331,40.959,39.142,36.04
