id,concept_type,concept_uri,preferred_label,alt_labels,description,isco_group,isco_level_1,isco_level_2,isco_level_3,isco_level_4
1,Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,metal drawing machine operator,"metal drawing machine technician
metal drawing machine operative
wire drawer
draw machine operative
forming machine technician
draw machine operator
wiredrawing setter
wirer drawer machine operator
forming machine operative
draw machine technician
wiredrawing  machine tender","Metal drawing machine operators set up and operate drawing machines for ferrous and non-ferrous metal products, designed to provide wires, bars, pipes, hollow profiles and tubes with their specific form by reducing its cross-section and by pulling the working materials through a series of drawing dies.",8121,8,81,812,8121
3,Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,air traffic safety technician,"air traffic safety electronics hardware specialist
air traffic safety software specialist
air traffic safety engineer
air traffic safety hardware specialist
air traffic safety electronics software specialist
air traffic safety electronics engineer
air traffic safety electronics technician","Air traffic safety technicians provide technical support regarding the safety of air traffic control and navigation systems. They design, maintain, install and operate these systems both in the airport and on board the aeroplane according to regulations.",3155,3,31,315,3155
4,Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,hospitality revenue manager,"hospitality revenues manager
yield manager
hospitality yields manager
revenue manager","Hospitality revenue managers maximise revenue generated from facilities such as hotels,  holiday resorts and camping grounds by analysing trends and competition. They assist establishment managers in strategic decisions. Hospitality revenue managers analyse and optimise the financial potential of facilities and manage the corresponding staff.",2431,2,24,243,2431
5,Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,medical laboratory assistant,"medical laboratory research assistant
biomedical laboratory assistant
clinical research assistant
assistant in medical laboratory
biomedical laboratory research assistant
assistant clinical researcher
medical lab assistant
assistant in biomedical laboratory","Medical laboratory assistants work under supervision of the biomedical scientist and carry out basic laboratory procedures. They work in the pre-analytical handling of samples such as checking the details of specimens received for analysis, maintaining analysers, loading reagents, and packaging specimens. They also perform clerical tasks such as monitoring the stock levels of reagents used in analysis.",3212,3,32,321,3212
7,Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,primary school teaching assistant,"primary school teaching aide
teaching assistant in primary schools
primary education teaching assistant
primary school assistant
primary school paraprofessional
primary school instructional assistant
primary school TA","Primary school teaching assistants provide instructional and practical support to primary school teachers. They reinforce instruction with students in need of extra attention and prepare the materials the teacher needs in class. They also perform clerical work, monitor the students' learning progress and behaviour and supervise the students with and without the head teacher present.",5312,5,53,531,5312
8,Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,"business physiotherapist
hydrotherapist
occupational physiotherapist
osteopath
occupational therapist
bobath physiotherapist
health and well-being therapist
chiropractic therapist
sports physiotherapist
respiratory therapist
eurythmy therapist
health promotion worker
remedial physiotherapist
physiotherapist manager
manipulative physiotherapist
neuromuscular physiotherapist
respiratory physiotherapist
neurological physiotherapist
physical therapist
rehabilitation therapist
masseuse
chiropractor
neuromusculoskeletal physiotherapist
cardiovascular physiotherapist
neurodevelopmental physiotherapist","Physiotherapists are autonomous health professionals who are responsible for developing, maintaining or restoring motor function and movement throughout the lifespan using evidence-based practice. They relieve pain and treat or prevent physical conditions associated with injury, disease or other impairments. Physiotherapists empower patients and their carers to manage the condition outside clinical settings. They work within their scope of practice and their professional Code of Conduct. ",2264,2,22,226,2264
10,Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,hydrogenation machine operator,"hydrogenation machine operative
hydrogenator
hydrogenation operator
hydrogenation process operator"," Hydrogenation machine operators control equipment to process base oils for manufacture of margarine and shortening products. 
",8160,8,81,816,8160
11,Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,pasta operator,"pasta manufacturer
pasta production operator","Pasta operators manufacture dry pasta products. They unload raw ingredients from storage silos and ingredient delivery systems. These operators mix, press, extrude as to reach desired drying levels of pasta.",8160,8,81,816,8160
15,Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,food safety specialist,"food production quality controller
trainee food safety specialist
food safety controller
senior food safety specialist
food scientist
food safety monitor
food safety advisor
food safety technician
food compliance manager (food safety)
assistant food safety specialist
HACCP compliance manager
food safety consultant
technical manager for food safety
food hygiene specialist
food quality controller","Food safety specialists organise processes and implement procedures to avoid problems with food safety. They comply with regulations.
",2263,2,22,226,2263
16,Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,land-based machinery technician,"land-based machinery mechanic
land-based machinery technicians
landbased machinery technician","Land-based machinery technicians maintain, overhaul and repair agricultural equipment and machinery.",7233,7,72,723,7233
17,Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,"intercity bus driver
private bus operator
transit bus driver
public service vehicle operator
passenger driver
international bus driver
public bus operator
touristic bus driver
coach driver
private coach driver
public bus driver
bus operator
driver of bus
bus driving operator
schoolbus driver","Bus drivers operate buses or coaches, take fares, and look after passengers.",8331,8,83,833,8331
21,Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,nonwoven filament machine operator,"non-woven filament machine operator
non-woven yarn worker
non woven yarn worker
nonwoven filament machinist
nonwoven yarn worker
non woven filament machine operator",Nonwoven filament machine operators perform chemical nonwoven processing operations.,8131,8,81,813,8131
24,Occupation,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,dismantling engineer,"disassembly planner
dismantling manager
dismantling planner","Dismantling engineers research and plan the optimal way to dismantle industrial equipment, machinery and buildings that reached the end-of-life phase. They analyse the required work and schedule the various operations. They give team leaders instructions and supervise their work. 
",2149,2,21,214,2149
25,Occupation,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,insurance claims handler,"claims handler
contract claims examiner
claims consultant
claims representative
property and casualty insurance claims examiner
claims inspector
claims service supervisor
insurance claims consultant
claims examiner
claims processor
insurance claims officer
casualty insurance adjuster
claims adjuster
insurance claims analyst
travelling insurance assessor
insurance claims processor
claims analyst
insurance claims assessor
insurance claims examiner
civil damages inspector
insurance claims inspector","Insurance claims handlers ensure that all insurance claims are handled accurately and that payment for valid claims is made to the policyholders. They use statistical data and reporting to calculate and adjust claims as needed, communicate with and guide policyholders and monitor the progress of a claim.",3315,3,33,331,3315
27,Occupation,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,nitroglycerin separator operator,"nitro-separator operator
nitroglycerin separator tender
nitroglycerin separator operative
gravity separator operator
nitroglycerin-separator tender
chemical equipment operative
nitroglycerin- separator operative
nitroglycerin-separator worker
nitro-separator operative
nitroglycerin gravity separator
chemical equipment worker
nitroglycerin-separator operator
nitroglycerin separator worker
chemical equipment operator","Nitroglycerin separator operators maintain the gravity separator, used in explosives processing, controlling the temperature and liquid flow, in order to separate nitroglycerin from spent acids.",8131,8,81,813,8131
29,Occupation,http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,legal guardian,"conservator
court-appointed guardian
foster parent
youth legal guardian
department of work and pensions appointee
legal parent
welfare guardian
financial guardian
intervenor","Legal guardians legally assist and support minor children, mentally disabled persons or incapacitated older adults in their personal life. They can manage their property, help with daily financial administration and assist with the ward's medical or social needs.",3412,3,34,341,3412
30,Occupation,http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,weaver,"needle loom operator
weaving forewoman
fabric weaver
manufacturing weaver
textile weaver
weaving machine operator
cloth weaver
loom operator
weaving foreman
weaving machinist
weaving inspector
needle loom weaver","Weavers operate the weaving process at traditional hand powered weaving machines (from silk to carpet, from flat to Jacquard). They monitor fabric quality and condition of machines such as woven fabrics for clothing, home-tex or technical end uses. They carry out  mechanic works on machines that convert yarns into fabrics such as blankets, carpets, towels and clothing material. They repair loom malfunctions as reported by the weaver, and complete loom check out sheets.",7318,7,73,731,7318
31,Occupation,http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,tile fitter,"wall tiler
floor tiler
surface tiler
tile setter
tilefitter
tile installer
tiling worker
marble setter
tiler
mosaic tiler
tilesetter","Tile fitters install tiles onto walls and floors. They cut tiles to the right size and shape, prepare the surface, and put the tiles in place flush and straight. Tile fitters may also take on creative and artistic projects, with some laying mosaics.",7122,7,71,712,7122
33,Occupation,http://data.europa.eu/esco/occupation/02609ece-cea3-43fa-bf38-b6fb821f28b2,tour operators manager,"package tour manager
package tour services manager
tour operator manager
package tour operator manager",Tour operators managers are in charge of managing employees and of activities within tour operators related to the organisation of package tours and other tourism services.,3339,3,33,333,3339
34,Occupation,http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa,bee breeder,"bee breeders
bees breeder
bee rearer
bee specialist",Bee breeders oversee the production and day-to-day care of bees. They maintain the health and welfare of bees.,6123,6,61,612,6123
35,Occupation,http://data.europa.eu/esco/occupation/0264b794-3771-47aa-a675-78bf13b62ee7,legal administrative assistant,"paralegal assistant
certified legal assistant
litigation secretary
litigation legal assistant
legal executive secretary
legal assistant
certified legal secretary specialist
legal secretary
certified legal secretary
collection legal assistant
legal administrative assistant
legal administrative secretary","
Legal administrative assistants carry out the daily administrative activities of firms, offices of notaries public, and companies. They perform activities such as writing mails, phone-answering and typing/keyboarding. They combine these activities with specific knowledge and understanding of the procedures and codes managed in legal business affairs.",3342,3,33,334,3342
36,Occupation,http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e,petroleum pump system operator,,"Petroleum pump system operators tend pumps that keep the circulation of oil and derived products running smoothly. They monitor the flow within the pipes at a refinery and test the equipment to ensure minimum disruptions. Pump systems operators work from a highly automated control room, where they communicate with other workers to coordinate pump activities. Pump system operators undertake minor repairs and maintenance, and report as called for.",3134,3,31,313,3134
38,Occupation,http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a,coating machine operator,"coater operator
coater technician
coater
coating and embossing operator
coating machine operative
coater adjuster
coating machine technician
coating and baking operator
coating and embossing unit operator
coater associate","Coating machine operators set up and tend coating machines that coat metal products with a thin layer of covering of materials such as lacquer, enamel, copper, nickel, zinc, cadmium, chromium or other metal layering in order to protect or decorate the metal products' surfaces. They run all coating machine stations on multiple coaters.",8122,8,81,812,8122
39,Occupation,http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787,aquaculture hatchery manager,"aquaculture hatchery supervisor
manager of aquaculture hatchery
fish farm hatchery supervisor","Aquaculture hatchery managers plan, direct, and coordinate the production in large-scale aquaculture operations to breed fish and shellfish, developing aquaculture breeding strategies using various types of spawning techniques. They control the reproduction and the early life cycle stages of cultured species. They supervise incubation, early feeding and rearing techniques of the cultured species.",6221,6,62,622,6221
40,Occupation,http://data.europa.eu/esco/occupation/02d4f153-8e43-444d-8bd4-8171d49eab12,gear machinist,"mechanical gearing  machinist
mechatronic gear machinist
automotive gear machinist
electrical gearing machinist
auto machinist
mechatronic gearing machinist
automotive gearing machinist
gear change machinist
electrical gear machinist
mechanical gear machinist
auto change machinist
precision gear machinist
precision gearing machinist",Gear machinists make precision parts for gears and other driving elements. They use a variety of machine tools.,7223,7,72,722,7223
41,Occupation,http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7,rooms division manager,"director of rooms
front desk manager
rooms and reservations manager
reservations manager
reception manager
front office manager
rooms manager
head receptionist"," Rooms division managers are in charge of managing and coordinating a team of employees at front desk, reservations, housekeeping and maintenance departments. 
",1411,1,14,141,1411
43,Occupation,http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2,telecommunications engineer,"broadcast engineer
telecommunications designer
telecommunications technologist
communications designer
telecommunications engineers
communications engineer
transmission engineer
telecoms engineer
telecom engineer
information systems engineer
radio engineer","Telecommunications engineers design, build, test and maintain telecommunication systems and networks, including radio and broadcasting equipment. \
They analyse customer needs and requirements, ensure that the equipment meets regulations, and prepare and present reports and proposals on telecommunication-related problems. Telecommunications engineers design and oversee the service delivery in all it's phases, supervising the installation and use of telecommunications equipment and facilities, preparing documentation and providing training for company staff once new equipment has been installed. ",2153,2,21,215,2153
46,Occupation,http://data.europa.eu/esco/occupation/02ff199e-38b3-45fd-b659-68846cfeeb92,sprinkler fitter,"fire sprinkler fitter
fire safety system fitter
fire protection system fitter
fire safety system installer
sprinkler technician
sprinkler system fitter
fire protection system installer
sprinkler installer","Sprinkler fitters are responsible for the installation of fire protection systems that sprinkle water. They connect pipes, tubing and the necessary accessories. Sprinkler system installers also test the systems for leaks.

",7126,7,71,712,7126
52,Occupation,http://data.europa.eu/esco/occupation/03b2f112-a891-461d-a8d4-effb9dcf2df6,quarry engineer,"drilling & blasting engineer
mine engineer
drilling and blasting engineer
mine planning engineer
explosives engineer
drilling and blasting supervisor
drill and blast engineer
quarry manager
mining engineer
drill & blast engineer","Quarry engineers analyse which extraction methods such as excavating, drilling and blasting are most suited to extract raw materials from the ground. They develop plans before a new quarry is opened, assessing if the quarry is profitable. Quarry engineers manage the everyday operations in a quarry, create and maintain progress reports, oversee the staff, ensure health and safety and assess the environmental impact a quarry has on its environment.",2146,2,21,214,2146
55,Occupation,http://data.europa.eu/esco/occupation/03d79393-7b30-4159-945b-01963eddd302,primary school teacher,"primary school music teacher
primary school educator
educator in primary school
primary education teacher
teacher in a primary school
music teacher primary school
educator in primary education
teacher in primary education
primary education professional","Primary school teachers instruct students on a primary school level. They develop lesson plans in line with curriculum objectives for the variety of subjects they teach, including mathematics, languages, nature studies and music. They monitor the students' learning development and evaluate their knowledge and skills on the subjects taught through tests. They build their course content on the students' knowledge of previous learnings and encourage them to deepen their understanding on the subjects they are interested in. They use class resources and teaching methods to create an inspiring learning environment. Primary school teachers also contribute to school events and communicate with parents and administrative staff.",2341,2,23,234,2341
56,Occupation,http://data.europa.eu/esco/occupation/03e02554-15d1-4697-960c-8909e7d36f7e,tram driver,"driver of light rail trains
driver of trams
light rail train driver
light rail vehicle driver
metro train driver","Tram drivers operate trams, take fares, and look after passengers. ",8331,8,83,833,8331
59,Occupation,http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652,administrative assistant,"communications assistant
administrative office assistant
administrative office worker
clerical assistant
office clerk
office administrator
executive administrative assistant
general office clerk","Administrative assistants perform administrative and office support for supervisors. They perform a variety of tasks, such as answering telephone calls, receiving and directing visitors, ordering office supplies, maintaining the office facilities running smoothly, and ensuring that equipment and appliances work properly.",3343,3,33,334,3343
60,Occupation,http://data.europa.eu/esco/occupation/0458929a-f6c9-40ed-8ce3-caa9f03a6b5b,coffee grinder,"grinding machine attendant
grinder operator"," Coffee grinders operate grinding machines to grind coffee beans to specified fineness. 
",8160,8,81,816,8160
61,Occupation,http://data.europa.eu/esco/occupation/045f05f2-4ff8-46b2-9d08-e12a81657498,medical administrative assistant,"health services administrative assistant
medical institution administrative assistant
PA
medical institution personal assistant
secretary in medical institution
healthcare assistant
medical assistant
healthcare secretary
personal assistant
medical PA
medical receptionist
administrative assistant in medical institution","Medical administrative assistants work very closely with health professionals. They provide office support such as correspondence, fixing appointments and answering queries of patients.",3344,3,33,334,3344
62,Occupation,http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7,ICT security administrator,"system security administrator
network security administrator
ICT security administrators
IT security administrator","ICT security administrators plan and carry out security measures to protect information and data from unauthorised access, deliberate attack, theft and corruption.",2529,2,25,252,2529
64,Occupation,http://data.europa.eu/esco/occupation/0477b9b0-8d2d-4eec-aaad-bac11092e98b,slate mixer,"slate mixing machine operator
slate mixing machine operative
slate granule mixer worker
slate granule mixer
slate product production operative
slate granule mixer operator
slate-mixer worker
slate granule mixer operative
slate granule mixer tender
slate mixing machine setter
slate mixing machine tender
slate-mixer tender
slate product production worker
slate product production operator
granule mixer
slate-mixer operative
slate granule mixer setter
slate-mixer setter
slate-mixer operator
slate mixing machine worker",Slate mixers operate and maintain slate mixing machines that mix multicolored slate granules used for asphalt-coated roofing felt surfacing.,8114,8,81,811,8114
66,Occupation,http://data.europa.eu/esco/occupation/04b52c04-0620-4558-8f89-e252de2963ff,auction house manager,"auctioneer
valuer
auction house director
auction house administrator","Auction house managers are responsible for the staff and activities in an auction house. Moreover, they manage the finances and marketing aspects of the auction house.",1221,1,12,122,1221
67,Occupation,http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst,"programming analyst
software requirement analyst
software analysts
software requirements analyst
analyst of software
application analyst
programmer analyst","Software analysts elicit and prioritise user requirements, produce and document software specifications, test their application, and review them during software development. They act as the interface between the software users and the software development team.",2512,2,25,251,2512
70,Occupation,http://data.europa.eu/esco/occupation/056bef79-c125-47ab-b6b9-8eed05c9458c,telecommunications technician,"telecommunications systems technician
telecoms technician
communication line technicians
telecommunications installer
technician in telecommunication systems
phone systems technician
telecommunications systems installer
telecommunications line maintainer
telecom technician
telecommunications equipment technician
technician in telecommunications
telecommunications installation technician
telecommunications equipment installer
technician in satellite telecommunications
telecommunications technicians
field-based telecommunications technician
telecoms systems technician
communication technician
telecommunications service technician
telecommunications hardware professional
communication line technician
telecommunications installer and repairer
satellite dish installer
cable and fibre network technician","Telecommunications technicians install, test, maintain and troubleshoot telecommunications systems. They repair or replace defective devices and equipment and maintain a safe working environment and a complete inventory of supplies. They also provide user or customer assistance. 
 ",7422,7,74,742,7422
71,Occupation,http://data.europa.eu/esco/occupation/056f1849-7ff8-4d6f-9b8a-176a610bba44,promotions demonstrator,"senior sales demonstrator
hypermarket sales demonstrator
trainee sales demonstrator
garden centre sales demonstrator
filling station sales demonstrator
supermarket sales demonstrator
department store promotions demonstrator
hypermarket promotions demonstrator
supermarket promotions demonstrator
department store sales demonstrator
outlet centre promotions demonstrator
trainee promotions demonstrator
filling station promotions demonstrator
senior promotions demonstrator
garden centre promotions demonstrator
outlet centre sales demonstrator",Promotions demonstrators proactively seek out and engage with new potential clients. They provide product specific advice and demonstrate promotional goods or services.,5242,5,52,524,5242
77,Occupation,http://data.europa.eu/esco/occupation/05f321f8-055b-407d-bf19-e0ddabda56b7,bricklayer,"specialist brick layer
brick laying labourer
trowel occupation worker
brick laying worker
industrial oven brickmason
brick layer","Bricklayers assemble brick walls and structures by skilfully laying the bricks in an established pattern, using a binding agent like cement to bond the bricks together. They then fill the joints with mortar or other suitable materials.",7112,7,71,711,7112
78,Occupation,http://data.europa.eu/esco/occupation/05f6eaeb-b285-46bd-a44a-225bd429e329,meat cutter,"trimmer
meat trimmers
meatcutter
deboner
meat boner"," Meat cutters cut carcasses of animals into large and smaller parts for further processing. They remove bones from pre-processed carcasses of animals either manually or using machines. 
",7511,7,75,751,7511
79,Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,"criminology scientist
criminology science researcher
criminology studies research scientist
criminology studies researcher
criminology studies scientist
criminologists
criminology studies scholar
criminology scholar
criminology researcher
criminology research scientist",Criminologists study conditions pertaining to humans such as the social and psychological aspects that could lead them to commit criminal acts. They observe and analyse different factors ranging from behavioural conditions up to social background and environment of suspects in order to advise organisations on the prevention of crime.,2632,2,26,263,2632
83,Occupation,http://data.europa.eu/esco/occupation/06351e17-67c4-44bc-adf7-64b73f92c3b5,metallurgical technician,"metallurgist
metallurgical quality technician
metallurgy quality technician
development metallurgist
metallurgy test technician
laboratory metallurgist
quality technician, metals
metallurgy research technician
metallurgical test technician
minerals technician
metallurgy technician
mining technician
extraction technician
metallurgical research technician","Metallurgical technicians provide technical support in researching and performing experiments on minerals, metals, alloys, oil and gas. They also assist in improving the methods of extraction.",3117,3,31,311,3117
84,Occupation,http://data.europa.eu/esco/occupation/06461fc3-1274-40a1-9322-dfc2753f5eea,spinning textile technician,"spinning and winding supervisor
textile technician for spinning
spinning mill  manager
textile spinning technician
textile spinner
spinning textile operator
spinning supervisor
spinner technician
spinning process operator",Spinning textile technicians perform operations related to setting up spinning processes.,8151,8,81,815,8151
85,Occupation,http://data.europa.eu/esco/occupation/0663d464-f139-4554-ae87-97aa6c4dad77,resilient floor layer,"vinyl floor installer
layer of resilient floor
linoleum installer
floor layer (resilient)
resilient floor installer
linoleum layer
vinyl tile installer
laminate floor installer
resilient flooring installer","Resilient floor layers place prefabricated tiles or rolls of flooring materials such as linoleum, vinyl, rubber or cork to serve as floor covering.",7122,7,71,712,7122
87,Occupation,http://data.europa.eu/esco/occupation/066a9d8f-3948-409c-a3cf-ed8ed37cfe22,curing room worker,"tobacco curing room workers
tobacco drying machine operator
curing room operative
tobacco curing room worker
curing room assistant
tobacco drier
tobacco roaster
tobacco curer
tobacco dryer
tobacco drier operator
tobacco drying worker
tobacco drying machine tender
curing room attendant","Curing room workers assist in the blending, aging, and fermenting of tobacco strips and stems for the production of cigars, chewing tobacco and snuff.",7516,7,75,751,7516
88,Occupation,http://data.europa.eu/esco/occupation/066fe11d-10e4-4fec-bd27-3e78797500b9,enameller,"metal enameller
platinum enameller
enamel machine operator
cast metal enameller
enamel dipper
dipping machine technician
gold enameller
enamel dipper operator
coating and dipping operator
enamel dipping machine operator
dipping machine apprentice
engineering dipper
silver enameller
enamel machine technician
copper enameller
jewelery artist
dipper
coating and enamelling operator
enamel machine apprentice","Enamellers embellish metals such as gold, silver, copper, steel, cast iron or platinum by painting it. The enamel they apply, consists of coloured powdered glass.",8122,8,81,812,8122
89,Occupation,http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815,recruitment consultant,"job placement officer
employee recruiter
temporary labour officer
recruiting process consultant
head hunter
recruitment officer
temporary labour agent
employment agent
job placement consultant","Recruitment consultants provide the suitable candidates to employers according to the specific job profile requested. They perform testing and interviewing with job seekers, shortlist few candidates to present to the employers and match candidates to appropriate jobs. Recruitment consultants maintain relationships with employers to offer their services on a more long-term basis.",2423,2,24,242,2423
90,Occupation,http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482,actuarial consultant,"actuaries
actuarial analyst
actuarial clerks
actuarial analysts
health actuary
actuarial adviser
actuarial advisor
insurance actuaries
actuarial mathematicians
health actuaries
actuarial clerk
actuarial mathematician
consulting actuary
insurance actuary
actuarial advisors
consulting actuaries
actuary","Actuarial consultants analyse, manage and provide guidance on financial impact of risks. They can work in fields related to insurance, pension, investment, banking, healthcare etc. Actuarial consultants apply technical and statistical models and theories to give strategic, commercial, and financial advice.",2120,2,21,212,2120
91,Occupation,http://data.europa.eu/esco/occupation/068df7d1-516f-4829-b339-294cb0cf6318,lighting designer,"lighting technician and designer
lighting designer & technician
lighting technician & designer
lighting designer and technician
theatre lighting designer","Lighting designers develop a lighting design concept for a performance and supervise the execution of it. Their work is based on research and artistic vision. Their design is influenced by and influences other designs and must be conform with these designs and the overall artistic vision. Therefore, the designers work closely with artistic directors, operators and the artistic team. During rehearsals and performance they coach the operators to obtain optimal timing and manipulation. Lighting designers develop lighting plots, cue lists and other documentation to support the operators and production crew. Lighting designers sometimes also work as autonomous artists, creating light art outside a performance context.",3435,3,34,343,3435
93,Occupation,http://data.europa.eu/esco/occupation/06bd6285-13ed-4ea7-90cc-e9638a0600a9,automotive battery technician,"automotive battery tester
battery installer
truck battery technician
bus battery technician
lorry battery technician
dry cell battery technician
automotive battery installer
coach battery technician
dry cell installer
car battery installer
automobile battery technician
dry cell repairer
technician of automotive batteries
car battery technician
automotive battery repairer
automotive battery assembler
motor vehicle battery technician
installer of automotive batteries
dry cell tester
motor vehicle battery installer
vehicle battery technician
automobile battery installer","Automotive battery technicians assemble, install, inspect, maintain and repair batteries in motor vehicles. They use electrical test equipment to confirm good working condition after installation. They evaluate batteries to determine the nature of power problems. They also prepare old batteries for disposal.",7412,7,74,741,7412
95,Occupation,http://data.europa.eu/esco/occupation/070e94a8-a933-4557-9b95-fefe7f4f1763,public employment service manager,"jobcentre manager
jobcentre plus manager
employment service manager
DWP manager
national careers service manager
careers advice manager
department of work and pensions manager
job centre manager",Public employment service managers supervise the operations of a public employment agency. They oversee the staff that helps people find employment or provide occupational guidance.,2423,2,24,242,2423
96,Occupation,http://data.europa.eu/esco/occupation/072279cf-ed39-47e7-af23-ee6df571eb24,clothing product grader,"clothing patternmaker
pattern developer/grader
clothing product tester
fabric pattern grader",Clothing product graders produce patterns in different sizes (i.e. scaled-up and scaled-down) to reproduce the same wearing apparel in different sizes. They draft patterns by hand or using software following size charts.,7532,7,75,753,7532
97,Occupation,http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d,public administration manager,"public administration director
public institution director
public body manager
public administrator
district council manager
public service administrator
county council manager
public body administrator
public service director
local authority officer
chief of staff
civil service administrator
city administrator
government department manager","Public administration managers direct, monitor and evaluate the implementation of government policies. They supervise staff and manage resources used for implementation, and write reports on the implementation process. They also communicate with government officials and the public to inform them on the policies. Public administration managers may also participate in the design and creation of public policies.",1112,1,11,111,1112
101,Occupation,http://data.europa.eu/esco/occupation/07b91f36-8272-493a-8e1c-5625e77efe68,dancer,"dance artist
show dancer
contemporary dancer
stage dancer
ballet dancer
ballet and modern dance perfomer
singer and dancer
dance performer
soloist dancer
ballet and modern dancer
modern dancer
belly dancer
modern & ballet dance performer
modern and ballet dance performer
dancer & singer
ballet & modern dance performer
modern and ballet dancer
jazz dancer
group dancer
dancer and singer
modern & ballet dancer
singer & dancer
singer-dancer
ballet & modern dancer
solo dancer
commercial dancer","Dancers interpret ideas, feelings, stories or characters for audiences by using movement and body language mostly accompanied by music.  This normally involves interpreting the work of a choreographer or a traditional repertory, although it may sometimes require improvisation.",2653,2,26,265,2653
103,Occupation,http://data.europa.eu/esco/occupation/07bd65d7-c13f-443a-bdf6-88903f3822be,judge,"investigating magistrate
deputy circuit judge
district judge
circuit judge
high court judge
family court judge
inquisitorial magistrate
youth court judge
examining magistrate
appeal court judge
recorder
adjudicator","Judges preside over, review and handle court cases, hearings, appeals and trials. They ensure that court procedures conform to conventional legal processes and review evidence and juries. Judges preside over cases involving such areas as crime, family issues, civil law, small claims and juvenile offenses.",2612,2,26,261,2612
105,Occupation,http://data.europa.eu/esco/occupation/07d4a2fa-e278-4f32-8cf9-9c01fc660369,flexographic press operator,"flexographic printer
flexographic printing press operator
flexographic printing inspection operator
flexographic label press operator
flexographic label press technician
flexographic press specialist
wide-format printer on flexographic presses
flexographic print maker
flexographic presswoman
flexographic printing inspection specialist
flexographic pressman
flexographic print operator
flexographic printing plate maker
flexographic operator
flexographic printing inspection technician
flexographic label press specialist
flexographic print technician
flexographic printing plate mounter
flexographic label printer
narrow-format printer on flexographic presses",Flexographic press operators use flexographic relief plate to print on almost any material. The relief plate is inked and pressed onto the material to be printed.,7322,7,73,732,7322
106,Occupation,http://data.europa.eu/esco/occupation/07e60525-1aad-4099-aaf3-2c7014c92212,integration engineer,"software integration engineer
ICT integration engineers
IT integration engineer
system integration engineer",Integration engineers develop and implement solutions which coordinate applications across the enterprise or its units and departments. They evaluate existing components or systems to determine integration requirements and ensure that the final solutions meet organisational needs. They reuse components when possible and assist management in taking decisions. They perform ICT system integration troubleshooting.,2511,2,25,251,2511
108,Occupation,http://data.europa.eu/esco/occupation/080bce18-066b-4431-90ed-e07608f73fe0,street artist,"muralist
street caricaturist
street visual artist
light street artist
graffiti artist
paste-up street artist
urban artist
stencil artist
pictorial muralist","Street artists create visual art such as graffiti art or sticker art in urban environments' public spaces, on the streets, typically expressing feelings or political views and ideas, opting for non-traditional art venues.",2659,2,26,265,2659
