isco_code,2014,2015,2016,2017,2018,isco_minor_group,RISK_CAT
111,6.636,8.115,10.438,7.273,14.537,Legislators and senior officials,2
112,74.033,84.088,76.883,84.772,118.716,Managing directors and chief executives,2
121,503.408,538.177,652.108,690.44,662.359,Business services and administration managers,2
122,219.555,307.106,300.64,339.262,315.39,"Sales, marketing and development managers",0
131,43.522,36.621,48.651,46.781,40.403,"Production managers in agriculture, forestry and fisheries",2
132,750.017,799.083,772.852,893.525,875.689,"Manufacturing, mining, construction, and distribution managers",2
133,86.383,88.999,104.878,92.756,91.406,Information and communications technology service managers,2
134,335.885,337.835,307.484,378.308,352.676,Professional services managers,2
141,294.98,290.758,319.203,291.644,299.079,Hotel and restaurant managers,2
142,329.589,339.349,315.186,326.806,316.885,Retail and wholesale trade managers,2
143,558.444,526.365,460.064,517.178,543.385,Other services managers,2
211,56.152,55.228,61.356,53.468,46.781,Physical and earth science professionals,2
212,23.55,46.17,37.859,46.836,55.105,"Mathematicians, actuaries and statisticians",2
213,180.256,188.962,182.985,204.429,217.996,Life science professionals,2
214,454.651,458.321,479.214,473.404,485.175,Engineering professionals (excluding electrotechnology),2
215,166.25,176.949,167.964,179.151,201.971,Electrotechnology engineers,2
216,226.575,254.406,280.987,283.217,245.746,"Architects, planners, surveyors and designers",2
221,243.897,268.015,265.174,263.034,242.769,Medical doctors,2
222,611.335,672.923,691.996,636.258,676.226,Nursing and midwifery professionals,2
225,19.811,19.038,26.324,24.534,19.783,Veterinarians,2
226,303.443,264.258,267.49,325.485,320.149,Other health professionals,2
231,142.563,163.797,174.441,190.428,160.897,University and higher education teachers,2
232,116.856,91.435,85.8,94.187,127.724,Vocational education teachers,2
233,412.378,427.328,429.558,366.814,385.291,Secondary education teachers,2
234,418.006,427.127,431.814,399.346,446.446,Primary school and early childhood teachers,2
235,321.731,338.703,325.951,339.642,345.632,Other teaching professionals,2
241,435.682,412.319,474.152,402.213,472.257,Finance professionals,2
242,828.661,880.918,863.899,889.755,979.058,Administration professionals,2
243,708.637,697.589,740.29,738.627,729.175,"Sales, marketing and public relations professionals",2
251,868.111,908.692,949.428,920.647,940.989,Software and applications developers and analysts,2
261,186.555,175.899,217.287,188.178,202.191,Legal professionals,2
262,36.276,48.267,44.855,50.606,33.69,"Librarians, archivists and curators ",2
263,261.968,291.347,307.671,313.222,334.594,Social and religious professionals,2
264,144.481,159.637,181.187,150.52,141.356,"Authors, journalists and linguists",2
265,245.047,216.636,216.535,220.21,232.495,Creative and performing artists,2
311,309.671,292.007,346.863,366.991,366.321,Physical and engineering science technicians,2
312,79.57,98.43,91.449,94.04,87.327,"Mining, manufacturing and construction supervisors",2
313,32.083,34.619,37.05,34.329,41.89,Process control technicians,2
314,4.818,8.802,9.004,10.823,8.552,Life science technicians and related associate professionals,2
315,40.76,55.755,40.449,41.353,44.75,Ship and aircraft controllers and technicians,1
321,123.105,121.176,154.955,131.283,166.46,Medical and pharmaceutical technicians,2
323,57.557,60.206,46.467,61.688,58.467,Traditional and complementary medicine associate professionals,2
324,14.87,15.742,17.696,20.889,10.953,Veterinary technicians and assistants,2
325,139.57,161.038,172.943,173.488,163.858,Other health associate professionals,2
331,426.227,474.868,470.871,496.434,516.532,Financial and mathematical associate professionals,0
332,255.163,247.057,241.52,222.724,215.407,Sales and purchasing agents and brokers,0
333,116.727,113.273,109.748,138.215,110.344,Business services agents,2
334,760.549,747.833,771.052,771.592,782.274,Administrative and specialised secretaries,2
335,375.113,326.164,301.685,300.259,306.764,Regulatory government associate professionals,2
341,304.299,340.678,339.706,344.798,381.349,"Legal, social and religious associate professionals",2
342,158.416,165.093,168.255,181.051,202.961,Sports and fitness workers,2
343,311.441,331.559,346.309,336.557,303.345,"Artistic, cultural and culinary associate professionals",2
351,165.414,188.19,197.724,222.918,226.615,Information and communications technology operations and user support technicians,2
352,37.52,43.144,46.8,47.099,42.249,Telecommunications and broadcasting technicians,2
411,210.939,203.336,166.466,185.59,191.719,General office clerks,0
413,57.259,35.993,32.665,41.227,36.239,Keyboard operators,0
421,363.471,375.689,349.864,336.918,336.056,"Tellers, money collectors and related clerks",0
422,820.676,875.236,804.553,835.36,909.927,Client information workers,0
431,529.635,555.733,436.234,586.152,551.883,Numerical clerks,0
432,168.665,170.968,135.724,184.78,167.271,Material-recording and transport clerks,2
441,882.364,874.878,996.607,1006.466,991.81,Other clerical support workers,2
511,80.618,89.122,92.685,95.801,96.069,"Travel attendants, conductors and guides",2
512,102.481,83.862,88.179,79.181,76.476,Cooks,2
513,459.977,457.708,445.098,482.57,416.18,Waiters and bartenders,2
514,301.687,287.393,249.437,276.055,288.115,"Hairdressers, beauticians and related workers",2
515,174.871,179.671,199.599,197.704,181.325,Building and housekeeping supervisors,2
516,113.668,135.926,139.159,129.259,135.125,Other personal services workers,2
521,16.001,22.228,21.647,15.41,27.253,Street and market salespersons,0
522,1523.728,1520.579,1540.6,1575.427,1476.452,Shop salespersons ,0
523,248.955,203.766,217.299,185.785,176.564,Cashiers and ticket clerks,0
524,247.173,253.334,251.725,238.01,245.489,Other sales workers,0
531,809.02,866.981,880.482,816.481,829.925,Child care workers and teachers' aides,2
532,1247.195,1272.103,1273.711,1345.477,1249.385,Personal care workers in health services,2
541,496.52,495.445,511.58,531.188,559.622,Protective services workers,2
611,188.482,202.356,223.673,205.385,206.487,Market gardeners and crop growers,2
612,172.919,122.155,141.212,140.809,122.764,Animal producers,1
621,27.967,25.287,31.589,30.481,26.039,Forestry and related workers,2
711,610.011,618.007,574.5,625.456,600.739,Building frame and related trades workers,1
712,371.536,381.505,394.185,387.369,433.742,Building finishers and related trades workers,1
713,150.694,156.136,120.449,133.523,132.13,"Painters, building structure cleaners and related trades workers",2
721,151.635,123.712,110.33,91.543,113.91,"Sheet and structural metal workers, moulders and welders, and related workers",2
722,121.944,106.429,125.594,135.133,131.132,"Blacksmiths, toolmakers and related trades workers",2
723,488.868,478.392,488.041,455.592,497.665,Machinery mechanics and repairers,1
731,89.988,85.067,71.668,86.084,75.713,Handicraft workers,2
732,83.455,71.008,59.127,63.557,61.226,Printing trades workers,2
741,233.188,268.804,274.422,267.347,280.477,Electrical equipment installers and repairers,1
742,91.057,90.396,82.474,96.156,88.923,Electronics and telecommunications installers and repairers,2
751,76.386,69.976,82.867,97.936,68.633,Food processing and related trades workers,2
752,58.42,62.422,63.998,52.337,61.319,"Wood treaters, cabinet-makers and related trades workers",1
753,48.76,50.134,55.649,54.924,41.954,Garment and related trades workers,2
754,108.769,110.814,74.745,119.871,117.412,Other craft and related workers,2
811,30.036,20.162,21.001,22.635,17.691,Mining and mineral processing plant operators,2
812,15.602,10.418,20.452,11.182,12.254,Metal processing and finishing plant operators,2
813,48.398,51.024,38.603,34.715,39.069,Chemical and photographic products plant and machine operators,2
814,36.14,34.753,28.827,21.808,21.068,"Rubber, plastic and paper products machine operators",2
815,40.279,37.891,60.431,35.699,50.849,"Textile, fur and leather products machine operators",2
816,152.205,171.225,191.924,133.741,153.444,Food and related products machine operators,2
818,38.734,48.132,37.866,39.261,33.917,Other stationary plant and machine operators,2
821,124.912,114.397,131.973,131.054,123.177,Assemblers,2
831,37.385,39.14,31.138,40.605,37.666,Locomotive engine drivers and related workers,1
832,449.448,442.892,522.943,476.192,526.6,"Car, van and motorcycle drivers",2
833,404.742,411.951,472.408,442.358,447.059,Heavy truck and bus drivers,2
834,165.57,160.982,146.417,168.461,166.075,Mobile plant operators,1
835,4.554,5.699,9.166,3.717,5.44,Ships' deck crews and related workers,2
911,637.003,636.044,616.185,617.331,616.823,"Domestic, hotel and office cleaners and helpers",1
