id,occupation,isco_code,skills_based_sector_code,skills_based_sector,sub_sector_code,sub_sector,risk_category,job_zone,education_level,related_work_experience,on_the_job_training,annual_earnings,remote_labor_index,physical_proximity,exposure_score,n_desirable,n_desirable_and_highly_viable,n_safe_desirable,n_safe_desirable_and_highly_viable,n_safe_desirable_strict,n_safe_desirable_strict_and_highly_viable,concept_uri
839,swimming facility attendant,9129,3,sales & services workers,3.1,"food, cleaning & services workers",Lower risk,2.0,2.2117,2.8361,3.1248,15635.419355,0.153846,0.4825,0.638959,10,3,10,3,0,0,http://data.europa.eu/esco/occupation/4779055b-f769-4c6d-8e0e-088bb74cfce9
840,marketeer,2431,2,business & administration workers,2.4,business managers,Lower risk,4.0,6.8261,6.3481,3.8265,38839.816377,0.9,0.3575,0.189077,95,17,78,15,3,0,http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc
841,advertising media buyer,2431,6,arts & media workers,6.2,"journalists, publishers & composers",Lower risk,4.0,5.6961,7.2274,3.6364,38839.816377,,0.37,,52,8,47,8,22,4,http://data.europa.eu/esco/occupation/4795d4e3-c623-47ff-abab-7de97fcb764e
843,gas processing plant control room operator,3134,1,"technicians, construction, transport & security workers",1.6,mining engineers & technicians,Lower risk,3.0,2.6227,4.79,4.5794,21750.916667,0.25,0.5375,0.634921,23,4,23,4,3,0,http://data.europa.eu/esco/occupation/47ae3ed9-e03c-450e-9ea8-aab317545adc
845,dredge operator,8342,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors,Lower risk,2.0,2.0994,5.4218,3.7965,29868.714286,,0.2725,,42,11,42,11,0,0,http://data.europa.eu/esco/occupation/47c27a07-4657-42b7-adee-d805902c1ff8
846,liquid fuel engineer,2146,1,"technicians, construction, transport & security workers",1.6,mining engineers & technicians,Lower risk,4.0,6.1619,8.3178,4.9429,36554.033333,0.541667,0.3,0.37081,18,4,15,4,1,0,http://data.europa.eu/esco/occupation/47dd863b-b124-4bb1-bb42-a9498492a8cb
849,photojournalist,3431,6,arts & media workers,6.2,"journalists, publishers & composers",Lower risk,3.0,3.44,5.92,5.1153,26850.895522,0.555556,0.68,0.549747,15,4,14,4,0,0,http://data.europa.eu/esco/occupation/480d2853-db07-43d4-847f-7ffdd8d368f5
850,edge bander operator,8189,4,manufacturing workers,4.4,paper & wood manufacturing workers,Lower risk,2.0,2.0737,3.3148,3.6848,23341.412903,0.117647,0.6975,0.784501,186,15,186,15,76,8,http://data.europa.eu/esco/occupation/48318e0f-b54b-4654-b296-47c8e544da23
853,hospitality entertainment manager,3339,2,business & administration workers,2.1,"process managers, supervisors & coordinators",Lower risk,4.0,5.2309,6.4606,4.1352,31801.341055,0.538462,0.43,0.44549,54,5,45,5,7,3,http://data.europa.eu/esco/occupation/4887c8a5-35d3-44c3-be69-346027e485f0
854,pedicurist,5142,3,sales & services workers,3.1,"food, cleaning & services workers",Lower risk,2.0,1.7951,3.0737,3.1411,12002.25641,0.1,0.895,0.897497,7,5,7,5,2,0,http://data.europa.eu/esco/occupation/489b9a38-89a2-425c-95b9-79cec66379e1
856,animator,2166,6,arts & media workers,6.3,creative managers & graphic designers,High risk,4.0,4.9737,6.4292,2.4731,37555.308176,0.6,0.53,0.460435,19,11,9,3,6,2,http://data.europa.eu/esco/occupation/48c8eccb-4bd0-487e-a187-4953cbbe956e
859,ATM repair technician,7421,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers",Lower risk,3.0,3.4643,5.4822,3.7452,33487.396761,0.190476,0.625,0.711303,36,6,34,6,4,2,http://data.europa.eu/esco/occupation/490d0c6f-0dc8-4825-9f17-207749fb1785
860,electrician,7411,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers",Lower risk,3.0,3.0099,7.3881,6.1305,32805.0,0.4375,0.7525,0.650601,77,11,77,11,3,0,http://data.europa.eu/esco/occupation/4910419f-b4af-4f59-b544-9dbebc8a74f0
863,make-up artist,5142,6,arts & media workers,6.1,art & media technicians,Lower risk,3.0,3.1738,5.1744,3.8188,12002.25641,0.454545,0.8575,0.683906,32,8,28,8,0,0,http://data.europa.eu/esco/occupation/49713da4-4e97-4f82-bd1c-16ce7f9179b7
867,bindery operator,7323,4,manufacturing workers,4.4,paper & wood manufacturing workers,Lower risk,2.0,2.1012,5.2865,4.3447,22030.372093,0.105263,0.5525,0.703095,150,93,150,93,4,1,http://data.europa.eu/esco/occupation/49b21ca8-04be-4912-a2f7-0170550e18fa
868,lexicographer,2643,6,arts & media workers,6.2,"journalists, publishers & composers",Lower risk,4.0,5.307,6.9347,3.9532,27247.712042,0.909091,0.42,0.195402,16,1,12,1,4,0,http://data.europa.eu/esco/occupation/49c3db8c-c586-42d1-9726-f65d8303c0b1
870,freight transport dispatcher,4323,2,business & administration workers,2.1,"process managers, supervisors & coordinators",High risk,2.0,2.6491,4.4222,3.134,18991.19709,0.666667,0.58,0.439697,11,1,2,0,2,0,http://data.europa.eu/esco/occupation/49e28648-4fa8-4b36-ac4d-781c108547bf
871,chiropractor,2269,11,healthcare workers,11.1,doctors & specialist therapists,Lower risk,5.0,10.0625,5.6736,3.5576,29851.831579,0.333333,0.96,0.8,31,24,27,21,5,4,http://data.europa.eu/esco/occupation/49e4e358-8ba3-4a05-8ef9-abb73156f5f7
872,drawing kiln operator,8181,4,manufacturing workers,4.2,chemical manufacturing workers,Lower risk,2.0,2.5608,4.7591,3.896,24441.0,0.1,0.66,0.770714,144,68,144,68,8,2,http://data.europa.eu/esco/occupation/49f1e9aa-189b-4417-afaa-373cc4ffeea1
