id,occupation,isco_code,skills_based_sector_code,skills_based_sector,sub_sector_code,sub_sector,risk_category,job_zone,education_level,related_work_experience,on_the_job_training,annual_earnings,remote_labor_index,physical_proximity,exposure_score,n_desirable,n_desirable_and_highly_viable,n_safe_desirable,n_safe_desirable_and_highly_viable,n_safe_desirable_strict,n_safe_desirable_strict_and_highly_viable,concept_uri
1,metal drawing machine operator,8121,4,manufacturing workers,4.1,metal workers & machine operators,Lower risk,2.0,2.1163,2.4383,3.6486,22031.963636,0.125,0.5125,0.669655,142,103,142,103,2,0,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84
3,air traffic safety technician,3155,1,"technicians, construction, transport & security workers",1.4,transport & security workers,Lower risk,3.0,4.3848,5.4808,4.0782,32754.0,,0.5375,,27,1,27,1,10,0,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97
4,hospitality revenue manager,2431,2,business & administration workers,2.4,business managers,Lower risk,4.0,6.8261,6.3481,3.8265,38839.816377,0.9,0.3575,0.189077,85,9,67,8,3,0,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f
5,medical laboratory assistant,3212,5,engineers & researchers,5.1,researchers & science technicians,Lower risk,3.0,5.7431,4.5363,3.9548,21517.582278,,0.6475,,22,5,21,5,2,0,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c
7,primary school teaching assistant,5312,7,education workers,7.2,teachers & childcare workers,Lower risk,3.0,3.6277,3.9765,2.7602,15945.319226,0.444444,0.88,0.699206,27,23,25,21,0,0,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e
8,physiotherapist,2264,11,healthcare workers,11.1,doctors & specialist therapists,Lower risk,5.0,9.0778,4.1917,2.3448,28764.0,0.409091,0.9975,0.767745,42,25,32,22,4,3,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533
10,hydrogenation machine operator,8160,9,food & tobacco production workers,9.2,food & tobacco production operators,Lower risk,2.0,2.0478,3.9646,3.1842,20363.62,0.052632,0.4775,0.672583,124,60,123,60,11,4,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883
11,pasta operator,8160,9,food & tobacco production workers,9.2,food & tobacco production operators,Lower risk,2.0,1.9243,2.6844,3.1467,20363.62,0.166667,0.5575,0.681604,150,74,149,74,91,49,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8
15,food safety specialist,2263,9,food & tobacco production workers,9.3,food & tobacco production specialists,Lower risk,4.0,6.2732,5.8094,4.5235,30076.974453,0.5,0.6475,0.56899,14,0,13,0,0,0,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd
16,land-based machinery technician,7233,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers",Lower risk,3.0,2.9235,5.3724,4.8153,30467.26087,0.117647,0.525,0.680614,25,2,25,2,7,1,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811
17,bus driver,8331,1,"technicians, construction, transport & security workers",1.4,transport & security workers,Lower risk,2.0,1.9161,3.7559,2.7974,30433.927673,0.076923,0.7775,0.847167,11,4,11,4,3,0,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58
21,nonwoven filament machine operator,8131,8,"textile, clothing, leather & footwear manufacturing workers",8.2,textile workers,Lower risk,2.0,2.1163,2.4383,3.6486,22211.820144,0.125,0.5125,0.669655,21,9,21,9,0,0,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc
24,dismantling engineer,2149,5,engineers & researchers,5.3,"mechanical engineers, designers & drafters",Lower risk,3.0,4.0063,6.8402,4.7342,35911.871608,0.5625,0.515,0.474671,4,0,4,0,1,0,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4
25,insurance claims handler,3315,2,business & administration workers,2.2,accounting & financial services workers,Lower risk,4.0,5.1506,7.2969,4.6266,30599.993865,0.681818,0.555,0.420227,39,8,18,3,0,0,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5
27,nitroglycerin separator operator,8131,4,manufacturing workers,4.2,chemical manufacturing workers,Lower risk,2.0,3.0056,5.9065,4.8177,22211.820144,0.15,0.5075,0.656791,19,3,19,3,15,1,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90
29,legal guardian,3412,14,social workers,14.2,care workers & counsellors,High risk,4.0,5.5743,4.1416,3.2409,22871.190205,0.615385,0.79,0.551222,17,5,8,0,7,0,http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860
30,weaver,7318,8,"textile, clothing, leather & footwear manufacturing workers",8.2,textile workers,Lower risk,2.0,2.023,2.9116,3.2023,21611.487805,0.176471,0.4425,0.603665,28,14,28,14,8,4,http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3
31,tile fitter,7122,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors,Lower risk,2.0,1.6621,5.4725,5.1926,23936.857143,0.368421,0.6425,0.637016,50,19,50,19,8,5,http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6
33,tour operators manager,3339,3,sales & services workers,3.3,shop & services managers,High risk,3.0,3.9292,5.7046,3.6105,31801.341055,0.571429,0.5475,0.484399,75,17,61,14,54,13,http://data.europa.eu/esco/occupation/02609ece-cea3-43fa-bf38-b6fb821f28b2
34,bee breeder,6123,13,animal care & husbandry workers,13.2,animal husbandry workers,Lower risk,2.0,2.3153,4.8606,3.9468,20861.0,0.071429,0.325,0.54935,32,24,32,24,13,7,http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa
35,legal administrative assistant,3342,2,business & administration workers,2.3,"assistants, clerks & legal workers",Lower risk,3.0,4.189,6.0849,3.6028,19242.0,0.538462,0.405,0.432346,33,12,12,5,5,1,http://data.europa.eu/esco/occupation/0264b794-3771-47aa-a675-78bf13b62ee7
36,petroleum pump system operator,3134,1,"technicians, construction, transport & security workers",1.6,mining engineers & technicians,Lower risk,2.0,2.6289,5.3098,4.4393,21750.916667,0.1875,0.6875,0.747391,38,8,38,8,3,1,http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e
38,coating machine operator,8122,4,manufacturing workers,4.1,metal workers & machine operators,Lower risk,2.0,1.6576,2.7535,4.0861,22295.4,0.08,0.5925,0.738309,141,64,141,64,6,3,http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a
39,aquaculture hatchery manager,6221,13,animal care & husbandry workers,13.3,aquaculture workers,Lower risk,4.0,4.4715,6.857,5.2661,20861.0,0.318182,0.6625,0.67209,28,9,28,9,0,0,http://data.europa.eu/esco/occupation/02bd7cac-8263-4425-b03d-19001ffe8787
40,gear machinist,7223,4,manufacturing workers,4.1,metal workers & machine operators,Lower risk,3.0,2.9387,6.1231,4.6476,30509.523305,0.304348,0.515,0.598549,92,48,91,48,47,23,http://data.europa.eu/esco/occupation/02d4f153-8e43-444d-8bd4-8171d49eab12
41,rooms division manager,1411,2,business & administration workers,2.1,"process managers, supervisors & coordinators",Lower risk,4.0,4.8903,5.8868,4.6997,30286.0,0.521739,0.4925,0.485328,71,8,55,8,6,1,http://data.europa.eu/esco/occupation/02e19186-458f-40eb-9e78-31c656d12ac7
43,telecommunications engineer,2153,12,ict workers,12.1,"ict system engineers, adminstrators & managers",Lower risk,4.0,5.8123,7.0458,4.3592,38357.899687,0.722222,0.5125,0.377308,46,10,33,9,9,2,http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2
46,sprinkler fitter,7126,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors,Lower risk,3.0,2.3558,5.0467,6.3061,30837.176606,0.28,0.73,0.724983,68,29,68,29,16,7,http://data.europa.eu/esco/occupation/02ff199e-38b3-45fd-b659-68846cfeeb92
52,quarry engineer,2146,1,"technicians, construction, transport & security workers",1.6,mining engineers & technicians,Lower risk,4.0,6.2073,7.7984,5.4027,36554.033333,0.636364,0.4775,0.416697,24,9,22,9,8,0,http://data.europa.eu/esco/occupation/03b2f112-a891-461d-a8d4-effb9dcf2df6
55,primary school teacher,2341,7,education workers,7.2,teachers & childcare workers,Lower risk,4.0,6.2789,4.4344,3.5545,31815.0,0.541667,0.7925,0.602685,20,12,20,12,10,6,http://data.europa.eu/esco/occupation/03d79393-7b30-4159-945b-01963eddd302
56,tram driver,8331,1,"technicians, construction, transport & security workers",1.4,transport & security workers,Lower risk,2.0,1.9161,3.7559,2.7974,30433.927673,0.076923,0.7775,0.847167,11,5,11,5,2,0,http://data.europa.eu/esco/occupation/03e02554-15d1-4697-960c-8909e7d36f7e
59,administrative assistant,3343,2,business & administration workers,2.3,"assistants, clerks & legal workers",High risk,3.0,4.489,6.6837,3.1881,20236.082051,0.6,0.3875,0.3937,29,14,9,2,9,2,http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652
60,coffee grinder,8160,9,food & tobacco production workers,9.2,food & tobacco production operators,Lower risk,2.0,2.2271,4.0611,4.333,20363.62,0.055556,0.35,0.57494,86,53,85,53,8,4,http://data.europa.eu/esco/occupation/0458929a-f6c9-40ed-8ce3-caa9f03a6b5b
61,medical administrative assistant,3344,11,healthcare workers,11.4,healthcare administrators & assistants,Lower risk,3.0,3.0825,5.2616,3.485,24581.801268,0.470588,0.7075,0.612012,15,2,10,2,2,0,http://data.europa.eu/esco/occupation/045f05f2-4ff8-46b2-9d08-e12a81657498
62,ICT security administrator,2529,12,ict workers,12.1,"ict system engineers, adminstrators & managers",High risk,4.0,5.8975,8.1907,4.2887,34431.367647,0.8,0.515,0.320936,38,15,25,8,16,6,http://data.europa.eu/esco/occupation/0464b062-cea6-4164-b10d-956c61956ae7
64,slate mixer,8114,4,manufacturing workers,4.2,chemical manufacturing workers,Lower risk,2.0,2.2238,4.9185,3.9773,25048.173913,0.071429,0.4,0.609449,38,1,38,1,0,0,http://data.europa.eu/esco/occupation/0477b9b0-8d2d-4eec-aaad-bac11092e98b
66,auction house manager,1221,2,business & administration workers,2.1,"process managers, supervisors & coordinators",Lower risk,4.0,6.0442,7.9566,4.0001,47814.167021,0.75,0.4775,0.345507,50,7,40,7,9,0,http://data.europa.eu/esco/occupation/04b52c04-0620-4558-8f89-e252de2963ff
67,software analyst,2512,12,ict workers,12.2,developers & testers,Lower risk,4.0,6.2388,7.2145,4.2303,42158.815789,0.642857,0.4975,0.421519,58,19,41,17,2,0,http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86
70,telecommunications technician,7422,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers",Lower risk,3.0,3.3521,4.9081,4.7157,33814.265734,0.28,0.6225,0.669477,12,3,12,3,1,0,http://data.europa.eu/esco/occupation/056bef79-c125-47ab-b6b9-8eed05c9458c
71,promotions demonstrator,5242,3,sales & services workers,3.4,retail & sales workers,High risk,2.0,1.6889,1.6364,1.7532,18235.441011,0.571429,0.6725,0.536856,13,1,8,0,7,0,http://data.europa.eu/esco/occupation/056f1849-7ff8-4d6f-9b8a-176a610bba44
77,bricklayer,7112,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors,Lower risk,2.0,2.2139,5.3472,5.4158,26920.986301,0.230769,0.8275,0.797834,71,42,71,42,1,1,http://data.europa.eu/esco/occupation/05f321f8-055b-407d-bf19-e0ddabda56b7
78,meat cutter,7511,9,food & tobacco production workers,9.1,food & tobacco production workers,Lower risk,2.0,1.9662,5.4019,4.2793,20567.791139,0.4,0.765,0.677495,73,29,73,29,9,6,http://data.europa.eu/esco/occupation/05f6eaeb-b285-46bd-a44a-225bd429e329
79,criminologist,2632,5,engineers & researchers,5.1,researchers & science technicians,Lower risk,4.0,4.7967,4.9906,4.6037,36551.41453,0.272727,0.675,0.700649,32,13,29,11,3,2,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79
83,metallurgical technician,3117,1,"technicians, construction, transport & security workers",1.1,engineering technicians,Lower risk,4.0,7.3071,6.2564,4.0772,27504.553459,0.55,0.4475,0.448748,32,1,32,1,5,0,http://data.europa.eu/esco/occupation/06351e17-67c4-44bc-adf7-64b73f92c3b5
84,spinning textile technician,8151,8,"textile, clothing, leather & footwear manufacturing workers",8.2,textile workers,Lower risk,2.0,1.4616,2.0343,2.6491,24441.0,0.095238,0.635,0.757973,15,5,15,5,2,0,http://data.europa.eu/esco/occupation/06461fc3-1274-40a1-9322-dfc2753f5eea
85,resilient floor layer,7122,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors,Lower risk,2.0,1.9937,3.8248,6.3361,23936.857143,0.0,0.7,0.83666,34,13,34,13,18,8,http://data.europa.eu/esco/occupation/0663d464-f139-4554-ae87-97aa6c4dad77
87,curing room worker,7516,9,food & tobacco production workers,9.1,food & tobacco production workers,Lower risk,2.0,2.045,3.2805,3.5332,20080.0,0.055556,0.345,0.570818,64,7,64,7,31,2,http://data.europa.eu/esco/occupation/066a9d8f-3948-409c-a3cf-ed8ed37cfe22
88,enameller,8122,4,manufacturing workers,4.1,metal workers & machine operators,Lower risk,2.0,1.7289,2.4444,2.7162,22295.4,0.052632,0.74,0.837289,7,0,7,0,0,0,http://data.europa.eu/esco/occupation/066fe11d-10e4-4fec-bd27-3e78797500b9
89,recruitment consultant,2423,2,business & administration workers,2.3,"assistants, clerks & legal workers",High risk,4.0,5.767,7.1048,4.6472,28494.460916,0.6,0.4125,0.406202,56,7,39,4,33,4,http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815
90,actuarial consultant,2120,2,business & administration workers,2.2,accounting & financial services workers,High risk,4.0,6.75,4.9684,5.8132,36135.290249,0.833333,0.3525,0.242384,72,23,45,10,22,3,http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482
91,lighting designer,3435,6,arts & media workers,6.1,art & media technicians,Lower risk,4.0,5.9518,5.35,5.35,19027.489777,0.666667,0.525,0.41833,37,11,28,10,2,0,http://data.europa.eu/esco/occupation/068df7d1-516f-4829-b339-294cb0cf6318
93,automotive battery technician,7412,1,"technicians, construction, transport & security workers",1.1,engineering technicians,Lower risk,3.0,3.132,5.2154,4.1054,32003.736923,0.083333,0.5975,0.740073,43,15,43,15,0,0,http://data.europa.eu/esco/occupation/06bd6285-13ed-4ea7-90cc-e9638a0600a9
95,public employment service manager,2423,2,business & administration workers,2.1,"process managers, supervisors & coordinators",Lower risk,5.0,7.6164,4.4952,3.519,28494.460916,0.666667,0.6425,0.462781,60,8,48,6,13,3,http://data.europa.eu/esco/occupation/070e94a8-a933-4557-9b95-fefe7f4f1763
96,clothing product grader,7532,8,"textile, clothing, leather & footwear manufacturing workers",8.3,clothing manufacturing workers,Lower risk,3.0,3.5125,6.7079,5.6053,16576.0,0.272727,0.4925,0.598483,16,9,16,9,8,4,http://data.europa.eu/esco/occupation/072279cf-ed39-47e7-af23-ee6df571eb24
97,public administration manager,1112,2,business & administration workers,2.5,public officials,Lower risk,5.0,7.5363,9.2488,3.3772,54676.145923,0.714286,0.4325,0.351527,40,15,34,15,6,1,http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d
101,dancer,2653,6,arts & media workers,6.4,perfomers,Lower risk,3.0,1.9387,4.2111,2.5876,13830.0,0.2,0.9775,0.884308,8,6,8,6,0,0,http://data.europa.eu/esco/occupation/07b91f36-8272-493a-8e1c-5625e77efe68
103,judge,2612,2,business & administration workers,2.3,"assistants, clerks & legal workers",Lower risk,5.0,8.3648,7.5106,2.4727,69224.0,0.5,0.5225,0.511126,7,4,6,4,2,2,http://data.europa.eu/esco/occupation/07bd65d7-c13f-443a-bdf6-88903f3822be
105,flexographic press operator,7322,4,manufacturing workers,4.4,paper & wood manufacturing workers,Lower risk,3.0,2.1426,5.0706,3.227,21832.691489,0.25,0.4225,0.562917,121,78,121,78,80,52,http://data.europa.eu/esco/occupation/07d4a2fa-e278-4f32-8cf9-9c01fc660369
106,integration engineer,2511,12,ict workers,12.1,"ict system engineers, adminstrators & managers",Lower risk,4.0,5.7551,7.8995,4.0479,41914.329519,0.777778,0.4775,0.325747,45,18,29,14,4,0,http://data.europa.eu/esco/occupation/07e60525-1aad-4099-aaf3-2c7014c92212
108,street artist,2659,6,arts & media workers,6.5,fine artists,Lower risk,3.0,4.1688,5.9817,3.8677,26266.0,0.6,0.0925,0.192354,16,12,10,9,3,3,http://data.europa.eu/esco/occupation/080bce18-066b-4431-90ed-e07608f73fe0
110,professional athlete,3421,6,arts & media workers,6.4,perfomers,Lower risk,2.0,3.011,7.8632,4.1434,16163.895161,,0.5925,,1,0,1,0,0,0,http://data.europa.eu/esco/occupation/082c234c-0dda-490a-b5af-757c3e48da90
111,specialised veterinarian,2250,13,animal care & husbandry workers,13.1,animal care workers & trainers  ,Lower risk,5.0,10.7794,4.5168,3.6436,35393.0,0.421053,0.905,0.723842,9,6,9,6,2,1,http://data.europa.eu/esco/occupation/08984bec-31d8-4bb0-aa2f-d557761ff029
112,automated fly bar operator,3435,6,arts & media workers,6.1,art & media technicians,Lower risk,2.0,2.096,5.8351,4.1828,19027.489777,0.222222,0.7675,0.772622,18,9,18,9,0,0,http://data.europa.eu/esco/occupation/08edf4c5-3551-4690-9d09-f9b8b9194c90
113,commissioning technician,3119,1,"technicians, construction, transport & security workers",1.1,engineering technicians,Lower risk,3.0,4.0063,6.8402,4.7342,27329.903418,0.5625,0.515,0.474671,152,18,145,17,78,3,http://data.europa.eu/esco/occupation/08f5481e-9233-4ef2-9e4b-945224879ce5
115,search engine optimisation expert,2513,12,ict workers,12.3,data workers,Lower risk,4.0,5.5651,6.5216,3.8266,44173.72093,0.735849,0.4425,0.341887,10,1,8,0,1,0,http://data.europa.eu/esco/occupation/092fdeeb-a76f-4ed2-b248-90fd6eaaffef
116,water network operative,7126,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers",Lower risk,3.0,2.3558,5.0467,6.3061,30837.176606,0.28,0.73,0.724983,17,4,17,4,4,0,http://data.europa.eu/esco/occupation/094b9f9b-7e89-4f34-adbb-fbaf7246f7a4
119,motor vehicles parts advisor,5223,3,sales & services workers,3.2,customer representatives,High risk,2.0,2.3442,5.9439,3.6542,13618.30795,0.571429,0.6725,0.536856,12,0,5,0,5,0,http://data.europa.eu/esco/occupation/099a901f-91a7-4d26-af2e-f385247dcf20
120,hairdresser,5141,3,sales & services workers,3.1,"food, cleaning & services workers",Lower risk,3.0,2.7917,4.178,3.5931,11234.0,0.117647,0.9225,0.902203,14,7,12,6,4,0,http://data.europa.eu/esco/occupation/099c6bb0-22d3-4c5d-8bf5-70910af381ef
121,art restorer,2651,4,manufacturing workers,4.3,craftspersons & carpenters,Lower risk,4.0,6.2661,7.9013,4.2144,26266.0,0.583333,0.5475,0.477624,7,1,6,1,0,0,http://data.europa.eu/esco/occupation/09a40a9a-2b60-422c-abe4-96d829bc27df
122,presenter,2656,6,arts & media workers,6.2,"journalists, publishers & composers",Lower risk,4.0,5.0889,7.1648,3.4624,26266.0,0.571429,0.5425,0.482183,16,3,15,3,0,0,http://data.europa.eu/esco/occupation/09a9a956-db70-436f-8398-d85a17f6cdfe
130,stringed musical instrument maker,7312,4,manufacturing workers,4.3,craftspersons & carpenters,Lower risk,3.0,2.8211,5.8209,5.1033,23804.0,0.0,0.475,0.689202,11,5,11,5,0,0,http://data.europa.eu/esco/occupation/0a94df75-6e31-4277-a326-1b01e56b6cb3
131,textile pattern making machine operator,8159,8,"textile, clothing, leather & footwear manufacturing workers",8.2,textile workers,Lower risk,3.0,3.5125,6.7079,5.6053,20216.380952,0.272727,0.4925,0.598483,16,1,16,1,10,1,http://data.europa.eu/esco/occupation/0a9eb24a-13e7-4847-8f6e-a776771ac96b
132,ICT test analyst,2519,12,ict workers,12.2,developers & testers,High risk,4.0,5.518,6.0742,3.7781,41344.037284,0.735849,0.4725,0.353286,27,2,19,0,17,0,http://data.europa.eu/esco/occupation/0ab5c12c-c1c1-4772-8345-aa287d0e391d
133,hydraulic forging press worker,7221,4,manufacturing workers,4.1,metal workers & machine operators,Lower risk,2.0,1.823,3.8068,4.4822,23965.12,0.230769,0.65,0.707107,163,114,163,114,22,13,http://data.europa.eu/esco/occupation/0ab64770-9fd7-4baf-8abf-b1ac0e1538ba
134,tissue paper perforating and rewinding operator,8143,4,manufacturing workers,4.4,paper & wood manufacturing workers,Lower risk,2.0,2.0099,3.8507,2.9896,22452.368421,0.0,0.605,0.777817,164,95,164,95,26,14,http://data.europa.eu/esco/occupation/0ab77768-9031-4ccc-9ab8-1f73cbb36bc7
136,aircraft engine specialist,7232,1,"technicians, construction, transport & security workers",1.1,engineering technicians,Lower risk,3.0,3.4473,5.5237,4.7538,30467.26087,0.107143,0.535,0.691143,87,24,87,24,8,3,http://data.europa.eu/esco/occupation/0ac8fe65-32e6-4c25-8345-2b87bc7b2698
138,animal care attendant,5164,13,animal care & husbandry workers,13.1,animal care workers & trainers  ,Lower risk,2.0,2.8472,3.9418,3.1114,28274.0,0.411765,0.6625,0.624264,12,11,11,10,5,4,http://data.europa.eu/esco/occupation/0b14d5d7-1bbe-4403-b9e6-7b0f37fc44fc
139,shop assistant,5223,3,sales & services workers,3.4,retail & sales workers,High risk,2.0,2.3097,4.0499,2.8367,13618.30795,0.631579,0.685,0.502363,46,11,24,2,20,1,http://data.europa.eu/esco/occupation/0b15375e-dfdd-4047-9efb-096e0aaee7d2
141,animal therapist,3255,13,animal care & husbandry workers,13.1,animal care workers & trainers  ,Lower risk,3.0,3.281,3.1112,3.1013,18089.672316,0.190476,0.88,0.844027,29,13,28,12,18,5,http://data.europa.eu/esco/occupation/0b2d3242-22a3-4de5-bd29-efd39cdf2c31
142,paramedic in emergency responses,3258,11,healthcare workers,11.2,healthcare technicians & scientists,Lower risk,3.0,3.5708,3.837,3.4508,31861.208333,0.307692,0.965,0.81736,16,9,15,9,2,1,http://data.europa.eu/esco/occupation/0b5dfc02-b825-4445-811d-d39ed442657e
143,door installer,7115,1,"technicians, construction, transport & security workers",1.2,construction workers & supervisors,Lower risk,2.0,2.3017,6.2396,4.7192,26412.404762,0.192308,0.81,0.808845,63,28,63,28,40,20,http://data.europa.eu/esco/occupation/0b5e4142-90ad-48a6-8407-ed47b2664954
144,fluid power technician,7233,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers",Lower risk,3.0,3.1896,6.9071,5.2432,30467.26087,0.176471,0.7225,0.771362,109,21,107,21,11,1,http://data.europa.eu/esco/occupation/0b6e1a0d-63fe-42d4-8dff-2ff187a9fea9
145,corporate trainer,2424,7,education workers,7.1,instructors & vocational teachers,Lower risk,4.0,6.3339,7.3416,3.9429,27329.0,0.818182,0.59,0.327525,30,13,26,12,18,6,http://data.europa.eu/esco/occupation/0ba06640-e0ac-4911-9e43-289a8e41651e
148,telephone switchboard operator,4223,2,business & administration workers,2.3,"assistants, clerks & legal workers",High risk,2.0,2.892,3.7033,3.295,17674.806202,0.411765,0.6325,0.609966,5,0,2,0,2,0,http://data.europa.eu/esco/occupation/0bf68df5-e808-4c27-abf2-6f85440f2d7f
149,doctors' surgery assistant,3256,11,healthcare workers,11.4,healthcare administrators & assistants,Lower risk,3.0,3.3224,4.961,2.9638,13552.0,0.277778,0.8775,0.796084,36,28,33,28,15,13,http://data.europa.eu/esco/occupation/0c041d1e-1841-4acb-b0a1-2c387a61bf65
151,horse riding instructor,3423,7,education workers,7.1,instructors & vocational teachers,Lower risk,3.0,5.5106,5.5799,4.5046,27503.0,0.708333,0.76,0.470815,7,2,6,2,0,0,http://data.europa.eu/esco/occupation/0c3672ed-450b-4fcd-a3d0-579a10004486
152,delivery driver,8322,1,"technicians, construction, transport & security workers",1.4,transport & security workers,Lower risk,2.0,1.8225,3.2614,2.3403,22256.896135,0.333333,0.6675,0.667083,16,6,15,5,12,3,http://data.europa.eu/esco/occupation/0c408028-c48f-4df8-ba5d-c3d3be15f5a2
153,digital forensics expert,2529,12,ict workers,12.3,data workers,High risk,4.0,5.8975,8.1907,4.2887,34431.367647,0.8,0.515,0.320936,45,11,31,6,19,3,http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424
157,quantity surveyor,2149,2,business & administration workers,2.1,"process managers, supervisors & coordinators",Lower risk,4.0,5.864,6.5919,5.7622,35911.871608,0.818182,0.4425,0.283645,38,2,32,2,2,0,http://data.europa.eu/esco/occupation/0cca32c2-9308-4927-adb2-14771ab787f0
158,vessel operations coordinator,4323,2,business & administration workers,2.1,"process managers, supervisors & coordinators",Lower risk,2.0,2.8316,4.0346,3.8961,18991.19709,0.545455,0.455,0.454773,11,4,6,2,1,0,http://data.europa.eu/esco/occupation/0cd0082a-ca15-4dcd-b352-b7600c916d8e
159,historian,2633,5,engineers & researchers,5.1,researchers & science technicians,Lower risk,5.0,4.9408,5.3148,3.3141,44206.0,0.5,0.56,0.52915,28,12,23,11,1,1,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128
160,ICT security consultant,2529,12,ict workers,12.1,"ict system engineers, adminstrators & managers",High risk,4.0,5.8975,8.1907,4.2887,34431.367647,0.8,0.515,0.320936,92,20,64,11,37,10,http://data.europa.eu/esco/occupation/0ce5a9f4-e00a-4bbe-b255-3c63407167a4
163,air traffic manager,1324,1,"technicians, construction, transport & security workers",1.4,transport & security workers,Lower risk,4.0,4.3711,7.0068,3.5827,38833.807914,0.651163,0.415,0.380483,13,0,13,0,4,0,http://data.europa.eu/esco/occupation/0d442b70-5413-4820-bebf-36dd5ce437ac
165,lime kiln operator,8131,4,manufacturing workers,4.2,chemical manufacturing workers,Lower risk,2.0,2.0478,3.9646,3.1842,22211.820144,0.052632,0.4775,0.672583,21,2,21,2,2,0,http://data.europa.eu/esco/occupation/0d61e7e7-afde-49ca-b554-4633842be030
166,water-based aquaculture technician,6221,13,animal care & husbandry workers,13.3,aquaculture workers,Lower risk,4.0,4.4715,6.857,5.2661,20861.0,0.318182,0.6625,0.67209,22,9,22,9,0,0,http://data.europa.eu/esco/occupation/0d6bb2cc-06b0-481c-b553-2a973be03254
167,meteorology technician,3111,5,engineers & researchers,5.1,researchers & science technicians,Lower risk,4.0,7.25,4.75,3.35,25086.502646,0.642857,0.4625,0.406422,44,18,38,16,9,4,http://data.europa.eu/esco/occupation/0d7ae791-653e-4297-9f61-8bad87f61d57
168,chemist,2113,5,engineers & researchers,5.1,researchers & science technicians,Lower risk,4.0,6.1569,4.9841,4.1828,36778.830769,0.363636,0.565,0.599621,22,6,19,5,9,3,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da
171,laundry worker,8157,3,sales & services workers,3.1,"food, cleaning & services workers",Lower risk,1.0,1.354,2.473,2.4359,13654.0,0.0625,0.53,0.704894,12,2,12,2,1,0,http://data.europa.eu/esco/occupation/0da51178-e386-4534-ae71-15ba789ad756
172,biotechnical technician,3141,5,engineers & researchers,5.1,researchers & science technicians,Lower risk,4.0,6.8126,6.8818,4.4261,20011.0,0.090909,0.505,0.677562,42,7,37,6,8,2,http://data.europa.eu/esco/occupation/0da75680-fbf9-44d8-802a-ac12eb425a34
