FTPT,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,2948.03,3179.042,2906.238,3167.295,3137.144
1.0,1.0,2594.136,2594.781,2586.751,2523.861,2650.271
1.0,2.0,16919.203,17184.944,17766.399,17823.913,18019.419
2.0,0.0,2007.351,1929.259,1968.966,1909.607,1880.543
2.0,1.0,658.359,690.358,621.732,658.712,660.818
2.0,2.0,5381.797,5469.479,5651.269,5751.236,5790.304
