HATLEV1D,RISK_CAT,2014,2015,2016,2017,2018
H,0.0,752.53,812.341,840.864,896.459,927.598
H,1.0,79.982,89.243,83.023,91.4,102.66
H,2.0,3665.69,3779.489,3877.734,4127.352,4295.122
L,0.0,1067.816,1047.707,1067.381,1041.188,1003.71
L,1.0,2063.351,2081.616,2065.569,2052.46,2048.952
L,2.0,3963.806,3944.486,3993.207,3980.052,3967.502
M,0.0,3308.15,3305.433,3331.683,3325.365,3323.393
M,1.0,1286.0,1303.328,1299.121,1259.506,1260.831
M,2.0,5833.808,5830.675,5943.418,5988.461,6016.627
