INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,349.072,348.55,364.94,374.329,383.84
1,1.0,614.468,626.349,599.915,580.207,583.145
1,2.0,702.236,724.256,766.806,810.634,803.372
2,0.0,469.868,440.151,502.642,505.873,497.038
2,1.0,421.38,395.564,420.171,441.915,435.954
2,2.0,779.159,743.978,807.173,895.304,873.285
3,0.0,421.014,451.118,431.082,403.133,442.423
3,1.0,350.607,384.133,358.519,307.237,339.342
3,2.0,915.2,966.551,930.067,860.663,969.564
4,0.0,409.363,376.301,328.397,536.648,514.362
4,1.0,273.982,266.0,237.278,380.176,365.561
4,2.0,938.689,860.556,765.848,1255.795,1189.187
5,0.0,417.219,466.582,478.427,276.111,446.512
5,1.0,266.971,272.278,290.505,154.353,242.346
5,2.0,972.24,1134.877,1178.808,642.399,1083.688
6,0.0,406.667,406.952,421.598,438.568,415.701
6,1.0,209.452,217.421,227.871,242.517,219.885
6,2.0,1069.919,1049.661,1074.954,1115.54,1155.737
7,0.0,359.148,312.483,316.061,518.661,337.863
7,1.0,179.132,154.958,162.119,256.55,169.956
7,2.0,1058.251,953.958,976.412,1735.409,1128.159
8,0.0,351.917,381.486,409.937,249.567,304.866
8,1.0,164.937,185.212,217.834,126.244,151.149
8,2.0,1266.335,1338.371,1464.411,926.508,1127.515
9,0.0,297.012,324.473,324.205,331.785,332.381
9,1.0,108.884,122.49,125.574,128.109,137.25
9,2.0,1125.582,1182.217,1189.131,1198.68,1268.909
10,0.0,321.332,321.503,333.728,345.617,348.829
10,1.0,65.939,68.635,65.526,74.948,86.297
10,2.0,1256.434,1260.362,1303.788,1325.844,1297.329
99,0.0,1325.883,1335.883,1328.912,1282.721,1230.884
99,1.0,773.583,781.146,742.399,711.11,681.558
99,2.0,3379.259,3339.863,3356.959,3329.089,3382.505
