NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,29.998,17.166,14.338,23.11,21.413
A,1.0,262.504,287.006,249.169,246.89,251.661
A,2.0,449.465,462.927,479.028,431.308,403.417
B,0.0,0.979,2.93,0.993,1.173,4.499
B,1.0,3.23,9.72,7.248,2.665,7.611
B,2.0,23.001,16.222,20.378,6.772,15.373
C,0.0,294.566,302.271,323.992,302.596,303.022
C,1.0,260.247,260.142,253.311,262.158,282.552
C,2.0,2640.416,2671.012,2755.945,2585.924,2625.484
D,0.0,18.959,16.07,10.928,12.326,24.206
D,1.0,13.172,18.093,13.626,7.092,14.671
D,2.0,133.658,143.107,149.382,145.324,191.039
E,0.0,28.026,24.263,17.085,22.073,28.763
E,1.0,21.947,18.598,21.526,20.066,28.491
E,2.0,141.095,133.409,151.763,172.439,149.285
F,0.0,118.497,107.074,87.327,110.672,96.505
F,1.0,773.352,767.104,764.366,814.633,763.798
F,2.0,872.187,816.487,835.506,906.942,893.764
G,0.0,1605.442,1640.274,1663.081,1602.074,1662.547
G,1.0,273.865,247.483,259.608,251.779,252.363
G,2.0,1492.967,1463.884,1517.089,1505.498,1513.575
H,0.0,146.286,161.011,125.189,141.19,105.728
H,1.0,174.988,159.062,172.487,157.226,172.849
H,2.0,1127.603,1130.196,1141.141,1051.179,1127.104
I,0.0,129.598,125.824,179.602,156.456,168.757
I,1.0,50.583,70.185,71.991,62.554,50.744
I,2.0,748.896,828.333,809.836,854.295,815.315
J,0.0,108.416,75.22,76.988,83.422,88.682
J,1.0,8.775,9.011,12.013,10.967,5.802
J,2.0,610.113,665.973,624.494,721.534,774.124
K,0.0,509.004,475.347,397.392,446.855,454.773
K,1.0,6.192,11.528,10.222,6.201,11.0
K,2.0,363.065,430.071,436.469,429.17,438.67
L,0.0,91.833,72.771,71.667,76.354,83.715
L,1.0,31.959,29.858,39.841,40.607,23.565
L,2.0,311.763,263.729,242.85,263.321,234.465
M,0.0,290.453,294.46,288.01,318.661,245.391
M,1.0,37.634,31.185,26.11,37.424,18.333
M,2.0,1104.334,1171.359,1110.623,1309.756,1258.103
N,0.0,193.678,143.177,163.894,194.22,172.148
N,1.0,294.139,286.649,304.797,332.539,315.74
N,2.0,562.475,557.048,629.737,589.778,578.59
O,0.0,462.296,482.171,420.396,428.401,441.715
O,1.0,286.216,300.103,276.164,242.627,269.443
O,2.0,1487.636,1450.341,1600.142,1551.59,1658.756
P,0.0,124.636,95.881,100.537,87.185,119.024
P,1.0,111.525,131.872,87.788,103.044,79.074
P,2.0,1736.516,1795.328,1715.631,1736.415,1757.344
Q,0.0,197.394,169.097,186.87,188.848,179.276
Q,1.0,758.961,711.519,732.921,782.828,647.557
Q,2.0,2959.872,2965.024,3002.119,3121.319,3073.114
R,0.0,75.384,51.117,51.987,77.401,61.346
R,1.0,19.606,31.375,14.908,19.806,33.672
R,2.0,324.928,396.685,330.682,385.183,360.778
S,0.0,75.241,75.443,74.123,69.787,83.701
S,1.0,84.217,61.354,67.153,70.48,91.5
S,2.0,502.768,499.749,522.336,544.182,542.44
T,0.0,0.444,2.516,1.169,1.979,2.042
T,1.0,171.909,163.544,192.27,146.627,240.817
T,2.0,135.657,111.217,117.988,114.174,126.766
U,0.0,1.372,3.741,7.304,7.427,3.602
U,1.0,x,x,x,x,x
U,2.0,17.255,9.981,14.408,16.525,17.294
