SEX,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,1394.279,1318.395,1352.989,1406.523,1386.304
1,1.0,2109.786,2115.088,2007.985,2105.962,2093.961
1,2.0,9951.38,10025.45,10213.405,10241.424,10188.613
2,0.0,3151.827,3061.949,2944.059,2981.945,3007.718
2,1.0,1570.423,1538.669,1616.618,1548.253,1507.328
2,2.0,7930.591,8109.184,8195.948,8362.987,8567.117
