SEX,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,1822.913,2056.171,1924.207,2036.886,1936.981
1,1.0,2582.531,2555.766,2546.781,2512.37,2627.721
1,2.0,11787.694,11886.405,12248.891,12289.899,12426.71
2,0.0,3133.734,3053.949,2953.332,3041.895,3082.091
2,1.0,674.082,729.373,666.429,672.143,684.601
2,2.0,10524.212,10785.965,11182.014,11305.347,11393.576
