FTPT,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,3874.716,3886.994,3902.646,3947.368,3927.41
1,1.0,2568.605,2595.581,2609.097,2591.649,2604.886
1,2.0,11497.686,11555.689,11722.831,11921.508,12118.599
2,0.0,1253.78,1278.488,1337.282,1315.645,1327.289
2,1.0,860.728,878.606,838.616,811.717,807.557
2,2.0,1965.618,1998.961,2091.528,2174.357,2160.651
