INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,406.86,374.822,384.131,359.794,402.802
1.0,1.0,704.102,691.735,707.589,731.787,720.091
1.0,2.0,1213.594,1265.1,1252.545,1275.86,1262.205
2.0,0.0,605.811,574.356,558.381,584.543,654.167
2.0,1.0,507.184,516.306,535.278,529.886,493.665
2.0,2.0,1206.534,1242.587,1232.253,1251.373,1237.299
3.0,0.0,538.763,572.758,555.756,579.548,564.797
3.0,1.0,418.091,427.094,412.101,382.806,414.005
3.0,2.0,1363.171,1328.782,1377.934,1399.525,1401.341
4.0,0.0,520.757,474.693,460.908,518.083,487.32
4.0,1.0,394.589,393.888,406.124,418.393,405.9
4.0,2.0,1400.577,1456.768,1466.588,1426.681,1486.094
5.0,0.0,434.973,486.544,423.555,424.612,473.024
5.0,1.0,366.871,352.361,345.64,320.496,305.834
5.0,2.0,1500.406,1478.354,1559.347,1615.889,1603.021
6.0,0.0,414.637,414.187,418.575,412.605,383.018
6.0,1.0,244.914,282.783,265.146,292.91,278.187
6.0,2.0,1637.837,1617.858,1639.383,1647.763,1706.411
7.0,0.0,431.369,395.677,370.898,397.353,349.623
7.0,1.0,198.587,197.12,172.998,204.818,200.241
7.0,2.0,1678.699,1713.412,1777.318,1754.2,1805.049
8.0,0.0,299.154,296.13,283.841,310.505,301.682
8.0,1.0,131.61,110.573,139.606,151.962,123.711
8.0,2.0,1861.495,1887.751,1882.274,1860.635,1909.536
9.0,0.0,289.917,256.607,239.04,262.167,232.942
9.0,1.0,88.8,83.642,78.728,88.874,92.136
9.0,2.0,1897.663,1941.922,1992.917,1975.436,2025.238
10.0,0.0,270.893,242.767,254.181,274.001,274.822
10.0,1.0,75.77,59.091,54.089,49.779,54.047
10.0,2.0,1953.655,2006.42,2006.579,2017.146,2032.088
99.0,0.0,332.973,291.801,347.784,265.26,269.825
99.0,1.0,549.496,539.164,507.305,482.503,513.472
99.0,2.0,2167.971,2195.683,2222.214,2379.902,2285.588
