HATLEV1D,RISK_CAT,2014,2015,2016,2017,2018
H,0.0,1765.68,1701.168,1679.6,1752.102,1834.335
H,1.0,283.861,256.944,244.909,262.108,281.483
H,2.0,7885.213,8237.364,8383.116,8669.53,9030.644
L,0.0,619.714,557.83,538.156,541.934,453.031
L,1.0,1339.334,1307.338,1288.043,1352.334,1260.247
L,2.0,2601.841,2449.574,2474.638,2402.02,2221.972
M,0.0,2160.712,2121.346,2079.293,2094.432,2106.657
M,1.0,2057.013,2089.475,2091.651,2039.772,2059.559
M,2.0,7394.917,7447.696,7551.599,7532.862,7503.113
