SEX,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,16.479383,16.645654,16.859058,16.749938,16.603521
1,1.0,18.786309,18.967034,18.635554,18.370085,18.105559
1,2.0,64.734307,64.387312,64.505388,64.879977,65.29092
2,0.0,32.560409,32.339884,32.056858,31.762285,31.419825
2,1.0,11.197803,11.121295,10.80014,10.316336,10.495033
2,2.0,56.241788,56.538821,57.143003,57.921379,58.085142
