NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,4.043075,2.237831,1.930945,3.29522,3.165369
A,1.0,35.37945,37.414469,33.556542,35.204202,37.200979
A,2.0,60.577475,60.3477,64.512512,61.500578,59.633652
B,0.0,3.599283,10.148003,3.468781,11.055639,16.369313
B,1.0,11.871744,33.665761,25.327134,25.115458,27.693724
B,2.0,84.528972,56.186237,71.204085,63.828903,55.936963
C,0.0,9.218925,9.34831,9.719997,9.60415,9.436834
C,1.0,8.144874,8.045415,7.599517,8.320682,8.799334
C,2.0,82.636201,82.606275,82.680486,82.075168,81.763832
D,0.0,11.435493,9.065426,6.282565,7.481987,10.528098
D,1.0,7.945004,10.20667,7.833907,4.304938,6.380874
D,2.0,80.619504,80.727904,85.883528,88.213075,83.091028
E,0.0,14.668196,13.764878,8.974495,10.286643,13.926063
E,1.0,11.486608,10.550709,11.307273,9.351276,13.794353
E,2.0,73.845196,75.684413,79.718231,80.362081,72.279584
F,0.0,6.717374,6.333226,5.17588,6.04021,5.501797
F,1.0,43.839925,45.37293,45.303824,44.460901,43.544422
F,2.0,49.442701,48.293844,49.520296,49.49889,50.953781
G,0.0,47.607109,48.939443,48.348497,47.689981,48.49218
G,1.0,8.121072,7.383929,7.547239,7.494878,7.360762
G,2.0,44.271819,43.676628,44.104264,44.815141,44.147058
H,0.0,10.096525,11.10213,8.700845,10.461692,7.521471
H,1.0,12.07748,10.967736,11.988097,11.649858,12.296461
H,2.0,77.825996,77.930134,79.311058,77.88845,80.182069
I,0.0,13.949115,12.283361,16.920792,14.577009,16.307884
I,1.0,5.444437,6.851682,6.782433,5.828158,4.903701
I,2.0,80.606448,80.864957,76.296776,79.594833,78.788415
J,0.0,14.906569,10.02663,10.790286,10.224297,10.209665
J,1.0,1.206509,1.20113,1.683677,1.344113,0.668004
J,2.0,83.886922,88.77224,87.526037,88.43159,89.122331
K,0.0,57.955874,51.840242,47.079777,50.650845,50.282079
K,1.0,0.705009,1.257265,1.210964,0.702864,1.216189
K,2.0,41.339117,46.902493,51.709259,48.646291,48.501732
L,0.0,21.084193,19.863323,20.2246,20.078162,24.496442
L,1.0,7.337583,8.15003,11.243059,10.678144,6.895376
L,2.0,71.578224,71.986647,68.532341,69.243694,68.608182
M,0.0,20.277088,19.669971,20.214835,19.129126,16.124799
M,1.0,2.627277,2.083136,1.832644,2.246561,1.204646
M,2.0,77.095635,78.246893,77.952521,78.624312,82.670554
N,0.0,18.440388,14.508165,14.920805,17.394825,16.141731
N,1.0,28.005451,29.046172,27.748462,29.783097,29.605878
N,2.0,53.55416,56.445663,57.330733,52.822079,54.252391
O,0.0,20.673761,21.596685,18.304331,19.274618,18.638437
O,1.0,12.799512,13.441764,12.024393,10.916272,11.369318
O,2.0,66.526727,64.961552,69.671276,69.809111,69.992244
P,0.0,6.318134,4.739375,5.280441,4.525208,6.086815
P,1.0,5.653502,6.518396,4.610798,5.348381,4.043815
P,2.0,88.028365,88.742229,90.108761,90.126411,89.869371
Q,0.0,5.040407,4.397108,4.764769,4.613929,4.596871
Q,1.0,19.379911,18.501963,18.687859,19.126048,16.604265
Q,2.0,75.579683,77.100929,76.547372,76.260023,78.798864
R,0.0,17.952104,10.667758,13.076046,16.045371,13.45901
R,1.0,4.66894,6.547619,3.749742,4.105708,7.387513
R,2.0,77.378957,82.784623,83.174212,79.848922,79.153477
S,0.0,11.361869,11.851856,11.169649,10.196059,11.663336
S,1.0,12.71726,9.638626,10.119295,10.297323,12.750063
S,2.0,75.920871,78.509517,78.711056,79.506618,75.5866
T,0.0,0.144057,0.907454,0.375337,0.75303,0.552434
T,1.0,55.812846,58.9822,61.738324,55.798446,65.15168
T,2.0,44.043097,40.110345,37.886339,43.448524,34.295885
U,0.0,7.364468,27.260915,33.641703,31.007078,17.238787
U,1.0,x,x,x,x,x
U,2.0,92.635532,72.739085,66.358297,68.992922,82.761213
