INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,20.955501,20.513124,21.074582,21.206422,21.681526
1,1.0,36.887813,36.862397,34.643905,32.869761,32.939386
1,2.0,42.156685,42.624479,44.281513,45.923817,45.379088
2,0.0,28.128956,27.863079,29.054696,27.446961,27.517276
2,1.0,25.226172,25.040585,24.287559,23.976827,24.135509
2,2.0,46.644872,47.096336,46.657745,48.576212,48.347215
3,0.0,24.959017,25.037049,25.067726,25.66039,25.262128
3,1.0,20.785066,21.319381,20.848143,19.556393,19.37624
3,2.0,54.255917,53.64357,54.084132,54.783217,55.361632
4,0.0,25.237655,25.039055,24.66327,24.700517,24.859092
4,1.0,16.891236,17.699642,17.820048,17.498522,17.667545
4,2.0,57.871109,57.261303,57.516682,57.800961,57.473364
5,0.0,25.187855,24.901123,24.563188,25.735879,25.190437
5,1.0,16.117243,14.531303,14.914967,14.387035,13.672201
5,2.0,58.694902,60.567574,60.521844,59.877086,61.137362
6,0.0,24.119709,24.309652,24.448626,24.410664,23.206382
6,1.0,12.422724,12.987857,13.214355,13.498471,12.274982
6,2.0,63.457567,62.702491,62.337018,62.090866,64.518636
7,0.0,22.495513,21.984195,21.728467,20.65867,20.652041
7,1.0,11.220088,10.901784,11.145342,10.218586,10.388672
7,2.0,66.2844,67.114021,67.126191,69.122744,68.959288
8,0.0,19.735269,20.024784,19.593737,19.163246,19.252324
8,1.0,9.249535,9.722063,10.41181,9.693792,9.545057
8,2.0,71.015196,70.253154,69.994453,71.142962,71.202619
9,0.0,19.393828,19.916322,19.78172,20.004233,19.118385
9,1.0,7.109726,7.518504,7.662034,7.724031,7.894568
9,2.0,73.496446,72.565175,72.556246,72.271735,72.987047
10,0.0,19.549253,19.479137,19.595996,19.790166,20.134924
10,1.0,4.011604,4.158412,3.847596,4.291529,4.981214
10,2.0,76.439143,76.362451,76.556408,75.918305,74.883862
99,0.0,24.200574,24.480657,24.48132,24.098067,23.246392
99,1.0,14.119756,14.31485,13.676536,13.359402,12.871862
99,2.0,61.679669,61.204493,61.842144,62.542531,63.881747
